Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-11-14,169.25,172.5,166.25,168.0,6000,0,0.0
2003-11-17,167.5,168.75,156.0,165.0,21800,0,0.0
2003-11-18,165.0,165.0,142.5,144.5,39000,0,0.0
2003-11-19,143.75,148.0,125.25,134.75,66200,0,0.0
2003-11-20,132.75,134.25,126.75,134.25,19200,0,0.0
2003-11-21,132.75,133.5,126.25,131.25,22000,0,0.0
2003-11-24,132.75,135.75,132.75,135.0,24400,0,0.0
2003-11-25,137.5,137.75,131.25,135.0,15700,0,0.0
2003-11-26,133.75,140.0,132.5,140.0,22400,0,0.0
2003-11-28,139.5,140.0,135.25,138.25,18300,0,0.0
2003-12-01,136.75,149.25,135.0,149.25,27600,0,0.0
2003-12-02,147.5,153.0,140.5,143.75,27600,0,0.0
2003-12-03,148.25,150.0,144.0,148.25,23800,0,0.0
2003-12-04,146.5,148.5,140.0,142.5,14600,0,0.0
2003-12-05,142.5,145.0,138.75,142.5,14500,0,0.0
2003-12-08,141.25,141.5,131.5,132.5,20500,0,0.0
2003-12-09,132.25,134.0,126.25,129.0,21900,0,0.0
2003-12-10,129.0,129.0,115.0,116.75,36300,0,0.0
2003-12-11,115.0,116.75,108.5,115.0,38600,0,0.0
2003-12-12,117.5,118.5,105.25,111.0,51100,0,0.0
2003-12-15,115.25,117.25,109.0,109.0,25100,0,0.0
2003-12-16,108.75,112.5,103.75,105.25,15300,0,0.0
2003-12-17,104.0,107.5,103.75,105.25,28400,0,0.0
2003-12-18,106.5,117.75,105.0,117.0,24200,0,0.0
2003-12-19,116.25,117.5,111.25,115.5,18900,0,0.0
2003-12-22,115.0,116.5,112.5,115.0,13400,0,0.0
2003-12-23,114.0,116.75,112.25,116.75,18700,0,0.0
2003-12-24,116.25,119.5,115.0,119.25,5300,0,0.0
2003-12-26,118.75,119.5,115.0,115.5,3800,0,0.0
2003-12-29,114.25,119.25,114.25,118.75,12000,0,0.0
2003-12-30,115.0,119.5,112.75,119.25,15100,0,0.0
2003-12-31,118.75,126.5,118.25,123.5,50500,0,0.0
2004-01-02,125.25,127.5,124.5,127.0,14200,0,0.0
2004-01-05,128.5,130.75,124.75,128.5,50600,0,0.0
2004-01-06,128.75,133.75,125.5,132.75,74800,0,0.0
2004-01-07,133.75,134.75,126.75,134.75,54500,0,0.0
2004-01-08,134.75,140.0,134.75,139.75,40100,0,0.0
2004-01-09,137.75,150.5,135.5,148.5,49600,0,0.0
2004-01-12,149.75,155.25,148.75,155.0,44500,0,0.0
2004-01-13,154.0,156.75,147.5,155.0,38000,0,0.0
2004-01-14,153.0,156.25,150.0,155.0,23400,0,0.0
2004-01-15,151.0,154.0,149.5,153.25,17700,0,0.0
2004-01-16,153.75,183.75,153.75,181.0,143400,0,0.0
2004-01-20,183.5,184.5,172.0,183.25,70300,0,0.0
2004-01-21,180.25,182.0,171.25,176.0,24000,0,0.0
2004-01-22,172.5,173.75,159.0,163.75,45500,0,0.0
2004-01-23,162.75,164.5,156.0,159.75,27100,0,0.0
2004-01-26,159.75,165.0,155.75,161.75,32300,0,0.0
2004-01-27,162.5,162.5,154.5,157.25,23400,0,0.0
2004-01-28,157.25,159.5,151.75,154.5,22200,0,0.0
2004-01-29,152.25,157.0,136.0,146.25,28300,0,0.0
2004-01-30,148.5,154.0,144.0,153.5,16600,0,0.0
2004-02-02,154.75,160.0,143.75,144.0,23900,0,0.0
2004-02-03,144.75,155.75,143.5,153.25,33200,0,0.0
2004-02-04,150.5,151.0,132.25,137.25,50100,0,0.0
2004-02-05,137.5,138.75,125.0,129.25,23200,0,0.0
2004-02-06,130.25,136.0,130.25,134.5,12600,0,0.0
2004-02-09,136.0,138.5,131.25,133.0,14000,0,0.0
2004-02-10,133.5,136.0,130.25,135.0,21500,0,0.0
2004-02-11,135.0,135.0,128.25,128.25,22900,0,0.0
2004-02-12,128.75,131.0,126.0,130.25,34400,0,0.0
2004-02-13,130.0,130.25,125.75,125.75,27100,0,0.0
2004-02-17,126.25,128.5,126.0,127.25,8600,0,0.0
2004-02-18,126.25,128.5,120.25,124.75,31800,0,0.0
2004-02-19,126.25,126.75,115.25,119.5,26000,0,0.0
2004-02-20,118.0,118.25,114.5,115.25,10600,0,0.0
2004-02-23,117.5,117.75,108.75,110.5,22800,0,0.0
2004-02-24,110.0,110.5,103.75,104.75,42600,0,0.0
2004-02-25,106.5,107.5,104.0,106.25,30900,0,0.0
2004-02-26,106.25,116.5,105.0,115.0,34000,0,0.0
2004-02-27,115.25,122.25,115.0,122.25,30300,0,0.0
2004-03-01,121.25,122.0,118.25,120.5,20600,0,0.0
