Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-03-10,19.84,19.95,19.84,19.91,1138000,0.0,0
2016-03-11,19.92,19.96,19.91,19.91,894300,0.0,0
2016-03-14,19.99,19.99,19.9,19.92,832600,0.0,0
2016-03-15,19.88,19.96,19.86,19.87,813600,0.0,0
2016-03-16,19.89,19.92,19.87,19.92,605900,0.0,0
2016-03-17,19.92,19.99,19.92,19.96,479600,0.0,0
2016-03-18,19.98,20.03,19.96,19.99,687700,0.0,0
2016-03-21,20.0,20.01,19.98,20.0,709800,0.0,0
2016-03-22,20.0,20.02,19.99,20.0,798000,0.0,0
2016-03-23,20.01,20.02,19.97,20.0,434400,0.0,0
2016-03-24,20.0,20.04,19.96,20.01,518300,0.0,0
2016-03-28,20.08,20.08,20.0,20.04,435200,0.0,0
2016-03-29,20.04,20.07,20.0,20.04,482000,0.0,0
2016-03-30,20.05,20.06,20.0,20.01,834600,0.0,0
2016-03-31,20.03,20.2,20.0,20.16,1439700,0.0,0
2016-04-01,20.16,20.19,20.08,20.12,477000,0.0,0
2016-04-04,20.15,20.15,19.98,20.03,502100,0.0,0
2016-04-05,20.04,20.04,19.97,20.03,434800,0.0,0
2016-04-06,20.06,20.15,20.04,20.11,340100,0.0,0
2016-04-07,20.13,20.16,20.04,20.08,326800,0.0,0
2016-04-08,20.12,20.2,20.08,20.16,256600,0.0,0
2016-04-11,20.2,20.22,20.15,20.18,268900,0.0,0
2016-04-12,20.18,20.24,20.16,20.2,372300,0.0,0
2016-04-13,20.35,20.37,20.28,20.36,357200,0.258,0
2016-04-14,20.37,20.49,20.34,20.44,415600,0.0,0
2016-04-15,20.53,20.53,20.45,20.53,231500,0.0,0
2016-04-18,20.57,20.64,20.41,20.45,547500,0.0,0
2016-04-19,20.51,20.57,20.4,20.45,416000,0.0,0
2016-04-20,20.51,20.54,20.45,20.53,315300,0.0,0
2016-04-21,20.53,20.74,20.49,20.58,375800,0.0,0
2016-04-22,20.69,20.69,20.61,20.68,162500,0.0,0
2016-04-25,20.76,20.8,20.61,20.61,316800,0.0,0
2016-04-26,20.69,20.73,20.56,20.61,319800,0.0,0
2016-04-27,20.66,20.71,20.61,20.7,295900,0.0,0
2016-04-28,20.74,20.93,20.7,20.84,240600,0.0,0
2016-04-29,20.9,20.93,20.78,20.78,213600,0.0,0
2016-05-02,20.87,20.93,20.82,20.92,232200,0.0,0
2016-05-03,20.98,20.98,20.85,20.93,231400,0.0,0
2016-05-04,20.97,21.12,20.94,21.12,250500,0.0,0
2016-05-05,21.14,21.15,20.95,21.04,277000,0.0,0
2016-05-06,21.1,21.14,21.04,21.05,234400,0.0,0
2016-05-09,21.06,21.16,21.05,21.06,150100,0.0,0
2016-05-10,21.11,21.17,21.06,21.11,205800,0.0,0
2016-05-11,21.11,21.18,21.08,21.11,171000,0.0,0
2016-05-12,21.11,21.15,21.1,21.11,156400,0.0,0
2016-05-13,21.15,21.15,21.08,21.08,196300,0.0,0
2016-05-16,21.13,21.2,21.11,21.2,141800,0.0,0
2016-05-17,21.26,21.31,21.2,21.25,287700,0.0,0
2016-05-18,21.29,21.31,21.05,21.08,330100,0.0,0
2016-05-19,21.1,21.13,20.79,20.93,203700,0.0,0
2016-05-20,21.13,21.18,20.99,21.16,97600,0.0,0
2016-05-23,21.16,21.24,21.05,21.1,349800,0.0,0
2016-05-24,21.18,21.18,20.91,21.0,304500,0.0,0
2016-05-25,21.02,21.12,20.83,21.08,233400,0.0,0
2016-05-26,21.19,21.21,21.06,21.12,110500,0.0,0
2016-05-27,21.17,21.2,21.04,21.11,81900,0.0,0
2016-05-31,21.15,21.18,20.94,21.01,238400,0.0,0
2016-06-01,21.06,21.09,21.02,21.07,182300,0.0,0
2016-06-02,21.14,21.14,21.07,21.13,182400,0.0,0
2016-06-03,21.14,21.22,21.11,21.22,157600,0.0,0
2016-06-06,21.29,21.29,21.14,21.15,227100,0.0,0
2016-06-07,21.2,21.21,21.07,21.15,196400,0.0,0
2016-06-08,21.21,21.26,21.18,21.19,135200,0.0,0
2016-06-09,21.22,21.22,21.06,21.12,93700,0.0,0
2016-06-10,21.14,21.17,21.07,21.13,109400,0.0,0
2016-06-13,21.17,21.24,21.1,21.13,144000,0.0,0
2016-06-14,21.17,21.17,21.11,21.12,131300,0.0,0
2016-06-15,21.22,21.24,21.09,21.19,153700,0.0,0
2016-06-16,21.19,21.22,21.11,21.18,147200,0.0,0
2016-06-17,21.26,21.31,21.19,21.31,147100,0.0,0
2016-06-20,21.33,21.34,21.22,21.28,184100,0.0,0
2016-06-21,21.34,21.42,21.32,21.37,125600,0.0,0
2016-06-22,21.38,21.42,21.27,21.36,146900,0.0,0
2016-06-23,21.42,21.42,21.31,21.32,86200,0.0,0
2016-06-24,21.28,21.41,21.09,21.23,304600,0.0,0
2016-06-27,21.24,21.41,21.23,21.32,127400,0.0,0
2016-06-28,21.42,21.58,21.34,21.46,144800,0.0,0
2016-06-29,21.69,21.69,21.34,21.42,174100,0.0,0
2016-06-30,21.5,21.5,21.41,21.48,120200,0.0,0
2016-07-01,21.42,21.67,21.41,21.53,125300,0.0,0
2016-07-05,21.67,21.74,21.61,21.7,149900,0.0,0
2016-07-06,21.71,21.74,21.67,21.72,101400,0.0,0
2016-07-07,21.75,21.76,21.67,21.76,145500,0.0,0
2016-07-08,21.83,22.02,21.71,21.71,147300,0.0,0
2016-07-11,21.79,21.83,21.71,21.8,149600,0.0,0
2016-07-12,21.75,21.93,21.75,21.88,152900,0.0,0
2016-07-13,21.89,22.11,21.88,21.97,109200,0.375,0
2016-07-14,22.03,22.05,21.88,22.02,111800,0.0,0
2016-07-15,22.05,22.05,21.95,22.01,107300,0.0,0
2016-07-18,21.97,22.04,21.94,21.97,98700,0.0,0
2016-07-19,21.97,22.04,21.93,21.97,222900,0.0,0
2016-07-20,21.95,22.04,21.81,21.92,144000,0.0,0
2016-07-21,21.92,21.92,21.82,21.92,92500,0.0,0
2016-07-22,21.72,21.92,21.72,21.9,117600,0.0,0
2016-07-25,21.89,21.89,21.85,21.88,116400,0.0,0
2016-07-26,21.85,21.96,21.8,21.9,400000,0.0,0
2016-07-27,21.96,22.03,21.93,21.98,119600,0.0,0
2016-07-28,22.03,22.1,21.94,21.99,93300,0.0,0
2016-07-29,22.02,22.02,21.93,21.95,173900,0.0,0
2016-08-01,21.99,22.02,21.95,21.99,202500,0.0,0
2016-08-02,21.99,22.04,21.95,22.04,153900,0.0,0
2016-08-03,22.02,22.02,21.94,22.0,133000,0.0,0
2016-08-04,22.04,22.05,21.9,21.97,104900,0.0,0
2016-08-05,22.0,22.02,21.99,22.0,76600,0.0,0
2016-08-08,22.0,22.09,21.98,22.09,160100,0.0,0
2016-08-09,22.09,22.19,22.02,22.12,136600,0.0,0
2016-08-10,22.17,22.27,22.05,22.2,139600,0.0,0
2016-08-11,22.27,22.28,21.99,22.07,160500,0.0,0
2016-08-12,22.09,22.28,22.01,22.28,106500,0.0,0
2016-08-15,22.28,22.49,22.24,22.34,88800,0.0,0
2016-08-16,22.3,22.44,22.11,22.27,120700,0.0,0
2016-08-17,22.22,22.4,22.15,22.27,151700,0.0,0
2016-08-18,22.31,22.32,22.17,22.21,149100,0.0,0
2016-08-19,22.18,22.18,22.08,22.13,81400,0.0,0
2016-08-22,22.28,22.28,22.18,22.26,58900,0.0,0
2016-08-23,22.22,22.24,22.15,22.22,97400,0.0,0
2016-08-24,22.26,22.37,22.23,22.35,92000,0.0,0
2016-08-25,22.38,22.54,22.34,22.36,102100,0.0,0
2016-08-26,22.38,22.54,22.38,22.51,91600,0.0,0
2016-08-29,22.38,22.52,22.37,22.45,74300,0.0,0
2016-08-30,22.32,22.5,22.2,22.27,114900,0.0,0
2016-08-31,22.3,22.47,22.3,22.33,86700,0.0,0
2016-09-01,22.3,22.4,22.26,22.31,44700,0.0,0
2016-09-02,22.31,22.5,22.23,22.36,84400,0.0,0
2016-09-06,22.13,22.38,22.1,22.31,102200,0.0,0
2016-09-07,22.31,22.49,22.31,22.49,75100,0.0,0
2016-09-08,22.38,22.48,22.36,22.4,76100,0.0,0
2016-09-09,22.18,22.36,21.47,21.49,339800,0.0,0
2016-09-12,21.56,21.93,21.56,21.74,86700,0.0,0
2016-09-13,21.86,21.86,21.64,21.7,149700,0.0,0
2016-09-14,21.56,21.76,21.56,21.64,101700,0.0,0
2016-09-15,21.69,22.02,21.63,21.96,92900,0.0,0
2016-09-16,21.96,21.99,21.72,21.93,65100,0.0,0
2016-09-19,22.04,22.22,21.93,22.11,97100,0.0,0
2016-09-20,22.13,22.13,21.9,21.99,152600,0.0,0
2016-09-21,22.06,22.12,21.86,21.94,116700,0.0,0
2016-09-22,22.12,22.39,22.0,22.09,96000,0.0,0
2016-09-23,22.13,22.26,22.03,22.26,107100,0.0,0
2016-09-26,22.29,22.45,22.08,22.27,78200,0.0,0
2016-09-27,22.27,22.4,22.09,22.18,73600,0.0,0
2016-09-28,22.25,22.3,22.13,22.27,77600,0.0,0
2016-09-29,22.26,22.27,21.97,21.98,75900,0.0,0
2016-09-30,22.18,22.42,22.12,22.25,113600,0.0,0
2016-10-03,22.16,22.29,22.05,22.05,63600,0.0,0
2016-10-04,22.13,22.19,22.03,22.12,52500,0.0,0
2016-10-05,22.14,22.25,22.12,22.17,126900,0.0,0
2016-10-06,22.26,22.34,22.13,22.24,36900,0.0,0
2016-10-07,22.32,22.48,22.2,22.41,51200,0.0,0
2016-10-10,22.42,22.52,22.24,22.36,54500,0.0,0
2016-10-11,22.37,22.44,21.99,22.18,283000,0.0,0
2016-10-12,22.33,22.39,22.17,22.19,109900,0.375,0
2016-10-13,22.11,22.41,21.82,22.02,42000,0.0,0
2016-10-14,22.11,22.4,22.11,22.16,43900,0.0,0
2016-10-17,22.28,22.35,21.95,22.07,64100,0.0,0
2016-10-18,22.23,22.3,22.07,22.16,68600,0.0,0
2016-10-19,22.19,22.53,22.17,22.36,78300,0.0,0
2016-10-20,22.36,22.49,22.17,22.32,111400,0.0,0
2016-10-21,22.37,22.45,22.28,22.28,45400,0.0,0
2016-10-24,22.45,22.55,22.28,22.34,51200,0.0,0
2016-10-25,22.4,22.4,22.13,22.33,58300,0.0,0
2016-10-26,22.35,22.35,22.26,22.3,43300,0.0,0
2016-10-27,22.33,22.4,22.22,22.26,82600,0.0,0
2016-10-28,22.16,22.34,22.08,22.1,47800,0.0,0
2016-10-31,22.11,22.32,22.06,22.07,109900,0.0,0
2016-11-01,22.21,22.22,22.05,22.05,102600,0.0,0
2016-11-02,22.03,22.16,21.93,21.99,63500,0.0,0
2016-11-03,22.06,22.09,21.56,21.71,69600,0.0,0
2016-11-04,21.76,22.03,21.76,21.94,81200,0.0,0
2016-11-07,22.04,22.28,22.04,22.18,79300,0.0,0
2016-11-08,22.24,22.24,21.86,21.95,55400,0.0,0
2016-11-09,21.2,21.92,21.2,21.7,171400,0.0,0
2016-11-10,21.76,21.86,20.99,21.06,313100,0.0,0
2016-11-11,21.03,21.08,20.62,20.83,206200,0.0,0
2016-11-14,20.74,20.91,20.18,20.4,324400,0.0,0
2016-11-15,20.66,21.52,20.66,21.17,184100,0.0,0
2016-11-16,21.27,21.52,21.21,21.28,122000,0.0,0
2016-11-17,21.31,21.32,21.05,21.24,113400,0.0,0
2016-11-18,21.28,21.49,21.12,21.14,115700,0.0,0
2016-11-21,21.29,21.43,21.02,21.09,93300,0.0,0
2016-11-22,21.08,21.44,21.08,21.24,92400,0.0,0
2016-11-23,21.24,21.28,21.15,21.19,106100,0.0,0
2016-11-25,21.22,21.28,21.15,21.15,25500,0.0,0
2016-11-28,21.2,21.2,20.99,20.99,89500,0.0,0
2016-11-29,21.11,21.11,20.8,20.91,76700,0.0,0
2016-11-30,20.96,20.97,20.68,20.71,106900,0.0,0
2016-12-01,20.82,20.82,20.27,20.7,278300,0.0,0
2016-12-02,20.77,20.77,20.41,20.58,160000,0.0,0
2016-12-05,20.62,20.77,20.49,20.54,598100,0.0,0
2016-12-06,20.72,20.94,20.57,20.87,162300,0.0,0
2016-12-07,20.87,21.31,20.87,21.14,74600,0.0,0
2016-12-08,21.09,21.28,20.85,20.92,82700,0.0,0
2016-12-09,20.98,21.06,20.83,20.87,76800,0.0,0
2016-12-12,20.87,20.96,20.63,20.67,71800,0.0,0
2016-12-13,20.78,20.83,20.72,20.77,136700,0.0,0
2016-12-14,20.78,20.87,20.7,20.72,124400,0.0,0
2016-12-15,20.73,20.95,20.57,20.57,180700,0.0,0
2016-12-16,20.71,20.92,20.65,20.77,112200,0.0,0
2016-12-19,20.78,20.86,20.7,20.74,111800,0.0,0
2016-12-20,20.77,20.78,20.68,20.7,148800,0.0,0
2016-12-21,20.78,21.27,20.78,21.22,104400,0.0,0
2016-12-22,21.26,21.52,21.23,21.42,130400,0.0,0
2016-12-23,21.24,21.24,20.95,21.07,61800,0.0,0
2016-12-27,21.16,21.17,21.02,21.09,75600,0.0,0
2016-12-28,21.22,21.32,21.11,21.29,46600,0.0,0
2016-12-29,21.19,21.51,21.19,21.41,37900,0.0,0
2016-12-30,21.45,21.59,21.32,21.56,46300,0.0,0
2017-01-03,21.51,21.59,21.26,21.45,73900,0.0,0
2017-01-04,21.45,21.77,21.45,21.59,681900,0.0,0
2017-01-05,21.63,21.74,21.52,21.69,92300,0.0,0
2017-01-06,21.7,21.7,21.55,21.58,50700,0.0,0
2017-01-09,21.68,21.72,21.56,21.58,182300,0.0,0
2017-01-10,21.55,21.67,21.42,21.61,64900,0.0,0
2017-01-11,21.83,21.83,21.5,21.6,332500,0.375,0
2017-01-12,21.61,21.68,21.51,21.6,312200,0.0,0
2017-01-13,21.59,21.64,21.47,21.6,103000,0.0,0
2017-01-17,21.6,21.65,21.52,21.61,97200,0.0,0
2017-01-18,21.6,21.66,21.58,21.64,54500,0.0,0
2017-01-19,21.68,21.68,21.47,21.61,59500,0.0,0
2017-01-20,21.6,21.61,21.34,21.52,40700,0.0,0
2017-01-23,21.64,21.8,21.59,21.64,89000,0.0,0
2017-01-24,21.6,21.7,21.55,21.58,106300,0.0,0
2017-01-25,21.6,21.7,21.59,21.64,75200,0.0,0
2017-01-26,21.77,21.79,21.53,21.63,59400,0.0,0
2017-01-27,21.74,21.89,21.68,21.78,139500,0.0,0
2017-01-30,21.84,21.84,21.69,21.73,81300,0.0,0
2017-01-31,21.8,21.87,21.7,21.85,59900,0.0,0
2017-02-01,21.95,21.98,21.8,21.97,58000,0.0,0
