Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-10-02,13.3,14.34,13.05,14.06,5312100,0,0
2009-10-05,13.86,14.25,13.75,14.0,685200,0,0
2009-10-06,14.0,14.05,13.84,14.0,413600,0,0
2009-10-07,13.9,14.0,13.39,13.51,227900,0,0
2009-10-08,13.5,13.6,12.35,12.98,417200,0,0
2009-10-09,12.76,13.1,12.35,12.87,395300,0,0
2009-10-12,13.29,13.3,12.37,12.38,136500,0,0
2009-10-13,12.27,12.5,11.75,12.1,194000,0,0
2009-10-14,12.03,12.23,11.85,12.05,281800,0,0
2009-10-15,11.93,12.5,11.89,12.27,68400,0,0
2009-10-16,12.5,12.85,12.1,12.5,190900,0,0
2009-10-19,12.79,12.79,12.21,12.61,56300,0,0
2009-10-20,12.61,12.8,12.45,12.62,45900,0,0
2009-10-21,12.84,12.84,12.4,12.68,27200,0,0
2009-10-22,12.55,13.0,12.55,12.88,113900,0,0
2009-10-23,12.77,13.0,12.6,12.87,83600,0,0
2009-10-26,12.9,13.0,12.62,12.83,84700,0,0
2009-10-27,12.63,13.0,12.61,12.96,97100,0,0
2009-10-28,12.84,12.95,12.5,12.9,89300,0,0
2009-10-29,12.99,13.75,12.9,13.12,107800,0,0
2009-10-30,13.2,13.25,12.96,13.05,58000,0,0
2009-11-02,13.05,13.53,13.0,13.24,66000,0,0
2009-11-03,13.01,13.81,13.0,13.65,197000,0,0
2009-11-04,13.84,14.35,13.55,14.18,88900,0,0
2009-11-05,14.0,14.28,13.61,14.27,252600,0,0
2009-11-06,14.06,14.08,13.57,14.06,13700,0,0
2009-11-09,14.28,14.92,14.08,14.36,119500,0,0
2009-11-10,14.5,14.88,14.06,14.28,168700,0,0
2009-11-11,14.65,15.32,14.5,15.18,174400,0,0
2009-11-12,14.99,15.25,14.22,14.6,79500,0,0
2009-11-13,14.76,14.8,14.35,14.46,36400,0,0
2009-11-16,15.29,15.29,13.26,13.45,89300,0,0
2009-11-17,13.43,14.07,13.19,13.21,102000,0,0
2009-11-18,13.23,13.3,12.38,12.53,208600,0,0
2009-11-19,12.5,12.69,12.25,12.68,50600,0,0
2009-11-20,12.53,12.8,12.38,12.76,57700,0,0
2009-11-23,12.81,13.23,12.76,13.07,17300,0,0
2009-11-24,12.96,13.0,12.68,12.8,23100,0,0
2009-11-25,12.75,12.8,12.64,12.8,15100,0,0
2009-11-27,12.61,12.83,12.53,12.69,16500,0,0
2009-11-30,12.62,13.31,12.51,12.68,50100,0,0
2009-12-01,12.53,13.26,12.53,12.99,73500,0,0
2009-12-02,13.14,13.15,12.69,12.89,56300,0,0
2009-12-03,12.93,13.5,12.9,13.13,71700,0,0
2009-12-04,13.48,14.12,13.19,13.95,187800,0,0
2009-12-07,13.78,14.02,13.56,13.77,38400,0,0
2009-12-08,13.7,13.7,13.25,13.38,24200,0,0
2009-12-09,13.55,14.33,13.2,13.4,57900,0,0
2009-12-10,13.6,13.6,12.75,13.21,75400,0,0
2009-12-11,13.25,13.32,12.9,13.31,64400,0,0
2009-12-14,13.32,13.32,12.64,12.94,100400,0,0
2009-12-15,13.1,13.24,12.63,13.11,76700,0,0
2009-12-16,13.04,13.33,12.26,12.35,135100,0,0
2009-12-17,12.26,12.71,12.02,12.08,86000,0,0
2009-12-18,12.43,12.9,12.21,12.4,662500,0,0
2009-12-21,12.49,12.93,12.36,12.85,78000,0,0
2009-12-22,12.98,12.98,12.39,12.51,148500,0,0
2009-12-23,12.65,12.69,12.38,12.56,97300,0,0
2009-12-24,12.51,12.79,12.5,12.58,23500,0,0
2009-12-28,12.53,12.98,12.4,12.49,69700,0,0
2009-12-29,12.65,12.65,12.31,12.44,45700,0,0
2009-12-30,12.44,12.7,12.25,12.65,16100,0,0
2009-12-31,12.71,12.76,12.41,12.69,33400,0,0
2010-01-04,12.81,12.83,12.39,12.39,71500,0,0
2010-01-05,12.44,12.49,12.2,12.32,90700,0,0
2010-01-06,12.42,13.21,12.41,12.93,126400,0,0
2010-01-07,13.04,13.73,12.66,13.66,119800,0,0
2010-01-08,13.7,14.02,13.3,13.6,118600,0,0
2010-01-11,13.81,13.81,13.26,13.46,116300,0,0
2010-01-12,13.42,13.82,13.21,13.3,58100,0,0
2010-01-13,13.41,13.5,13.2,13.31,24200,0,0
2010-01-14,13.33,13.41,13.21,13.3,53700,0,0
2010-01-15,13.32,13.32,13.04,13.2,64700,0,0
2010-01-19,13.13,13.26,13.04,13.1,62100,0,0
2010-01-20,13.05,13.29,12.91,13.05,57100,0,0
2010-01-21,13.24,13.24,12.75,12.85,27400,0,0
2010-01-22,12.88,12.88,12.25,12.53,56300,0,0
2010-01-25,12.59,12.71,12.52,12.61,46800,0,0
2010-01-26,12.53,12.64,12.26,12.37,143100,0,0
2010-01-27,12.29,12.53,12.26,12.51,56300,0,0
2010-01-28,12.74,12.74,12.09,12.24,41800,0,0
2010-01-29,12.32,12.7,12.05,12.07,48200,0,0
2010-02-01,12.11,12.72,11.74,12.1,94000,0,0
2010-02-02,12.06,12.24,11.69,11.9,132800,0,0
2010-02-03,11.88,11.88,11.14,11.28,201400,0,0
2010-02-04,11.26,11.26,10.74,10.79,94700,0,0
2010-02-05,10.87,10.87,10.5,10.55,82700,0,0
2010-02-08,10.56,10.8,10.56,10.67,63200,0,0
2010-02-09,10.82,10.82,10.55,10.62,52200,0,0
2010-02-10,10.59,10.79,10.18,10.31,77800,0,0
2010-02-11,10.3,10.77,10.18,10.66,88600,0,0
2010-02-12,10.67,10.77,10.43,10.49,231000,0,0
2010-02-16,10.6,10.6,10.33,10.49,88800,0,0
2010-02-17,10.57,10.71,10.37,10.54,95500,0,0
2010-02-18,10.55,10.9,10.55,10.9,81900,0,0
2010-02-19,10.91,11.4,10.7,11.36,82400,0,0
2010-02-22,11.61,11.78,11.24,11.41,100500,0,0
2010-02-23,11.33,11.33,10.82,11.02,438300,0,0
2010-02-24,11.27,11.28,10.4,10.99,98700,0,0
2010-02-25,10.86,11.23,10.64,11.15,49100,0,0
2010-02-26,11.24,11.49,11.03,11.31,48900,0,0
2010-03-01,11.31,11.99,11.31,11.81,102000,0,0
2010-03-02,11.86,12.45,11.86,12.35,61500,0,0
2010-03-03,12.4,12.73,12.03,12.51,110300,0,0
2010-03-04,12.65,12.65,12.5,12.52,27000,0,0
2010-03-05,12.54,12.76,12.14,12.76,21100,0,0
2010-03-08,12.79,12.86,12.49,12.53,37800,0,0
2010-03-09,12.43,12.69,12.09,12.66,27000,0,0
2010-03-10,12.62,13.2,12.61,12.79,137500,0,0
2010-03-11,12.73,12.88,12.65,12.87,53500,0,0
2010-03-12,12.93,12.93,12.71,12.86,22500,0,0
2010-03-15,12.89,12.91,12.58,12.69,47400,0,0
2010-03-16,12.77,12.94,12.52,12.81,64000,0,0
2010-03-17,12.79,13.0,12.68,12.87,15700,0,0
2010-03-18,12.77,13.05,12.75,12.8,12900,0,0
2010-03-19,12.86,12.91,12.76,12.86,35200,0,0
2010-03-22,12.8,13.04,12.79,12.99,22100,0,0
2010-03-23,12.96,13.25,12.76,13.19,118900,0,0
2010-03-24,13.15,13.27,12.88,13.26,83000,0,0
2010-03-25,13.28,13.3,12.84,13.1,69700,0,0
2010-03-26,13.06,13.15,12.91,13.01,75600,0,0
2010-03-29,13.01,13.45,13.01,13.25,54000,0,0
2010-03-30,13.38,13.5,12.96,13.4,46100,0,0
