Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-03,18.0,18.88,16.0,18.2,4157900,0,0
2016-02-04,18.26,19.42,17.57,18.5,469900,0,0
2016-02-05,18.84,18.88,17.52,17.6,219900,0,0
2016-02-08,17.52,18.0,15.72,15.85,372100,0,0
2016-02-09,15.5,15.5,12.75,12.81,744100,0,0
2016-02-10,13.01,14.0,12.79,13.09,260800,0,0
2016-02-11,12.97,16.9,12.57,15.77,258900,0,0
2016-02-12,16.0,17.44,15.05,15.4,216300,0,0
2016-02-16,15.85,16.2,15.73,15.94,142500,0,0
2016-02-17,16.74,17.16,15.96,16.7,245500,0,0
2016-02-18,17.15,17.39,16.2,16.75,129900,0,0
2016-02-19,16.86,19.98,16.66,18.48,345700,0,0
2016-02-22,19.6,21.9,19.1,21.62,417000,0,0
2016-02-23,21.3,23.48,21.26,22.62,411800,0,0
2016-02-24,22.9,24.56,22.0,23.22,498300,0,0
2016-02-25,22.84,24.28,22.8,23.95,325800,0,0
2016-02-26,25.36,29.4,24.32,27.49,583100,0,0
2016-02-29,28.0,30.12,27.44,28.95,618700,0,0
2016-03-01,29.47,29.8,26.69,28.96,532700,0,0
2016-03-02,29.0,31.9,28.05,31.9,394300,0,0
2016-03-03,32.92,39.08,31.51,37.49,590000,0,0
2016-03-04,39.0,39.13,34.25,35.56,577300,0,0
2016-03-07,35.89,41.6,35.89,39.11,421100,0,0
2016-03-08,41.99,43.99,40.13,41.99,603900,0,0
2016-03-09,42.7,43.41,30.0,31.1,1444300,0,0
2016-03-10,32.5,32.5,25.64,26.74,816900,0,0
2016-03-11,27.98,32.0,27.25,31.25,467800,0,0
2016-03-14,31.25,34.3,30.51,30.77,305500,0,0
2016-03-15,29.85,33.35,29.4,32.34,197800,0,0
2016-03-16,32.08,35.2,31.01,31.02,278500,0,0
2016-03-17,31.17,32.54,30.31,30.43,290400,0,0
2016-03-18,31.57,31.57,28.02,29.36,1080500,0,0
2016-03-21,30.24,30.5,29.0,29.96,229900,0,0
2016-03-22,29.95,30.38,29.2,29.88,100100,0,0
2016-03-23,30.0,30.88,29.11,30.45,294000,0,0
2016-03-24,30.44,31.57,30.05,31.31,185400,0,0
2016-03-28,31.78,31.99,30.05,30.53,104100,0,0
2016-03-29,30.13,33.24,30.13,32.61,158500,0,0
2016-03-30,33.0,34.33,31.02,31.19,122500,0,0
2016-03-31,32.0,35.0,31.5,34.54,976300,0,0
2016-04-01,35.0,37.41,33.17,36.9,230300,0,0
2016-04-04,37.29,40.5,37.0,39.58,333900,0,0
2016-04-05,39.45,42.85,38.6,42.04,403700,0,0
2016-04-06,41.98,43.5,41.61,41.83,271900,0,0
2016-04-07,41.5,41.56,38.6,39.86,372000,0,0
2016-04-08,40.41,41.13,40.0,40.45,236900,0,0
2016-04-11,41.05,41.19,37.26,37.87,241900,0,0
2016-04-12,37.48,37.91,35.42,37.11,275100,0,0
2016-04-13,38.61,38.61,37.15,38.19,107900,0,0
2016-04-14,38.1,40.76,38.1,39.73,159200,0,0
2016-04-15,39.67,41.4,39.67,39.87,161200,0,0
2016-04-18,40.5,41.26,40.0,40.36,57000,0,0
2016-04-19,40.76,41.1,38.75,39.59,144900,0,0
2016-04-20,39.74,40.97,39.1,40.64,67600,0,0
2016-04-21,41.04,41.24,39.52,40.23,91000,0,0
2016-04-22,40.48,40.76,37.76,38.1,210600,0,0
2016-04-25,38.09,39.5,38.09,38.71,121900,0,0
2016-04-26,39.28,39.41,36.5,37.0,141200,0,0
2016-04-27,36.86,36.98,36.02,36.37,141600,0,0
2016-04-28,36.98,38.03,34.04,34.14,152300,0,0
2016-04-29,34.0,34.55,32.03,33.05,215000,0,0
2016-05-02,33.07,34.31,33.07,33.51,91100,0,0
2016-05-03,33.47,33.52,30.99,30.99,181900,0,0
2016-05-04,32.05,32.18,30.0,30.2,169900,0,0
2016-05-05,31.0,32.5,30.29,31.99,199700,0,0
2016-05-06,31.9,32.56,29.43,30.13,169800,0,0
2016-05-09,30.04,30.97,30.04,30.3,76000,0,0
2016-05-10,30.3,30.89,30.2,30.61,79100,0,0
2016-05-11,30.44,30.94,30.3,30.39,105700,0,0
2016-05-12,30.41,30.41,27.98,28.54,251100,0,0
2016-05-13,28.64,30.34,28.62,30.09,114400,0,0
2016-05-16,31.0,36.24,30.89,34.0,573800,0,0
2016-05-17,35.1,35.6,32.2,32.2,185800,0,0
2016-05-18,31.95,33.52,31.88,33.34,106100,0,0
2016-05-19,33.49,34.43,32.48,32.85,160700,0,0
2016-05-20,32.93,33.74,32.67,33.25,131400,0,0
2016-05-23,33.14,34.56,33.07,33.78,203100,0,0
2016-05-24,33.86,36.1,33.86,35.75,201800,0,0
2016-05-25,36.0,37.0,35.15,36.02,254400,0,0
2016-05-26,36.0,36.58,35.19,35.39,77700,0,0
2016-05-27,36.0,36.25,34.4,35.22,162800,0,0
