Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-07-02,6.88,7.38,6.62,7.12,1113500,0,0
1997-07-03,7.25,7.5,6.94,6.94,187600,0,0
1997-07-07,7.0,7.0,6.38,6.62,342200,0,0
1997-07-08,6.62,7.0,6.5,6.75,99200,0,0
1997-07-09,7.0,8.0,6.75,7.75,605000,0,0
1997-07-10,8.12,8.88,8.12,8.75,369400,0,0
1997-07-11,9.12,9.88,9.0,9.12,353500,0,0
1997-07-14,9.12,10.0,9.0,9.5,329000,0,0
1997-07-15,9.75,9.88,9.44,9.88,243900,0,0
1997-07-16,9.88,11.5,9.81,11.12,456500,0,0
1997-07-17,11.25,11.62,11.0,11.12,435500,0,0
1997-07-18,11.38,11.38,10.0,10.5,298200,0,0
1997-07-21,10.38,10.38,9.62,10.0,193900,0,0
1997-07-22,10.0,10.25,9.75,10.25,72900,0,0
1997-07-23,10.38,10.62,10.25,10.62,56700,0,0
1997-07-24,10.62,11.12,10.12,10.88,80800,0,0
1997-07-25,11.12,11.62,10.88,11.25,143100,0,0
1997-07-28,11.88,12.25,10.5,10.62,342300,0,0
1997-07-29,10.75,10.75,10.0,10.25,115000,0,0
1997-07-30,10.38,10.38,9.5,9.75,125600,0,0
1997-07-31,9.75,9.75,8.88,9.38,160300,0,0
1997-08-01,9.38,9.38,8.5,9.12,57600,0,0
1997-08-04,9.12,10.12,8.88,9.5,124900,0,0
1997-08-05,9.62,10.12,9.62,9.88,108800,0,0
1997-08-06,10.0,10.25,9.62,9.88,125800,0,0
1997-08-07,9.88,10.0,9.5,9.75,72100,0,0
1997-08-08,9.75,9.88,9.5,9.75,50500,0,0
1997-08-11,9.75,9.88,9.25,9.5,71100,0,0
1997-08-12,9.5,9.5,9.0,9.12,156300,0,0
1997-08-13,8.88,9.12,8.88,9.12,96600,0,0
1997-08-14,9.12,9.12,8.94,9.0,91200,0,0
1997-08-15,9.0,9.12,8.94,9.0,82600,0,0
1997-08-18,9.12,9.12,9.0,9.12,39300,0,0
1997-08-19,9.12,9.12,8.88,9.0,60100,0,0
1997-08-20,8.94,9.31,8.94,9.25,54000,0,0
1997-08-21,9.38,9.38,9.12,9.12,19100,0,0
1997-08-22,9.0,9.12,8.62,9.12,39600,0,0
1997-08-25,9.12,9.38,8.75,9.38,28000,0,0
1997-08-26,9.38,9.38,8.75,8.75,16900,0,0
1997-08-27,9.19,9.19,8.75,8.88,13200,0,0
1997-08-28,9.0,9.19,8.88,8.94,20500,0,0
1997-08-29,9.19,10.62,9.12,10.38,116200,0,0
1997-09-02,10.5,11.38,10.5,10.94,75700,0,0
1997-09-03,11.12,11.12,10.0,10.12,87000,0,0
1997-09-04,10.38,10.38,9.12,9.62,39600,0,0
1997-09-05,9.62,10.0,8.88,9.5,167700,0,0
1997-09-08,9.62,10.0,9.5,9.75,69200,0,0
1997-09-09,10.0,10.0,9.62,9.75,10100,0,0
1997-09-10,10.0,10.38,9.88,10.25,39600,0,0
1997-09-11,10.25,10.25,9.75,10.0,21100,0,0
1997-09-12,10.12,10.12,9.88,9.94,54100,0,0
1997-09-15,10.12,10.12,9.88,9.89,35500,0,0
1997-09-16,9.94,10.0,9.56,9.56,22700,0,0
1997-09-17,9.59,10.5,9.56,10.48,134400,0,0
1997-09-18,10.5,10.62,10.06,10.06,116100,0,0
1997-09-19,10.0,10.25,9.62,9.62,45300,0,0
1997-09-22,9.75,10.12,9.44,10.12,155400,0,0
1997-09-23,10.12,11.25,10.12,10.88,390000,0,0
1997-09-24,11.0,11.12,10.88,11.06,352000,0,0
1997-09-25,11.12,11.12,10.88,11.0,255800,0,0
1997-09-26,11.25,11.62,10.88,11.0,91200,0,0
1997-09-29,11.25,12.38,11.0,11.81,166200,0,0
1997-09-30,12.25,13.0,11.25,11.62,258800,0,0
1997-10-01,11.62,12.25,11.62,12.0,198800,0,0
1997-10-02,12.12,12.25,11.81,11.94,75500,0,0
1997-10-03,12.0,12.0,11.5,11.75,121000,0,0
1997-10-06,11.56,11.81,11.38,11.5,110100,0,0
1997-10-07,11.56,12.0,11.5,11.88,160200,0,0
1997-10-08,11.88,11.88,11.62,11.88,65900,0,0
1997-10-09,11.88,11.88,11.5,11.62,78800,0,0
1997-10-10,11.5,11.62,11.0,11.0,39300,0,0
1997-10-13,10.94,12.0,10.88,11.88,99300,0,0
1997-10-14,12.0,12.25,11.62,11.62,94500,0,0
1997-10-15,11.88,11.88,11.5,11.62,31100,0,0
1997-10-16,11.56,12.0,11.56,11.75,141100,0,0
1997-10-17,11.88,11.88,11.25,11.25,68500,0,0
1997-10-20,11.62,11.88,11.12,11.88,86600,0,0
1997-10-21,11.88,16.0,11.88,16.0,694400,0,0
