Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-02-12,15.5,16.44,12.75,12.83,5948300,0,0
2014-02-13,12.51,13.48,12.47,13.22,487400,0,0
2014-02-14,13.2,13.59,12.76,12.8,107200,0,0
2014-02-18,13.0,13.07,12.6,12.94,81700,0,0
2014-02-19,12.71,12.95,11.74,12.14,273300,0,0
2014-02-20,12.0,12.05,11.55,11.65,244400,0,0
2014-02-21,11.61,12.3,11.41,12.05,283700,0,0
2014-02-24,12.2,12.45,11.84,12.05,124400,0,0
2014-02-25,12.26,13.5,12.05,13.35,406600,0,0
2014-02-26,13.5,14.32,13.5,14.0,425100,0,0
2014-02-27,14.0,14.47,13.57,13.89,220500,0,0
2014-02-28,13.95,14.4,13.06,13.76,130200,0,0
2014-03-03,13.72,13.95,13.38,13.48,63500,0,0
2014-03-04,13.7,13.9,13.22,13.26,114800,0,0
2014-03-05,13.49,14.96,13.45,14.79,471400,0,0
2014-03-06,14.97,15.1,14.15,14.49,295700,0,0
2014-03-07,14.82,15.09,14.11,14.92,164200,0,0
2014-03-10,15.1,15.34,14.66,14.89,457400,0,0
2014-03-11,15.01,15.09,13.85,14.17,118000,0,0
2014-03-12,14.23,14.55,13.73,14.1,123900,0,0
2014-03-13,14.23,14.89,13.54,14.78,245900,0,0
2014-03-14,14.69,14.87,14.16,14.5,93700,0,0
2014-03-17,14.57,14.6,14.05,14.11,114200,0,0
2014-03-18,14.07,14.49,14.0,14.33,98200,0,0
2014-03-19,14.41,14.76,14.28,14.48,138000,0,0
2014-03-20,15.31,15.48,14.5,14.7,313000,0,0
2014-03-21,14.7,14.83,14.19,14.6,167100,0,0
2014-03-24,14.69,14.97,13.1,13.61,173900,0,0
2014-03-25,13.75,14.05,13.37,13.55,74500,0,0
2014-03-26,13.6,14.25,12.56,12.81,136200,0,0
2014-03-27,12.85,13.06,12.27,12.63,130100,0,0
2014-03-28,12.61,12.87,11.8,12.36,230000,0,0
2014-03-31,12.42,12.9,12.39,12.75,392300,0,0
2014-04-01,12.81,13.14,12.55,12.9,81200,0,0
2014-04-02,12.96,13.36,12.94,13.17,78100,0,0
2014-04-03,13.15,13.22,12.6,13.1,79700,0,0
2014-04-04,13.12,13.23,12.23,12.96,211600,0,0
