Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-10-20,22.5,22.84,22.25,22.67,97000,0,0
2006-10-23,22.91,22.91,21.97,22.0,293900,0,0
2006-10-24,22.0,22.25,21.75,22.1,132700,0,0
2006-10-25,22.0,22.79,21.78,22.35,249000,0,0
2006-10-26,22.25,23.5,21.7,23.5,203000,0,0
2006-10-27,23.69,23.69,22.76,23.01,139000,0,0
2006-10-30,22.84,22.98,22.3,22.45,65400,0,0
2006-10-31,23.0,23.0,21.99,22.12,72100,0,0
2006-11-01,22.02,22.74,22.0,22.24,117100,0,0
2006-11-02,22.06,23.5,21.88,23.12,191700,0,0
2006-11-03,23.3,24.0,23.0,23.54,115000,0,0
2006-11-06,23.6,23.7,23.02,23.55,27900,0,0
2006-11-07,23.09,23.6,23.0,23.4,115300,0,0
2006-11-08,23.07,23.11,22.39,22.5,173900,0,0
2006-11-09,22.58,22.7,22.5,22.51,121900,0,0
2006-11-10,24.0,25.06,22.89,23.29,336000,0,0
2006-11-13,23.28,23.72,23.25,23.5,94800,0,0
2006-11-14,23.65,26.29,23.27,25.9,474200,0,0
2006-11-15,25.9,27.22,25.0,27.1,339500,0,0
2006-11-16,27.17,28.88,25.91,26.89,338700,0,0
2006-11-17,26.94,26.94,25.94,26.25,126200,0,0
2006-11-20,24.5,25.14,24.0,24.63,343800,0,0
2006-11-21,24.39,24.85,22.5,22.73,307800,0,0
2006-11-22,21.59,23.31,21.4,22.16,487200,0,0
2006-11-24,22.15,22.6,21.71,22.4,54200,0,0
2006-11-27,22.07,22.34,21.77,22.24,83900,0,0
2006-11-28,22.02,22.34,21.81,22.25,68400,0,0
2006-11-29,22.31,23.1,22.06,22.73,133400,0,0
2006-11-30,22.57,22.95,22.35,22.41,50100,0,0
2006-12-01,22.28,22.55,21.47,21.65,106700,0,0
2006-12-04,21.5,22.07,19.77,20.4,409000,0,0
2006-12-05,20.03,20.64,20.03,20.38,155600,0,0
2006-12-06,20.27,21.51,20.27,20.9,124200,0,0
2006-12-07,20.8,21.28,20.8,21.08,42400,0,0
2006-12-08,21.13,21.49,21.0,21.07,14300,0,0
2006-12-11,21.18,21.52,20.99,21.28,22200,0,0
2006-12-12,21.26,21.26,20.72,21.01,181900,0,0
2006-12-13,20.95,21.25,20.78,20.87,47900,0,0
2006-12-14,20.8,22.68,20.8,22.16,87000,0,0
2006-12-15,22.15,22.8,20.72,21.23,385100,0,0
2006-12-18,21.33,22.1,20.87,21.37,94600,0,0
2006-12-19,21.26,22.02,21.16,21.25,88900,0,0
2006-12-20,21.37,21.59,21.28,21.57,42200,0,0
2006-12-21,21.49,21.55,20.8,20.9,52900,0,0
2006-12-22,20.98,21.33,20.6,20.7,47800,0,0
2006-12-26,20.7,20.7,20.05,20.08,66300,0,0
2006-12-27,20.02,20.77,20.02,20.56,64000,0,0
2006-12-28,20.63,20.88,20.43,20.6,43100,0,0
2006-12-29,20.52,20.52,20.09,20.11,85900,0,0
2007-01-03,20.25,20.34,20.1,20.2,50800,0,0
2007-01-04,20.15,21.55,20.04,21.5,55000,0,0
2007-01-05,21.39,21.87,20.72,20.8,66300,0,0
2007-01-08,20.85,21.33,20.5,20.9,62700,0,0
2007-01-09,20.7,20.98,20.6,20.94,76900,0,0
2007-01-10,20.99,21.8,20.75,21.66,97600,0,0
2007-01-11,21.74,21.9,21.47,21.88,51500,0,0
2007-01-12,21.8,22.14,21.44,21.8,89000,0,0
2007-01-16,21.91,22.5,21.68,22.48,90300,0,0
2007-01-17,22.36,22.55,21.98,22.14,44600,0,0
2007-01-18,22.08,22.31,21.8,22.19,61400,0,0
2007-01-19,22.22,22.45,22.12,22.18,31400,0,0
2007-01-22,22.25,23.72,22.1,23.62,125500,0,0
2007-01-23,23.62,24.32,23.62,24.05,109100,0,0
2007-01-24,23.97,24.2,23.46,23.6,67700,0,0
2007-01-25,23.64,23.9,22.89,22.94,75200,0,0
2007-01-26,23.05,23.3,22.65,22.75,47000,0,0
2007-01-29,22.64,23.14,22.57,22.75,66700,0,0
2007-01-30,22.78,22.93,22.29,22.4,25500,0,0
2007-01-31,22.3,22.51,22.0,22.04,37300,0,0
2007-02-01,22.08,22.15,21.31,21.69,74100,0,0
2007-02-02,21.79,21.99,21.5,21.84,29100,0,0
2007-02-05,21.84,21.9,21.61,21.62,28200,0,0
2007-02-06,21.73,21.89,21.65,21.72,22200,0,0
2007-02-07,21.76,22.02,21.5,21.74,195900,0,0
2007-02-08,21.85,21.85,21.54,21.68,76500,0,0
2007-02-09,21.73,21.84,21.08,21.22,46100,0,0
2007-02-12,21.08,21.08,20.36,20.88,50800,0,0
2007-02-13,20.97,21.1,20.65,20.93,264700,0,0
2007-02-14,20.91,22.53,20.9,22.16,126200,0,0
2007-02-15,22.27,23.24,22.03,23.05,193000,0,0
2007-02-16,23.91,24.59,23.43,24.01,354000,0,0
2007-02-20,23.9,24.15,23.65,24.0,102400,0,0
2007-02-21,24.01,24.51,23.87,24.5,38500,0,0
2007-02-22,24.57,25.16,24.5,24.73,161100,0,0
2007-02-23,24.81,25.27,24.81,25.07,72700,0,0
2007-02-26,25.19,25.47,24.76,25.25,46900,0,0
2007-02-27,24.95,25.34,24.38,24.74,71700,0,0
2007-02-28,24.7,25.13,24.25,25.02,94100,0,0
2007-03-01,24.85,25.19,24.7,25.07,79800,0,0
2007-03-02,24.92,25.12,24.91,25.01,52300,0,0
2007-03-05,24.96,24.96,22.08,23.5,238800,0,0
2007-03-06,23.76,24.25,22.25,23.37,142000,0,0
