Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-30,148.5,152.25,121.95,122.7,117300,0,0.0
2014-01-31,120.0,129.6,118.95,127.05,18800,0,0.0
2014-02-03,125.25,130.2,118.5,120.0,7800,0,0.0
2014-02-04,120.0,120.15,111.75,112.5,25200,0,0.0
2014-02-05,112.5,115.5,112.5,115.5,5500,0,0.0
2014-02-06,112.65,119.25,112.5,117.9,1000,0,0.0
2014-02-07,119.85,120.0,112.5,112.95,3500,0,0.0
2014-02-10,117.0,117.0,112.5,112.65,7200,0,0.0
2014-02-11,112.5,116.25,112.5,115.35,3300,0,0.0
2014-02-12,115.5,115.5,112.5,113.4,2600,0,0.0
2014-02-13,112.5,114.6,112.5,114.0,1700,0,0.0
2014-02-14,116.25,116.25,113.1,113.25,1300,0,0.0
2014-02-18,115.35,115.35,112.5,112.5,2200,0,0.0
2014-02-19,113.55,114.0,112.5,112.5,2200,0,0.0
2014-02-20,114.3,116.25,112.5,113.4,2300,0,0.0
2014-02-21,115.05,115.05,112.5,113.55,1300,0,0.0
2014-02-24,137.55,220.2,130.35,142.5,214200,0,0.0
2014-02-25,152.7,163.5,138.45,161.85,71400,0,0.0
2014-02-26,163.5,183.3,150.75,171.15,30200,0,0.0
2014-02-27,173.7,189.0,168.0,188.1,16600,0,0.0
2014-02-28,194.1,194.1,169.2,169.5,12500,0,0.0
2014-03-03,174.15,174.15,157.92,162.6,5100,0,0.0
2014-03-04,164.7,177.45,164.7,177.45,8200,0,0.0
2014-03-05,177.3,181.2,164.87,169.5,8100,0,0.0
2014-03-06,168.75,177.18,167.1,173.1,3900,0,0.0
2014-03-07,176.25,176.7,166.5,172.5,6200,0,0.0
2014-03-10,174.0,176.4,164.4,173.85,6000,0,0.0
2014-03-11,173.7,189.9,171.03,184.05,8800,0,0.0
2014-03-12,187.5,208.65,183.15,203.1,12600,0,0.0
2014-03-13,208.5,232.2,207.0,219.9,15000,0,0.0
2014-03-14,227.4,239.25,205.83,237.6,9600,0,0.0
2014-03-17,244.35,257.4,202.66,212.85,20000,0,0.0
2014-03-18,211.65,213.75,199.5,204.3,9300,0,0.0
2014-03-19,207.9,208.05,187.41,188.7,11400,0,0.0
2014-03-20,184.65,198.45,183.3,198.0,8900,0,0.0
2014-03-21,197.4,208.2,190.96,196.65,17200,0,0.0
2014-03-24,195.0,196.35,170.1,175.2,8500,0,0.0
2014-03-25,177.75,191.25,174.0,182.25,6400,0,0.0
2014-03-26,181.8,184.2,167.4,171.9,4800,0,0.0
2014-03-27,172.5,185.4,154.65,183.6,5700,0,0.0
2014-03-28,182.85,190.5,166.65,168.9,6300,0,0.0
2014-03-31,168.75,187.5,168.3,178.8,59100,0,0.0
2014-04-01,170.85,179.4,155.4,172.2,6600,0,0.0
2014-04-02,171.75,175.8,163.82,166.05,3500,0,0.0
2014-04-03,165.3,168.6,145.05,145.5,6300,0,0.0
2014-04-04,145.5,160.5,145.5,149.7,11900,0,0.0
2014-04-07,148.35,150.3,135.75,138.15,5200,0,0.0
2014-04-08,138.6,157.5,136.05,157.35,6100,0,0.0
2014-04-09,158.55,161.55,150.75,159.75,3900,0,0.0
2014-04-10,187.5,201.0,165.9,178.05,54600,0,0.0
2014-04-11,176.4,188.71,168.3,185.7,23400,0,0.0
2014-04-14,188.4,205.05,176.85,181.35,17000,0,0.0
2014-04-15,183.15,183.15,159.3,175.2,9400,0,0.0
2014-04-16,175.95,175.95,166.05,172.5,3300,0,0.0
2014-04-17,172.5,180.0,168.0,179.1,3800,0,0.0
2014-04-21,180.6,188.85,177.15,187.95,3900,0,0.0
2014-04-22,188.55,196.5,183.45,186.3,6100,0,0.0
2014-04-23,186.75,186.75,172.5,176.4,3300,0,0.0
2014-04-24,176.85,180.0,171.15,178.2,5100,0,0.0
2014-04-25,176.25,176.25,168.46,174.0,5500,0,0.0
2014-04-28,175.05,178.65,165.9,171.45,4000,0,0.0
2014-04-29,173.4,177.75,171.45,176.25,6700,0,0.0
2014-04-30,175.8,177.0,173.55,176.25,4100,0,0.0
2014-05-01,175.2,178.2,169.8,173.55,7100,0,0.0
2014-05-02,174.0,174.75,168.75,171.3,4700,0,0.0
2014-05-05,171.0,172.65,165.9,171.0,3700,0,0.0
2014-05-06,172.47,172.47,156.15,157.8,5600,0,0.0
2014-05-07,157.35,157.35,148.65,151.05,5600,0,0.0
2014-05-08,149.7,158.25,144.15,145.5,6000,0,0.0
2014-05-09,144.75,154.95,142.2,154.5,4900,0,0.0
2014-05-12,156.3,173.4,154.8,170.4,7700,0,0.0
2014-05-13,176.55,176.55,157.5,158.55,7300,0,0.0
2014-05-14,147.0,160.8,146.85,150.9,5600,0,0.0
2014-05-15,149.25,155.25,144.0,144.3,6000,0,0.0
2014-05-16,144.0,144.75,141.75,143.25,2400,0,0.0
2014-05-19,142.2,151.5,142.2,146.4,5900,0,0.0
2014-05-20,145.5,150.6,142.05,143.7,3500,0,0.0
2014-05-21,144.0,145.8,130.2,133.95,7200,0,0.0
2014-05-22,133.8,140.85,129.75,130.95,5700,0,0.0
2014-05-23,130.05,137.25,130.05,135.9,2900,0,0.0
2014-05-27,138.0,139.74,135.15,137.7,1900,0,0.0
2014-05-28,138.3,139.95,133.2,138.9,1800,0,0.0
2014-05-29,140.7,140.7,134.25,135.45,1600,0,0.0
2014-05-30,135.9,135.9,131.7,133.95,2800,0,0.0
2014-06-02,134.85,134.85,122.1,123.6,4500,0,0.0
2014-06-03,123.15,126.45,117.3,118.5,3700,0,0.0
2014-06-04,131.4,148.95,127.5,140.25,16500,0,0.0
2014-06-05,140.25,146.7,138.15,138.75,5000,0,0.0
2014-06-06,140.7,141.15,135.6,135.6,3700,0,0.0
2014-06-09,137.1,140.7,135.75,136.8,5700,0,0.0
2014-06-10,135.6,140.25,135.6,137.25,4800,0,0.0
2014-06-11,136.95,163.05,136.66,159.45,10600,0,0.0
2014-06-12,158.4,167.7,158.4,162.75,8100,0,0.0
2014-06-13,164.25,169.2,159.6,168.45,6000,0,0.0
2014-06-16,175.65,196.5,165.9,195.0,14300,0,0.0
2014-06-17,195.0,217.35,192.0,217.05,15800,0,0.0
2014-06-18,218.4,225.0,203.7,212.85,17500,0,0.0
2014-06-19,214.35,217.35,204.38,216.0,6800,0,0.0
2014-06-20,213.3,219.3,209.25,210.45,10700,0,0.0
2014-06-23,210.15,217.5,206.7,212.7,5000,0,0.0
2014-06-24,213.45,217.95,213.15,214.2,8000,0,0.0
2014-06-25,213.6,216.9,210.18,212.7,4900,0,0.0
2014-06-26,213.9,216.9,211.5,213.6,5300,0,0.0
2014-06-27,213.15,227.1,210.0,225.0,53600,0,0.0
2014-06-30,225.15,247.05,222.12,240.3,13000,0,0.0
2014-07-01,244.05,244.2,237.45,240.6,10500,0,0.0
2014-07-02,242.25,249.9,237.9,244.2,4700,0,0.0
2014-07-03,244.5,250.8,244.2,244.8,5300,0,0.0
2014-07-07,243.6,244.2,218.1,220.8,11200,0,0.0
2014-07-08,219.15,244.05,214.8,230.55,7600,0,0.0
2014-07-09,231.75,233.7,225.0,228.45,5500,0,0.0
2014-07-10,225.0,226.65,212.28,216.75,14700,0,0.0
2014-07-11,214.95,214.95,191.55,191.55,7700,0,0.0
2014-07-14,192.75,192.75,180.9,182.1,5500,0,0.0
2014-07-15,184.65,186.0,175.5,176.85,3500,0,0.0
2014-07-16,181.5,181.5,164.85,167.55,4200,0,0.0
2014-07-17,167.7,168.3,154.5,167.4,8900,0,0.0
2014-07-18,170.25,199.65,167.7,197.1,11300,0,0.0
2014-07-21,195.15,215.25,190.5,211.35,7800,0,0.0
2014-07-22,211.65,220.2,211.2,217.05,4200,0,0.0
2014-07-23,216.45,221.25,194.7,195.0,11400,0,0.0
2014-07-24,194.85,203.85,188.25,199.5,4400,0,0.0
2014-07-25,195.75,198.45,185.4,188.7,6800,0,0.0
2014-07-28,187.65,195.0,185.55,188.1,5800,0,0.0
2014-07-29,191.25,207.6,186.75,198.45,4600,0,0.0
2014-07-30,200.85,200.85,184.5,194.4,5600,0,0.0
2014-07-31,192.45,197.25,180.52,185.25,4200,0,0.0
2014-08-01,187.65,192.0,180.15,189.6,8000,0,0.0
2014-08-04,192.15,192.15,170.25,175.8,13500,0,0.0
2014-08-05,174.45,181.5,162.3,167.85,5500,0,0.0
2014-08-06,168.15,170.55,156.15,158.1,10100,0,0.0
2014-08-07,156.6,177.0,144.9,172.5,13600,0,0.0
2014-08-08,171.3,171.3,157.8,163.5,3800,0,0.0
2014-08-11,163.65,165.06,153.75,154.35,8700,0,0.0
2014-08-12,154.35,157.5,143.77,144.75,18800,0,0.0
2014-08-13,139.65,155.25,138.0,147.75,163500,0,0.0
2014-08-14,147.6,161.25,144.45,159.45,30100,0,0.0
2014-08-15,161.1,162.3,150.15,157.95,13000,0,0.0
2014-08-18,159.0,177.85,156.84,175.8,27700,0,0.0
2014-08-19,177.0,177.0,167.7,174.9,10700,0,0.0
2014-08-20,173.25,177.6,171.9,173.4,5000,0,0.0
2014-08-21,176.1,177.9,168.45,169.35,4500,0,0.0
2014-08-22,171.12,174.9,167.31,171.45,12400,0,0.0
2014-08-25,172.65,174.0,171.3,172.05,2900,0,0.0
2014-08-26,170.55,173.85,168.3,171.6,3400,0,0.0
2014-08-27,172.95,183.3,170.34,178.2,9400,0,0.0
2014-08-28,179.25,181.5,174.23,176.1,3800,0,0.0
2014-08-29,175.35,178.65,169.21,172.95,5100,0,0.0
2014-09-02,175.8,177.45,160.2,170.4,13800,0,0.0
2014-09-03,170.25,170.25,156.0,161.55,4500,0,0.0
2014-09-04,162.9,167.4,150.15,150.3,6600,0,0.0
2014-09-05,150.0,165.07,150.0,160.8,7600,0,0.0
2014-09-08,159.15,161.7,157.65,159.15,3300,0,0.0
2014-09-09,158.4,161.25,154.95,158.1,4100,0,0.0
2014-09-10,156.9,161.25,153.0,160.2,3200,0,0.0
2014-09-11,157.35,160.23,155.85,157.2,1800,0,0.0
2014-09-12,156.0,157.35,152.1,152.85,2800,0,0.0
2014-09-15,150.6,155.85,148.2,154.2,4400,0,0.0
2014-09-16,152.55,157.5,151.05,154.05,4700,0,0.0
2014-09-17,153.18,160.35,153.15,156.0,4800,0,0.0
2014-09-18,156.75,156.75,152.25,153.0,2300,0,0.0
2014-09-19,154.2,154.2,150.15,152.55,2700,0,0.0
2014-09-22,150.3,151.5,147.0,151.2,6100,0,0.0
2014-09-23,151.95,155.85,150.6,152.85,5300,0,0.0
2014-09-24,151.5,153.3,148.01,151.2,2700,0,0.0
2014-09-25,149.55,149.7,145.65,148.2,2100,0,0.0
2014-09-26,149.55,150.75,147.0,148.05,2800,0,0.0
2014-09-29,147.45,149.85,146.25,148.5,2000,0,0.0
2014-09-30,149.25,168.3,147.43,156.9,9000,0,0.0
2014-10-01,155.4,156.15,147.9,148.65,3100,0,0.0
2014-10-02,148.5,157.35,146.4,154.05,2000,0,0.0
2014-10-03,155.1,158.55,154.65,156.0,2100,0,0.0
2014-10-06,157.35,157.35,150.0,150.45,1700,0,0.0
2014-10-07,150.3,150.9,140.55,143.7,7500,0,0.0
2014-10-08,142.05,147.3,139.65,147.3,2600,0,0.0
2014-10-09,142.49,146.48,141.0,143.1,3700,0,0.0
2014-10-10,143.07,147.45,141.0,142.05,3800,0,0.0
2014-10-13,145.2,156.3,144.45,146.25,5600,0,0.0
2014-10-14,148.2,148.2,141.0,141.0,2400,0,0.0
2014-10-15,139.2,141.54,138.0,141.54,2200,0,0.0
2014-10-16,138.15,153.0,138.15,147.45,1100,0,0.0
2014-10-17,149.7,153.0,144.43,146.4,2200,0,0.0
2014-10-20,147.15,148.5,144.75,147.3,2500,0,0.0
2014-10-21,147.3,156.0,146.8,154.65,3700,0,0.0
2014-10-22,155.55,155.7,151.95,153.75,2200,0,0.0
2014-10-23,155.1,161.55,150.9,153.0,4100,0,0.0
2014-10-24,152.55,156.15,152.55,155.25,1600,0,0.0
2014-10-27,154.95,156.82,153.45,156.3,1800,0,0.0
2014-10-28,157.5,157.5,153.9,155.55,5200,0,0.0
2014-10-29,155.85,161.55,155.7,161.25,3800,0,0.0
2014-10-30,161.25,162.75,160.5,161.25,2900,0,0.0
2014-10-31,163.8,167.1,161.4,165.75,7500,0,0.0
2014-11-03,165.0,179.1,163.95,177.0,11600,0,0.0
2014-11-04,178.05,180.0,169.05,172.95,29200,0,0.0
2014-11-05,174.75,178.95,170.4,173.55,6300,0,0.0
2014-11-06,172.65,175.5,170.55,174.0,2800,0,0.0
2014-11-07,172.65,173.7,169.65,172.5,2600,0,0.0
2014-11-10,173.85,174.13,169.96,174.0,3000,0,0.0
2014-11-11,173.1,186.45,173.1,186.45,7300,0,0.0
2014-11-12,195.0,195.0,174.15,181.05,6500,0,0.0
2014-11-13,180.45,187.27,180.45,182.85,3500,0,0.0
2014-11-14,180.75,180.75,172.5,174.45,4300,0,0.0
2014-11-17,174.0,176.1,172.8,174.6,1800,0,0.0
2014-11-18,174.45,174.75,172.95,173.25,1800,0,0.0
2014-11-19,172.5,176.55,172.5,176.25,2500,0,0.0
2014-11-20,175.2,179.25,174.6,176.25,3300,0,0.0
2014-11-21,176.55,177.75,174.45,176.25,7000,0,0.0
2014-11-24,176.1,179.55,175.74,176.25,2900,0,0.0
2014-11-25,176.64,185.85,176.64,183.0,2700,0,0.0
2014-11-26,183.15,189.45,183.15,187.35,5000,0,0.0
2014-11-28,187.2,187.5,184.2,184.2,1300,0,0.0
2014-12-01,184.35,186.9,176.6,179.25,4900,0,0.0
2014-12-02,180.0,189.0,178.05,187.65,6400,0,0.0
2014-12-03,188.55,194.85,186.15,192.9,4400,0,0.0
2014-12-04,192.9,192.9,186.36,186.9,2900,0,0.0
2014-12-05,186.45,197.85,184.8,195.75,9500,0,0.0
2014-12-08,195.45,207.0,191.55,206.7,7800,0,0.0
2014-12-09,204.75,247.35,202.5,237.15,60000,0,0.0
2014-12-10,237.0,273.38,231.6,270.75,66800,0,0.0
2014-12-11,270.75,285.45,236.35,247.5,55300,0,0.0
2014-12-12,242.85,259.5,242.85,258.75,23300,0,0.0
2014-12-15,260.7,278.7,259.62,265.95,18600,0,0.0
2014-12-16,265.5,272.55,243.6,266.4,7400,0,0.0
2014-12-17,266.55,287.1,262.5,281.25,12600,0,0.0
2014-12-18,287.55,292.24,276.3,278.25,26300,0,0.0
2014-12-19,275.1,282.0,267.3,279.15,53500,0,0.0
2014-12-22,275.4,288.75,270.6,272.1,9500,0,0.0
2014-12-23,271.35,273.3,251.1,265.35,43800,0,0.0
2014-12-24,268.05,281.4,264.83,278.1,4200,0,0.0
2014-12-26,280.35,289.35,271.5,286.8,6700,0,0.0
2014-12-29,288.15,312.75,288.0,308.4,15000,0,0.0
2014-12-30,309.9,310.36,291.75,294.6,7500,0,0.0
2014-12-31,298.2,307.5,292.65,292.95,15500,0,0.0
2015-01-02,292.65,303.9,292.65,302.55,14200,0,0.0
2015-01-05,303.9,310.35,288.0,289.65,18200,0,0.0
2015-01-06,288.75,292.05,245.25,254.55,35800,0,0.0
2015-01-07,256.2,266.7,255.0,258.9,17400,0,0.0
2015-01-08,262.5,264.75,256.95,263.25,12200,0,0.0
2015-01-09,258.6,285.0,255.0,279.0,15700,0,0.0
2015-01-12,285.3,285.3,270.0,275.25,14800,0,0.0
2015-01-13,277.5,283.35,263.25,270.6,10700,0,0.0
2015-01-14,262.05,278.25,255.15,277.2,13700,0,0.0
2015-01-15,276.3,278.7,255.0,256.65,13500,0,0.0
2015-01-16,254.7,270.75,254.7,270.0,7200,0,0.0
2015-01-20,271.5,277.05,259.65,265.8,6500,0,0.0
2015-01-21,266.4,267.75,255.0,258.9,9300,0,0.0
2015-01-22,260.25,260.25,238.2,245.25,19200,0,0.0
2015-01-23,246.45,258.45,246.15,255.45,14100,0,0.0
2015-01-26,255.75,272.85,255.45,266.55,19400,0,0.0
2015-01-27,263.25,275.07,255.15,270.9,13600,0,0.0
2015-01-28,271.35,271.35,258.45,259.5,6400,0,0.0
2015-01-29,259.65,269.1,250.35,266.85,9500,0,0.0
2015-01-30,266.55,273.75,253.95,255.45,19100,0,0.0
2015-02-02,255.45,256.65,237.6,252.45,22000,0,0.0
2015-02-03,255.0,255.0,231.15,240.15,16400,0,0.0
2015-02-04,237.15,245.4,226.35,235.5,12300,0,0.0
2015-02-05,237.15,245.4,231.0,241.05,12200,0,0.0
2015-02-06,242.4,248.25,236.55,239.55,11000,0,0.0
2015-02-09,237.15,244.65,234.9,235.5,17200,0,0.0
2015-02-10,236.55,239.55,232.65,237.75,7800,0,0.0
2015-02-11,238.65,256.33,237.76,249.0,18100,0,0.0
2015-02-12,251.25,254.1,240.76,247.5,6700,0,0.0
2015-02-13,247.5,251.55,244.35,246.75,10900,0,0.0
2015-02-17,245.7,249.45,240.9,246.3,24400,0,0.0
2015-02-18,247.2,249.0,243.15,247.05,16900,0,0.0
2015-02-19,245.7,254.55,241.65,244.8,23300,0,0.0
