Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-17,16.8,17.85,16.45,17.15,22200,0,0.0
2014-01-21,17.78,19.11,17.78,18.55,25400,0,0.0
2014-01-22,19.25,19.25,17.5,18.55,11400,0,0.0
2014-01-23,17.85,18.55,16.59,16.59,8800,0,0.0
2014-01-24,16.695,18.55,16.625,17.78,3200,0,0.0
2014-01-27,18.2,18.9,17.85,18.2,3700,0,0.0
2014-01-28,18.2,18.2,17.15,17.5,2800,0,0.0
2014-01-29,18.48,18.48,17.29,18.2,400,0,0.0
2014-01-30,18.2,18.41,17.08,17.08,8400,0,0.0
2014-01-31,17.15,19.25,16.8,17.15,2800,0,0.0
2014-02-03,17.85,17.85,15.82,16.45,6300,0,0.0
2014-02-04,16.1,16.8,16.1,16.8,1600,0,0.0
2014-02-05,16.8,17.5,16.03,17.5,1700,0,0.0
2014-02-06,17.5,21.35,16.1,20.58,23500,0,0.0
2014-02-07,21.0,23.8,21.0,22.26,7400,0,0.0
2014-02-10,22.75,22.75,18.2,21.0,9000,0,0.0
2014-02-11,22.4,22.4,20.65,20.86,4700,0,0.0
2014-02-12,22.4,22.4,19.32,21.0,13600,0,0.0
2014-02-13,21.0,21.35,19.95,21.0,3700,0,0.0
2014-02-14,21.0,24.43,19.6,19.95,9700,0,0.0
2014-02-18,22.75,22.75,19.95,21.0,19900,0,0.0
2014-02-19,21.07,23.8,21.07,23.1,21200,0,0.0
2014-02-20,23.73,29.05,23.45,26.67,59200,0,0.0
2014-02-21,27.3,37.73,26.95,36.33,103100,0,0.0
2014-02-24,43.365,57.54,39.9,53.55,215300,0,0.0
2014-02-25,51.45,51.45,41.09,41.72,138800,0,0.0
2014-02-26,45.08,47.11,41.86,44.8,38100,0,0.0
2014-02-27,46.55,48.65,45.5,45.5,28100,0,0.0
2014-02-28,45.64,45.64,40.95,42.0,43100,0,0.0
2014-03-03,41.02,41.16,24.5,37.17,35400,0,0.0
