Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,67.0,74.0,66.5,66.5,4900,0,0.0
2000-01-04,65.0,65.0,57.1,59.0,300,0,0.0
2000-01-05,50.0,61.0,50.0,54.0,2000,0,0.0
2000-01-06,56.0,58.0,56.0,58.0,600,0,0.0
2000-01-07,60.0,66.0,60.0,61.5,3200,0,0.0
2000-01-10,63.0,69.5,63.0,69.0,100,0,0.0
2000-01-11,73.0,90.0,73.0,85.0,500,0,0.0
2000-01-12,83.0,143.0,80.5,133.0,18900,0,0.0
2000-01-13,126.5,128.0,105.0,113.0,8300,0,0.0
2000-01-14,113.0,123.0,102.0,122.0,6400,0,0.0
2000-01-18,129.0,129.0,120.0,120.0,50,0,0.0
2000-01-19,120.0,129.9,116.0,129.9,1900,0,0.0
2000-01-20,138.0,138.0,125.0,125.0,35,0,0.0
2000-01-21,120.0,120.0,118.0,118.0,0,0,0.0
2000-01-24,117.5,119.0,117.5,119.0,0,0,0.0
2000-01-25,114.0,120.0,108.0,115.0,600,0,0.0
2000-01-26,112.0,114.0,107.0,107.0,400,0,0.0
2000-01-27,121.0,124.0,115.0,123.0,900,0,0.0
2000-01-28,118.0,120.0,115.0,115.0,100,0,0.0
2000-01-31,113.0,114.0,108.0,113.0,360,0,0.0
2000-02-01,115.0,115.0,114.0,114.0,10,0,0.0
2000-02-02,116.0,119.0,110.0,110.0,2200,0,0.0
2000-02-03,110.0,150.0,110.0,147.0,6440,0,0.0
2000-02-04,140.0,150.0,133.0,147.0,3100,0,0.0
2000-02-07,145.0,145.0,134.0,140.0,100,0,0.0
2000-02-08,140.0,140.0,134.0,134.0,0,0,0.0
2000-02-09,132.0,140.0,134.0,142.0,600,0,0.0
2000-02-10,141.0,143.0,137.0,139.0,58,0,0.0
2000-02-11,145.0,145.0,140.0,140.0,0,0,0.0
2000-02-14,135.0,135.0,124.0,124.0,0,0,0.0
2000-02-15,127.0,137.0,127.0,132.0,1100,0,0.0
2000-02-16,134.0,135.0,128.0,128.0,400,0,0.0
2000-02-17,127.0,127.0,127.0,127.0,0,0,0.0
2000-02-18,127.0,131.0,127.0,131.0,100,0,0.0
2000-02-22,142.0,142.0,140.0,140.0,0,0,0.0
2000-02-23,144.0,155.0,144.0,155.0,0,0,0.0
2000-02-24,153.0,165.0,153.0,162.0,300,0,0.0
2000-02-25,165.0,179.0,165.0,175.0,1400,0,0.0
2000-02-28,170.0,180.0,166.0,180.0,1500,0,0.0
2000-02-29,177.0,177.0,172.0,175.0,15,0,0.0
2000-03-01,175.0,233.0,175.0,210.0,465,0,0.0
2000-03-02,210.0,210.0,190.0,200.0,100,0,0.0
2000-03-03,205.0,205.0,195.0,205.0,300,0,0.0
2000-03-06,220.0,220.0,220.0,220.0,10,0,0.0
2000-03-07,220.0,220.0,215.0,218.0,100,0,0.0
2000-03-08,222.0,222.0,220.0,220.0,0,0,0.0
2000-03-09,220.0,220.0,220.0,220.0,0,0,0.0
2000-03-10,220.0,220.0,216.0,216.0,200,0,0.0
2000-03-13,219.0,219.0,219.0,219.0,0,0,0.0
2000-03-14,207.0,207.0,205.0,205.0,5,0,0.0
2000-03-15,195.0,195.0,195.0,195.0,9,0,0.0
2000-03-16,195.0,195.0,175.0,175.0,0,0,0.0
2000-03-17,172.0,190.0,172.0,190.0,200,0,0.0
2000-03-20,194.0,195.0,185.0,195.0,45,0,0.0
2000-03-21,188.0,185.0,180.0,180.0,73,0,0.0
2000-03-22,187.0,190.0,167.0,167.0,400,0,0.0
2000-03-23,160.0,160.0,136.0,137.0,200,0,0.0
2000-03-24,137.0,160.0,133.0,150.0,900,0,0.0
2000-03-27,148.0,155.0,148.0,150.0,70,0,0.0
2000-03-28,155.0,163.0,155.0,162.0,200,0,0.0
2000-03-29,161.0,161.0,160.0,160.0,20,0,0.0
2000-03-30,160.0,160.0,154.0,154.0,640,0,0.0
2000-03-31,150.0,153.0,150.0,153.0,200,0,0.0
2000-04-03,150.0,150.0,144.0,144.0,0,0,0.0
2000-04-04,141.0,141.0,135.0,135.0,400,0,0.0
2000-04-05,130.0,135.0,105.0,105.0,17,0,0.0
2000-04-06,118.0,125.0,118.0,125.0,40,0,0.0
2000-04-07,154.0,170.0,154.0,170.0,100,0,0.0
2000-04-10,178.0,178.0,153.0,153.0,65,0,0.0
2000-04-11,150.0,150.0,127.0,141.0,100,0,0.0
2000-04-12,140.0,140.0,129.0,129.0,100,0,0.0
2000-04-13,118.0,129.0,116.0,128.0,200,0,0.0
2000-04-14,122.0,123.0,119.0,119.0,100,0,0.0
2000-04-17,105.0,115.0,105.0,115.0,200,0,0.0
2000-04-18,120.0,120.0,115.0,115.0,100,0,0.0
2000-04-19,120.0,125.0,115.0,125.0,500,0,0.0
2000-04-20,121.0,121.0,120.0,120.0,40,0,0.0
2000-04-24,112.0,112.0,112.0,112.0,0,0,0.0
2000-04-25,117.0,120.0,117.0,117.0,6,0,0.0
2000-04-26,118.0,124.0,118.0,120.0,43,0,0.0
2000-04-27,117.0,124.0,117.0,124.0,0,0,0.0
2000-04-28,123.0,123.0,123.0,123.0,0,0,0.0
2000-05-01,123.0,123.0,123.0,123.0,0,0,0.0
2000-05-02,130.0,132.0,130.0,131.0,14,0,0.0
2000-05-03,131.0,134.0,131.0,133.0,100,0,0.0
2000-05-04,135.0,138.0,132.0,132.0,100,0,0.0
2000-05-05,133.0,136.0,133.0,136.0,0,0,0.0
2000-05-08,136.0,145.0,136.0,139.0,100,0,0.0
2000-05-09,132.5,132.5,132.5,132.5,0,0,0.0
2000-05-10,120.0,120.5,114.0,114.0,62,0,0.0
2000-05-11,110.0,116.0,110.0,116.0,25,0,0.0
2000-05-12,120.0,120.0,120.0,120.0,0,0,0.0
2000-05-15,118.5,121.0,116.0,119.5,300,0,0.0
2000-05-16,117.5,117.5,110.0,111.0,70,0,0.0
2000-05-17,106.0,106.0,102.0,102.0,95,0,0.0
2000-05-18,100.0,83.0,100.0,83.0,0,0,0.0
2000-05-19,82.0,82.0,66.0,66.0,0,0,0.0
2000-05-22,64.5,64.5,55.0,55.0,15,0,0.0
2000-05-23,59.0,63.0,57.0,57.0,800,0,0.0
2000-05-24,50.5,52.0,50.5,52.0,0,0,0.0
2000-05-25,54.5,55.5,54.5,55.5,30,0,0.0
2000-05-26,53.5,53.5,52.8,52.8,0,0,0.0
2000-05-30,50.0,50.0,43.0,43.0,1000,0,0.0
2000-05-31,44.0,46.0,40.0,40.0,3400,0,0.0
2000-06-01,41.0,49.0,48.0,49.0,500,0,0.0
2000-06-02,50.0,50.0,47.0,47.0,0,0,0.0
2000-06-05,48.0,48.0,48.0,48.0,0,0,0.0
2000-06-06,45.0,47.0,43.0,43.0,1200,0,0.0
2000-06-07,42.0,42.0,42.0,42.0,0,0,0.0
2000-06-08,47.0,47.2,45.0,45.0,100,0,0.0
2000-06-09,43.0,43.0,39.0,39.0,900,0,0.0
2000-06-12,39.5,41.0,39.5,41.0,100,0,0.0
2000-06-13,40.0,40.0,39.0,39.0,0,0,0.0
2000-06-14,39.0,39.0,39.0,39.0,100,0,0.0
2000-06-15,38.5,38.5,37.5,37.5,100,0,0.0
2000-06-16,37.0,37.0,37.0,37.0,0,0,0.0
2000-06-19,36.0,37.0,36.0,37.0,0,0,0.0
2000-06-20,33.8,33.8,33.1,33.1,200,0,0.0
2000-06-21,33.8,37.9,33.8,36.5,300,0,0.0
2000-06-22,35.3,36.8,35.3,36.8,200,0,0.0
2000-06-23,36.25,37.5,34.0,34.0,300,0,0.0
2000-06-26,33.0,33.0,33.0,33.0,0,0,0.0
2000-06-27,32.5,32.5,32.5,32.5,0,0,0.0
2000-06-28,30.9,31.0,28.8,28.8,1300,0,0.0
2000-06-29,29.5,29.5,29.5,29.5,0,0,0.0
2000-06-30,26.5,26.5,26.5,26.5,0,0,0.0
2000-07-03,26.0,27.0,26.7,26.71,700,0,0.0
2000-07-05,30.0,31.0,29.0,29.0,50,0,0.0
2000-07-06,28.5,28.5,28.5,28.5,0,0,0.0
2000-07-07,25.5,25.5,25.5,25.5,0,0,0.0
2000-07-10,27.2,27.5,26.0,26.0,100,0,0.0
2000-07-11,26.0,26.0,24.0,24.0,600,0,0.0
2000-07-12,24.0,24.0,20.0,21.0,1200,0,0.0
2000-07-13,24.0,26.5,23.95,25.3,5700,0,0.0
2000-07-14,25.5,25.5,24.5,24.5,100,0,0.0
2000-07-17,25.0,31.0,25.0,28.5,1400,0,0.0
2000-07-18,30.0,30.0,28.0,28.5,100,0,0.0
2000-07-19,28.0,29.7,28.0,28.5,300,0,0.0
2000-07-20,27.5,28.0,26.5,26.5,200,0,0.0
2000-07-21,27.0,27.5,27.0,27.3,100,0,0.0
2000-07-24,27.3,27.3,27.3,27.3,0,0,0.0
2000-07-25,25.0,25.5,24.6,24.6,3000,0,0.0
2000-07-26,24.5,24.5,24.1,24.1,100,0,0.0
2000-07-27,24.1,24.1,24.1,24.1,0,0,0.0
2000-07-28,22.0,22.0,21.2,21.5,4000,0,0.0
2000-07-31,20.5,20.5,20.5,20.5,0,0,0.0
2000-08-01,21.3,22.18,21.3,22.0,600,0,0.0
2000-08-02,21.3,21.3,20.0,20.0,500,0,0.0
2000-08-03,20.0,20.3,20.0,20.3,88,0,0.0
2000-08-04,20.0,24.5,20.0,22.0,500,0,0.0
2000-08-07,22.0,22.0,22.0,22.0,0,0,0.0
2000-08-08,21.3,21.3,21.3,21.3,0,0,0.0
2000-08-09,21.3,21.3,21.3,21.3,0,0,0.0
2000-08-10,21.5,21.5,21.5,21.5,0,0,0.0
2000-08-11,21.8,23.0,21.8,22.65,2000,0,0.0
2000-08-14,22.5,24.5,22.5,24.5,900,0,0.0
2000-08-15,26.3,27.5,23.4,23.4,4200,0,0.0
2000-08-16,23.1,23.1,22.0,22.0,100,0,0.0
2000-08-17,22.0,22.0,22.0,22.0,0,0,0.0
2000-08-18,22.0,22.5,22.0,22.5,0,0,0.0
2000-08-21,22.1,23.0,22.1,23.0,100,0,0.0
2000-08-22,22.5,23.5,22.5,23.5,100,0,0.0
2000-08-23,22.75,22.75,22.5,22.5,100,0,0.0
2000-08-24,23.3,23.3,23.0,23.0,100,0,0.0
2000-08-25,22.2,22.2,22.2,22.2,20,0,0.0
2000-08-28,22.0,22.0,22.0,22.0,0,0,0.0
2000-08-29,22.5,23.0,22.5,22.5,400,0,0.0
2000-08-30,21.5,21.5,21.5,21.5,30,0,0.0
2000-08-31,21.3,23.3,21.7,23.3,600,0,0.0
2000-09-01,23.3,27.0,27.0,27.0,100,0,0.0
2000-09-05,34.1,35.5,31.5,33.6,7500,0,0.0
2000-09-06,32.4,34.3,32.4,33.8,100,0,0.0
2000-09-07,33.5,33.5,30.5,31.3,1000,0,0.0
2000-09-08,31.2,32.0,32.0,32.0,50,0,0.0
2000-09-11,30.1,31.7,29.3,31.0,600,0,0.0
2000-09-12,27.0,27.0,26.6,26.6,75,0,0.0
2000-09-13,27.0,27.0,25.0,26.7,2600,0,0.0
2000-09-14,26.8,28.25,26.8,27.95,1900,0,0.0
2000-09-15,28.25,28.25,28.25,28.25,0,0,0.0
2000-09-18,25.5,25.5,25.5,25.5,0,0,0.0
2000-09-19,26.0,26.0,26.0,26.0,0,0,0.0
2000-09-20,26.0,27.3,26.0,26.55,700,0,0.0
2000-09-21,26.0,26.0,25.0,25.0,30,0,0.0
2000-09-22,25.5,25.5,25.5,25.5,0,0,0.0
2000-09-25,26.3,27.3,26.3,27.3,0,0,0.0
2000-09-26,26.5,26.5,26.5,26.5,0,0,0.0
2000-09-27,26.5,27.0,26.0,26.0,700,0,0.0
2000-09-28,25.5,25.5,25.5,25.5,0,0,0.0
2000-09-29,26.0,26.0,26.0,26.0,0,0,0.0
2000-10-02,24.5,25.3,24.5,25.3,200,0,0.0
2000-10-03,25.0,25.3,25.0,25.3,0,0,0.0
2000-10-04,24.5,24.5,24.5,24.5,0,0,0.0
2000-10-05,24.0,24.0,24.0,24.0,0,0,0.0
2000-10-06,24.5,24.5,24.5,24.5,0,0,0.0
2000-10-09,24.5,24.5,24.5,24.5,0,0,0.0
2000-10-10,23.0,23.0,23.0,23.0,0,0,0.0
2000-10-11,21.63,21.63,21.63,21.63,0,0,0.0
2000-10-12,21.0,21.0,21.0,21.0,0,0,0.0
2000-10-13,21.0,21.0,21.0,21.0,0,0,0.0
2000-10-16,23.0,23.0,23.0,23.0,300,0,0.0
2000-10-17,22.2,22.2,22.2,22.2,0,0,0.0
2000-10-18,22.0,22.0,22.0,22.0,0,0,0.0
2000-10-19,21.8,22.55,21.8,22.55,200,0,0.0
2000-10-20,24.0,24.0,24.0,24.0,0,0,0.0
2000-10-23,23.0,23.0,23.0,23.0,0,0,0.0
2000-10-24,23.8,24.3,23.8,24.3,50,0,0.0
2000-10-25,24.3,24.3,24.3,24.3,0,0,0.0
2000-10-26,23.2,23.4,23.2,23.4,100,0,0.0
2000-10-27,22.8,22.8,22.8,22.8,0,0,0.0
2000-10-30,22.4,22.4,22.4,22.4,0,0,0.0
2000-10-31,22.4,22.4,22.4,22.4,0,0,0.0
2000-11-01,21.2,21.2,19.5,19.5,0,0,0.0
2000-11-02,19.2,19.2,19.2,19.2,0,0,0.0
2000-11-03,19.5,19.5,19.5,19.5,0,0,0.0
2000-11-06,18.2,18.2,16.3,16.3,0,0,0.0
2000-11-07,16.0,16.0,15.0,15.0,0,0,0.0
2000-11-08,15.0,16.8,14.8,15.5,2900,0,0.0
2000-11-09,15.0,15.0,15.0,15.0,0,0,0.0
2000-11-10,13.75,13.75,13.75,13.75,0,0,0.0
2000-11-13,13.0,13.0,10.15,10.15,100,0,0.0
2000-11-14,10.5,13.7,10.5,13.7,500,0,0.0
2000-11-15,14.5,14.5,12.1,12.1,200,0,0.0
2000-11-16,12.5,12.5,11.5,12.0,200,0,0.0
2000-11-17,11.5,11.5,11.5,11.5,0,0,0.0
2000-11-20,11.9,12.6,11.9,12.6,200,0,0.0
2000-11-21,12.2,12.75,12.2,12.75,100,0,0.0
2000-11-22,12.7,12.7,12.7,12.7,0,0,0.0
2000-11-24,11.5,11.55,11.4,11.4,100,0,0.0
2000-11-27,12.0,13.5,12.0,13.5,5,0,0.0
2000-11-28,13.0,13.0,13.0,13.0,0,0,0.0
2000-11-29,11.0,11.2,11.0,11.2,900,0,0.0
2000-11-30,10.7,10.7,10.7,10.7,0,0,0.0
2000-12-01,11.0,11.2,11.0,11.0,500,0,0.0
2000-12-04,10.8,10.8,10.0,10.0,0,0,0.0
2000-12-05,10.0,10.0,10.0,10.0,0,0,0.0
2000-12-06,10.5,11.0,10.0,10.0,400,0,0.0
2000-12-07,9.5,9.5,9.5,9.5,10,0,0.0
2000-12-08,8.6,8.6,8.6,8.6,0,0,0.0
2000-12-11,8.5,9.3,8.5,9.3,30,0,0.0
2000-12-12,9.2,9.7,9.2,9.7,600,0,0.0
2000-12-13,11.3,11.3,11.3,11.3,0,0,0.0
2000-12-14,10.9,10.9,10.0,10.0,0,0,0.0
2000-12-15,10.0,10.0,10.0,10.0,0,0,0.0
2000-12-18,9.2,9.5,9.5,9.5,100,0,0.0
2000-12-19,9.7,10.0,9.65,9.65,700,0,0.0
2000-12-20,8.7,9.2,7.45,7.9,3000,0,0.0
2000-12-21,7.75,7.9,7.75,7.9,70,0,0.0
2000-12-22,7.6,7.8,7.6,7.8,600,0,0.0
2000-12-27,7.5,7.75,7.2,7.3,800,0,0.0
2000-12-28,6.7,6.7,6.0,6.0,400,0,0.0
2000-12-29,6.0,7.0,6.0,7.0,600,0,0.0
2001-01-02,7.1,7.3,7.0,7.0,200,0,0.0
2001-01-03,6.1,6.4,6.1,6.4,10,0,0.0
2001-01-04,6.7,7.2,6.7,6.7,300,0,0.0
2001-01-05,6.6,6.8,6.6,6.8,35,0,0.0
2001-01-08,6.2,6.3,6.2,6.3,10,0,0.0
2001-01-09,5.8,5.8,5.8,5.8,0,0,0.0
2001-01-10,6.0,6.0,6.0,6.0,0,0,0.0
2001-01-11,6.0,6.0,5.6,5.6,0,0,0.0
2001-01-12,6.1,6.1,6.1,6.1,0,0,0.0
2001-01-16,7.65,7.8,7.65,7.8,400,0,0.0
2001-01-17,7.8,10.0,7.5,10.0,2500,0,0.0
2001-01-18,10.5,13.3,11.0,12.5,1200,0,0.0
2001-01-19,14.6,15.0,11.8,11.8,2700,0,0.0
2001-01-22,11.6,11.6,11.2,11.2,100,0,0.0
2001-01-23,11.0,11.0,10.5,10.59,2165,0,0.0
2001-01-25,11.3,11.5,10.92,11.4,400,0,0.0
2001-01-29,10.5,10.6,10.5,10.54,3600,0,0.0
2001-01-30,10.3,10.3,10.3,10.3,100,0,0.0
2001-01-31,10.2,10.2,10.2,10.2,0,0,0.0
2001-02-01,10.0,10.0,10.0,10.0,0,0,0.0
2001-02-02,9.9,9.9,9.9,9.9,0,0,0.0
2001-02-05,10.0,9.85,9.7,9.7,600,0,0.0
2001-02-06,9.8,10.1,9.8,10.1,500,0,0.0
2001-02-07,10.0,10.2,10.0,10.2,0,0,0.0
2001-02-08,9.7,10.0,9.7,10.0,100,0,0.0
2001-02-09,9.5,9.5,9.5,9.5,0,0,0.0
2001-02-12,9.5,9.9,9.5,9.5,500,0,0.0
2001-02-13,9.5,9.5,9.5,9.5,0,0,0.0
2001-02-14,9.5,9.5,8.3,8.3,700,0,0.0
2001-02-15,9.0,9.1,8.7,9.0,2000,0,0.0
2001-02-16,9.0,8.95,8.95,8.95,200,0,0.0
2001-02-20,8.6,8.6,8.6,8.6,0,0,0.0
2001-02-21,8.1,8.3,7.6,8.3,0,0,0.0
2001-02-22,8.0,8.0,7.2,7.2,800,0,0.0
2001-02-23,7.1,7.45,7.1,7.45,100,0,0.0
2001-02-26,6.9,6.9,6.9,6.9,0,0,0.0
2001-02-27,7.5,7.8,7.5,7.8,200,0,0.0
2001-02-28,7.5,7.5,7.5,7.5,0,0,0.0
2001-03-01,7.2,7.19,6.8,6.8,1200,0,0.0
2001-03-02,6.6,6.6,6.6,6.6,0,0,0.0
2001-03-05,6.7,6.7,6.7,6.7,0,0,0.0
2001-03-06,6.6,6.6,6.6,6.6,0,0,0.0
2001-03-07,7.1,7.1,7.1,7.1,0,0,0.0
2001-03-08,6.85,6.85,6.85,6.85,0,0,0.0
2001-03-09,6.6,6.6,6.6,6.6,0,0,0.0
2001-03-12,6.2,6.2,6.2,6.2,0,0,0.0
2001-03-13,6.0,6.0,2.4,2.59,300,0,0.0
2001-03-15,2.6,3.6,2.5,3.6,3900,0,0.0
2001-03-16,3.3,3.8,3.05,3.4,1700,0,0.0
2001-03-19,3.4,3.45,3.4,3.45,100,0,0.0
2001-03-20,3.5,3.5,3.5,3.5,0,0,0.0
2001-03-21,3.4,3.0,3.0,3.0,300,0,0.0
2001-03-22,2.9,2.9,2.9,2.9,0,0,0.0
2001-03-23,3.2,3.2,3.2,3.2,0,0,0.0
2001-03-26,3.35,3.6,3.35,3.6,20,0,0.0
2001-03-27,3.3,3.3,3.1,3.1,0,0,0.0
2001-03-28,3.4,3.4,3.0,3.0,200,0,0.0
2001-03-29,2.95,2.95,2.9,2.9,0,0,0.0
2001-03-30,2.85,2.85,2.75,2.75,0,0,0.0
2001-04-02,2.75,2.75,2.75,2.75,0,0,0.0
2001-04-03,2.6,2.6,2.2,2.2,0,0,0.0
2001-04-04,2.4,2.4,1.95,1.95,9300,0,0.0
2001-04-05,2.3,2.6,2.3,2.6,0,0,0.0
2001-04-06,2.7,2.7,2.7,2.7,0,0,0.0
2001-04-09,2.6,2.9,2.6,2.9,600,0,0.0
2001-04-10,3.75,4.2,3.75,4.0,1800,0,0.0
2001-04-11,3.8,3.8,3.8,3.8,0,0,0.0
2001-04-12,3.7,4.0,3.75,3.75,500,0,0.0
2001-04-17,3.7,3.7,3.7,3.7,0,0,0.0
2001-04-18,3.4,3.5,3.2,3.2,300,0,0.0
2001-04-19,3.5,3.5,3.5,3.5,0,0,0.0
2001-04-20,3.9,3.9,3.9,3.9,0,0,0.0
2001-04-23,3.55,3.55,3.55,3.55,0,0,0.0
2001-04-24,3.45,3.5,3.5,3.5,1000,0,0.0
2001-04-25,3.4,3.5,3.4,3.5,800,0,0.0
2001-04-26,3.4,3.4,3.4,3.4,0,0,0.0
2001-04-27,3.3,3.4,3.3,3.4,0,0,0.0
2001-04-30,3.3,3.3,3.3,3.3,0,0,0.0
2001-05-02,3.55,3.75,3.55,3.75,3000,0,0.0
2001-05-03,3.75,3.75,3.75,3.75,0,0,0.0
2001-05-04,3.7,3.7,3.7,3.7,0,0,0.0
2001-05-08,5.22,5.5,5.2,5.35,3800,0,0.0
2001-05-09,5.2,5.2,5.2,5.2,0,0,0.0
2001-05-10,4.8,4.8,4.8,4.8,0,0,0.0
2001-05-14,4.8,4.8,4.5,4.5,0,0,0.0
2001-05-15,4.6,4.5,4.4,4.5,1100,0,0.0
2001-05-16,4.45,4.45,4.45,4.45,0,0,0.0
2001-05-17,4.5,4.5,4.5,4.5,0,0,0.0
2001-05-18,4.5,5.2,4.5,5.2,1300,0,0.0
2001-05-21,5.0,5.25,5.0,5.1,1400,0,0.0
2001-05-22,4.95,4.95,4.95,4.95,0,0,0.0
2001-05-23,4.85,4.85,4.85,4.85,0,0,0.0
2001-05-24,4.75,4.75,4.7,4.7,0,0,0.0
2001-05-25,4.7,4.7,4.7,4.7,100,0,0.0
2001-05-29,5.0,5.0,5.0,5.0,0,0,0.0
2001-05-30,4.7,4.8,4.7,4.8,100,0,0.0
2001-05-31,4.5,4.5,4.5,4.5,0,0,0.0
2001-06-01,4.4,4.55,4.4,4.55,200,0,0.0
2001-06-04,4.4,4.4,4.4,4.4,0,0,0.0
