Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-08-16,25.48,27.11,23.31,24.4,2691800,0.0,0.0
1996-08-19,24.94,25.75,23.58,23.72,441500,0.0,0.0
1996-08-20,23.86,24.4,23.58,23.86,240000,0.0,0.0
1996-08-21,23.86,23.86,22.77,22.77,582800,0.0,0.0
1996-08-22,23.04,23.04,22.77,22.77,845600,0.0,0.0
1996-08-23,22.77,23.04,22.77,23.04,136600,0.0,0.0
1996-08-26,23.04,23.04,22.77,22.77,72100,0.0,0.0
1996-08-27,22.77,23.04,22.77,22.77,39800,0.0,0.0
1996-08-28,23.04,23.04,22.77,23.04,52600,0.0,0.0
1996-08-29,23.04,23.04,22.77,22.84,14200,0.0,0.0
1996-08-30,22.77,23.04,22.77,22.77,16000,0.0,0.0
1996-09-03,23.04,23.04,22.64,22.77,139300,0.0,0.0
1996-09-04,22.77,23.04,22.77,22.77,63000,0.0,0.0
1996-09-05,23.04,23.04,22.77,22.77,54000,0.0,0.0
1996-09-06,22.77,23.04,22.77,22.77,49300,0.0,0.0
1996-09-09,23.04,23.04,22.77,22.77,66700,0.0,0.0
1996-09-10,22.77,23.04,22.77,22.77,29700,0.0,0.0
1996-09-11,23.04,23.04,18.98,18.98,293800,0.0,0.0
1996-09-12,19.79,20.33,18.98,19.79,197000,0.0,0.0
1996-09-13,20.33,20.6,19.52,20.33,55100,0.0,0.0
1996-09-16,20.33,20.33,19.52,19.79,71500,0.0,0.0
1996-09-17,19.79,19.79,18.43,18.7,101800,0.0,0.0
1996-09-18,18.7,18.7,17.89,18.16,101900,0.0,0.0
1996-09-19,18.16,18.7,17.89,18.43,74400,0.0,0.0
1996-09-20,18.16,20.87,18.16,20.87,219000,0.0,0.0
1996-09-23,20.87,20.87,19.79,20.06,145000,0.0,0.0
1996-09-24,20.06,20.06,19.25,19.79,80000,0.0,0.0
1996-09-25,19.79,20.6,19.52,20.6,147200,0.0,0.0
1996-09-26,20.6,23.31,20.33,23.31,174600,0.0,0.0
1996-09-27,23.31,27.65,23.04,27.11,245900,0.0,0.0
1996-09-30,27.11,30.09,27.11,28.6,214500,0.0,0.0
1996-10-01,28.73,28.73,23.58,23.86,293400,0.0,0.0
1996-10-02,23.86,24.13,23.86,24.13,61600,0.0,0.0
1996-10-03,24.13,26.3,23.86,26.02,82600,0.0,0.0
