Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-03-15,3.45,3.45,3.45,3.45,1200,0.0,0.0
1999-03-16,3.54,4.01,3.54,4.01,9800,0.0,0.0
1999-03-17,3.57,3.66,3.57,3.66,3200,0.0,0.0
1999-03-18,4.07,4.07,3.6,3.6,5100,0.0,0.0
1999-03-19,3.69,3.69,3.69,3.69,1200,0.0,0.0
1999-03-22,3.69,3.69,3.69,3.69,0,0.0,0.0
1999-03-23,3.69,3.69,3.69,3.69,0,0.0,0.0
1999-03-24,3.69,3.69,3.69,3.69,0,0.0,0.0
1999-03-25,3.69,3.69,3.69,3.69,0,0.0,0.0
1999-03-26,3.69,3.69,3.69,3.69,0,0.0,0.0
1999-03-29,3.69,3.69,3.69,3.69,0,0.0,0.0
1999-03-30,4.01,4.01,3.66,3.66,3000,0.0,0.0
1999-03-31,4.01,4.01,4.01,4.01,200,0.0,0.0
1999-04-01,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-04-05,3.66,3.66,3.66,3.66,1200,0.0,0.0
1999-04-06,3.66,3.66,3.66,3.66,0,0.0,0.0
1999-04-07,3.66,3.66,3.66,3.66,0,0.0,0.0
1999-04-08,3.66,3.66,3.66,3.66,0,0.0,0.0
1999-04-09,3.66,3.66,3.66,3.66,0,0.0,0.0
1999-04-12,3.66,3.89,3.66,3.72,22100,0.0,0.0
1999-04-13,3.66,3.84,3.66,3.84,800,0.0,0.0
1999-04-14,3.84,3.84,3.84,3.84,0,0.0,0.0
1999-04-15,3.84,3.84,3.84,3.84,0,0.0,0.0
1999-04-16,3.84,3.84,3.84,3.84,0,0.0,0.0
1999-04-19,3.89,4.13,3.89,4.01,1600,0.0,0.0
1999-04-20,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-04-21,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-04-22,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-04-23,3.78,3.78,3.78,3.78,400,0.0,0.0
1999-04-26,3.66,4.01,3.66,4.01,1200,0.0,0.0
1999-04-27,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-04-28,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-04-29,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-04-30,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-05-03,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-05-04,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-05-05,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-05-06,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-05-07,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-05-10,3.3,3.3,3.3,3.3,287000,0.0,0.0
1999-05-11,3.3,3.3,3.3,3.3,0,0.0,0.0
1999-05-12,3.66,3.78,3.66,3.66,21300,0.0,0.0
1999-05-13,3.95,3.95,3.3,3.78,19400,0.0,0.0
1999-05-14,3.78,3.78,3.78,3.78,0,0.0,0.0
1999-05-17,3.78,3.78,3.78,3.78,0,0.0,0.0
1999-05-18,3.78,3.78,3.78,3.78,0,0.0,0.0
1999-05-19,3.78,3.78,3.78,3.78,0,0.0,0.0
1999-05-20,3.78,3.78,3.78,3.78,0,0.0,0.0
1999-05-21,3.78,3.78,3.78,3.78,0,0.0,0.0
1999-05-24,3.72,3.72,3.72,3.72,600,0.0,0.0
1999-05-25,3.72,3.72,3.72,3.72,0,0.0,0.0
1999-05-26,3.72,3.72,3.72,3.72,0,0.0,0.0
1999-05-27,3.72,3.72,3.72,3.72,0,0.0,0.0
1999-05-28,3.72,3.72,3.72,3.72,0,0.0,0.0
1999-06-01,3.51,3.54,3.51,3.54,98900,0.0,0.0
1999-06-02,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-03,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-04,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-07,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-08,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-09,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-10,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-11,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-14,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-15,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-16,3.54,3.54,3.54,3.54,0,0.0,0.0
1999-06-17,3.66,3.66,3.66,3.66,3200,0.0,0.0
1999-06-18,3.66,3.66,3.66,3.66,0,0.0,0.0
1999-06-21,3.66,3.66,3.66,3.66,0,0.0,0.0
1999-06-22,3.66,3.66,3.66,3.66,0,0.0,0.0
1999-06-23,3.66,3.66,3.66,3.66,0,0.0,0.0
1999-06-24,3.89,3.95,3.78,3.92,11200,0.0,0.0
1999-06-25,3.78,3.78,3.78,3.78,1000,0.0,0.0
1999-06-28,3.78,3.95,3.78,3.95,3800,0.0,0.0
1999-06-29,3.95,3.95,3.95,3.95,0,0.0,0.0
1999-06-30,3.95,3.95,3.95,3.95,0,0.0,0.0
1999-07-01,3.84,3.84,3.84,3.84,1200,0.0,0.0
1999-07-02,3.84,3.84,3.84,3.84,0,0.0,0.0
1999-07-06,3.84,3.84,3.84,3.84,0,0.0,0.0
1999-07-07,3.84,3.84,3.84,3.84,0,0.0,0.0
1999-07-08,3.84,3.84,3.84,3.84,0,0.0,0.0
1999-07-09,3.84,3.84,3.84,3.84,0,0.0,0.0
1999-07-12,3.84,3.84,3.84,3.84,0,0.0,0.0
1999-07-13,3.84,3.84,3.84,3.84,0,0.0,0.0
1999-07-14,3.95,3.95,3.95,3.95,1200,0.0,0.0
1999-07-15,3.89,3.89,3.84,3.89,3800,0.0,0.0
1999-07-16,3.89,3.89,3.89,3.89,0,0.0,0.0
1999-07-19,4.48,4.48,4.43,4.43,1200,0.0,0.0
1999-07-20,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-07-21,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-07-22,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-07-23,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-07-26,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-07-27,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-07-28,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-07-29,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-07-30,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-08-02,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-08-03,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-08-04,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-08-05,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-08-06,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-08-09,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-08-10,4.43,4.43,4.43,4.43,0,0.0,0.0
1999-08-11,4.01,4.01,4.01,4.01,200,0.0,0.0
1999-08-12,4.01,4.01,4.01,4.01,0,0.0,0.0
1999-08-13,4.13,4.13,4.13,4.13,1000,0.0,0.0
1999-08-16,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-08-17,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-08-18,4.13,4.13,4.13,4.13,200,0.0,0.0
1999-08-19,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-08-20,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-08-23,4.13,4.13,4.13,4.13,2800,0.0,0.0
1999-08-24,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-08-25,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-08-26,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-08-27,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-08-30,4.19,4.37,4.13,4.37,53500,0.0,0.0
1999-08-31,4.37,4.37,4.37,4.37,0,0.0,0.0
1999-09-01,4.37,4.37,4.37,4.37,0,0.0,0.0
1999-09-02,4.37,4.37,4.37,4.37,0,0.0,0.0
1999-09-03,4.25,4.25,4.25,4.25,1200,0.0,0.0
1999-09-07,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-09-08,4.13,4.31,4.13,4.13,2500,0.0,0.0
1999-09-09,4.13,4.31,4.13,4.31,12800,0.0,0.0
1999-09-10,4.31,4.31,4.31,4.31,0,0.0,0.0
1999-09-13,4.31,4.31,4.31,4.31,0,0.0,0.0
1999-09-14,4.31,4.31,4.31,4.31,0,0.0,0.0
1999-09-15,4.31,4.31,4.31,4.31,0,0.0,0.0
1999-09-16,4.31,4.31,4.31,4.31,0,0.0,0.0
1999-09-17,4.31,4.31,4.31,4.31,0,0.0,0.0
1999-09-20,4.31,4.31,4.31,4.31,0,0.0,0.0
1999-09-21,4.31,4.31,4.31,4.31,0,0.0,0.0
1999-09-22,4.37,4.6,4.37,4.6,2800,0.0,0.0
1999-09-23,4.6,4.6,4.6,4.6,0,0.0,0.0
1999-09-24,4.13,4.13,4.13,4.13,400,0.0,0.0
1999-09-27,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-09-28,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-09-29,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-09-30,4.13,4.13,4.13,4.13,15800,0.0,0.0
1999-10-01,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-10-04,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-10-05,4.13,4.31,4.13,4.31,3600,0.0,0.0
1999-10-06,4.31,4.31,4.31,4.31,0,0.0,0.0
1999-10-07,4.31,4.31,4.31,4.31,0,0.0,0.0
1999-10-08,4.13,4.13,4.13,4.13,600,0.0,0.0
1999-10-11,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-10-12,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-10-13,4.25,4.25,4.25,4.25,400,0.0,0.0
1999-10-14,4.25,4.25,4.25,4.25,200,0.0,0.0
1999-10-15,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-10-18,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-10-19,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-10-20,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-10-21,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-10-22,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-10-25,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-10-26,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-10-27,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-10-28,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-10-29,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-01,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-02,4.31,4.31,4.25,4.25,1200,0.0,0.0
1999-11-03,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-04,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-05,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-08,4.25,4.25,4.25,4.25,1000,0.0,0.0
1999-11-09,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-10,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-11,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-12,4.23,4.25,4.23,4.25,9300,0.0,0.0
1999-11-15,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-16,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-17,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-18,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-19,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-22,4.22,4.22,4.13,4.13,2500,0.0,0.0
1999-11-23,4.13,4.13,4.13,4.13,0,0.0,0.0
1999-11-24,4.28,4.28,4.25,4.25,2800,0.0,0.0
1999-11-26,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-29,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-11-30,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-12-01,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-12-02,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-12-03,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-12-06,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-12-07,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-12-08,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-12-09,4.25,4.25,4.25,4.25,0,0.0,0.0
1999-12-10,4.25,4.25,4.25,4.25,1000,0.0,0.0
1999-12-13,4.2,4.2,4.2,4.2,600,0.0,0.0
1999-12-14,4.2,4.2,4.2,4.2,0,0.0,0.0
1999-12-15,4.2,4.2,4.2,4.2,0,0.0,0.0
1999-12-16,4.22,4.22,4.22,4.22,600,0.0,0.0
1999-12-17,4.22,4.22,4.22,4.22,0,0.0,0.0
1999-12-20,4.22,4.22,4.22,4.22,0,0.0,0.0
1999-12-21,4.22,4.22,4.22,4.22,0,0.0,0.0
1999-12-22,4.22,4.22,4.22,4.22,0,0.0,0.0
1999-12-23,4.13,4.13,4.13,4.13,800,0.0,0.0
1999-12-27,4.13,4.29,4.13,4.25,5300,0.0,0.0
1999-12-28,4.19,4.19,4.19,4.19,2800,0.0,0.0
1999-12-29,4.19,4.19,4.19,4.19,0,0.0,0.0
1999-12-30,4.19,4.19,4.19,4.19,0,0.0,0.0
1999-12-31,4.19,4.37,4.19,4.31,8100,0.0,0.0
2000-01-03,4.31,4.31,4.31,4.31,0,0.0,0.0
2000-01-04,4.48,4.48,4.31,4.31,400,0.0,0.0
2000-01-05,4.31,4.31,4.31,4.31,0,0.0,0.0
2000-01-06,4.31,4.31,4.31,4.31,0,0.0,0.0
2000-01-07,4.31,4.31,4.31,4.31,0,0.0,0.0
2000-01-10,4.31,4.31,4.31,4.31,0,0.0,0.0
2000-01-11,4.31,4.31,4.31,4.31,0,0.0,0.0
2000-01-12,4.31,4.31,4.31,4.31,0,0.0,0.0
2000-01-13,4.25,4.25,4.25,4.25,5100,0.0,0.0
2000-01-14,4.25,4.25,4.25,4.25,0,0.0,0.0
2000-01-18,4.25,4.25,4.25,4.25,0,0.0,0.0
2000-01-19,4.37,4.37,4.19,4.19,3200,0.0,0.0
2000-01-20,4.19,4.19,4.19,4.19,23100,0.0,0.0
2000-01-21,4.4,4.4,4.4,4.4,0,0.0,1.05
2000-01-24,4.34,4.34,4.34,4.34,600,0.0,0.0
2000-01-25,4.34,4.52,4.34,4.52,14900,0.0,0.0
2000-01-26,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-01-27,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-01-28,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-01-31,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-01,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-02,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-03,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-04,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-07,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-08,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-09,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-10,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-11,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-14,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-15,4.52,4.52,4.52,4.52,0,0.0,0.0
2000-02-16,4.28,4.28,4.21,4.21,7700,0.0,0.0
2000-02-17,4.21,4.21,4.21,4.21,0,0.0,0.0
2000-02-18,4.21,4.21,4.21,4.21,0,0.0,0.0
2000-02-22,4.21,4.21,4.21,4.21,2800,0.0,0.0
2000-02-23,4.21,4.21,4.21,4.21,0,0.0,0.0
2000-02-24,4.4,4.4,4.4,4.4,7200,0.0,0.0
2000-02-25,4.21,4.21,4.21,4.21,800,0.0,0.0
2000-02-28,4.21,4.21,4.21,4.21,0,0.0,0.0
2000-02-29,4.21,4.21,4.21,4.21,1200,0.0,0.0
2000-03-01,4.21,4.21,4.21,4.21,400,0.0,0.0
2000-03-02,4.21,4.21,4.21,4.21,600,0.0,0.0
2000-03-03,4.21,4.21,4.21,4.21,0,0.0,0.0
2000-03-06,4.21,4.21,4.21,4.21,12200,0.0,0.0
2000-03-07,4.21,4.21,4.15,4.15,10100,0.0,0.0
2000-03-08,4.15,4.15,4.15,4.15,5300,0.0,0.0
2000-03-09,4.15,4.15,4.15,4.15,28700,0.0,0.0
2000-03-10,4.15,4.15,4.15,4.15,0,0.0,0.0
2000-03-13,3.97,3.97,3.97,3.97,5300,0.0,0.0
2000-03-14,3.97,3.97,3.97,3.97,57100,0.0,0.0
2000-03-15,3.97,3.97,3.97,3.97,0,0.0,0.0
2000-03-16,4.15,4.15,4.15,4.15,3400,0.0,0.0
2000-03-17,4.12,4.15,4.12,4.15,2500,0.0,0.0
2000-03-20,4.15,4.15,4.15,4.15,0,0.0,0.0
2000-03-21,4.15,4.21,4.15,4.21,1200,0.0,0.0
2000-03-22,4.21,4.21,4.21,4.21,0,0.0,0.0
2000-03-23,4.21,4.21,4.21,4.21,0,0.0,0.0
2000-03-24,4.21,4.21,4.21,4.21,0,0.0,0.0
2000-03-27,4.21,4.21,4.21,4.21,0,0.0,0.0
2000-03-28,4.09,4.09,4.09,4.09,1200,0.0,0.0
2000-03-29,3.97,3.97,3.97,3.97,600,0.0,0.0
2000-03-30,3.97,4.15,3.9,4.15,20300,0.0,0.0
2000-03-31,4.15,4.15,4.15,4.15,1000,0.0,0.0
2000-04-03,3.84,4.09,3.84,4.09,1200,0.0,0.0
2000-04-04,4.15,4.15,4.15,4.15,10100,0.0,0.0
2000-04-05,3.84,4.03,3.72,4.03,25500,0.0,0.0
2000-04-06,3.97,3.97,3.72,3.72,5300,0.0,0.0
2000-04-07,3.75,3.84,3.75,3.84,5100,0.0,0.0
2000-04-10,3.84,3.84,3.84,3.84,0,0.0,0.0
2000-04-11,3.84,3.84,3.84,3.84,0,0.0,0.0
2000-04-12,3.84,3.84,3.84,3.84,0,0.0,0.0
2000-04-13,3.84,3.84,3.84,3.84,0,0.0,0.0
2000-04-14,3.84,3.84,3.84,3.84,0,0.0,0.0
2000-04-17,3.78,3.78,3.72,3.72,7200,0.0,0.0
2000-04-18,3.47,3.72,3.47,3.72,3600,0.0,0.0
2000-04-19,3.72,3.72,3.72,3.72,0,0.0,0.0
2000-04-20,3.9,3.9,3.47,3.47,10300,0.0,0.0
2000-04-24,3.47,3.47,3.47,3.47,600,0.0,0.0
2000-04-25,3.59,3.59,3.59,3.59,1200,0.0,0.0
2000-04-26,3.59,3.59,3.59,3.59,0,0.0,0.0
2000-04-27,3.59,3.59,3.59,3.59,0,0.0,0.0
2000-04-28,3.59,3.59,3.59,3.59,0,0.0,0.0
2000-05-01,3.59,3.59,3.59,3.59,0,0.0,0.0
2000-05-02,3.59,3.59,3.59,3.59,0,0.0,0.0
2000-05-03,3.59,3.59,3.59,3.59,0,0.0,0.0
2000-05-04,3.59,3.59,3.59,3.59,0,0.0,0.0
2000-05-05,3.59,3.59,3.59,3.59,0,0.0,0.0
2000-05-08,3.59,3.59,3.59,3.59,0,0.0,0.0
2000-05-09,3.41,3.47,3.41,3.47,2500,0.0,0.0
2000-05-10,3.41,3.47,3.41,3.47,1000,0.0,0.0
2000-05-11,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-05-12,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-05-15,3.41,3.41,3.41,3.41,7200,0.0,0.0
2000-05-16,3.56,3.56,3.56,3.56,600,0.0,0.0
2000-05-17,3.56,3.56,3.56,3.56,0,0.0,0.0
2000-05-18,3.47,3.47,3.41,3.47,3200,0.0,0.0
2000-05-19,3.59,3.59,3.47,3.47,12200,0.0,0.0
2000-05-22,3.47,3.59,3.47,3.59,5300,0.0,0.0
2000-05-23,3.59,3.59,3.59,3.59,0,0.0,0.0
2000-05-24,3.41,3.47,3.41,3.47,1200,0.0,0.0
2000-05-25,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-05-26,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-05-30,3.5,3.5,3.5,3.5,400,0.0,0.0
2000-05-31,3.41,3.41,3.41,3.41,3200,0.0,0.0
2000-06-01,3.41,3.41,3.41,3.41,0,0.0,0.0
2000-06-02,3.41,3.41,3.41,3.41,0,0.0,0.0
2000-06-05,3.41,3.41,3.41,3.41,0,0.0,0.0
2000-06-06,3.41,3.41,3.41,3.41,0,0.0,0.0
2000-06-07,3.41,3.41,3.41,3.41,0,0.0,0.0
2000-06-08,3.44,3.44,3.19,3.19,16600,0.0,0.0
2000-06-09,3.07,3.07,3.07,3.07,1600,0.0,0.0
2000-06-12,3.04,3.04,3.04,3.04,400,0.0,0.0
2000-06-13,2.94,3.04,2.91,3.04,2800,0.0,0.0
2000-06-14,3.04,3.04,3.04,3.04,0,0.0,0.0
2000-06-15,2.91,3.1,2.91,3.1,8100,0.0,0.0
2000-06-16,2.91,2.97,2.85,2.85,7700,0.0,0.0
2000-06-19,2.85,2.85,2.85,2.85,0,0.0,0.0
2000-06-20,2.85,2.85,2.85,2.85,0,0.0,0.0
2000-06-21,2.79,2.79,2.79,2.79,22100,0.0,0.0
2000-06-22,2.79,2.97,2.79,2.79,22100,0.0,0.0
2000-06-23,3.1,3.1,2.79,2.79,7500,0.0,0.0
2000-06-26,2.79,2.79,2.79,2.79,0,0.0,0.0
2000-06-27,2.79,2.79,2.79,2.79,0,0.0,0.0
2000-06-28,2.79,2.79,2.79,2.79,0,0.0,0.0
2000-06-29,2.79,2.79,2.79,2.79,0,0.0,0.0
2000-06-30,2.79,2.79,2.79,2.79,0,0.0,0.0
2000-07-03,2.79,2.91,2.79,2.91,400,0.0,0.0
2000-07-05,2.91,2.91,2.91,2.91,0,0.0,0.0
2000-07-06,2.91,2.91,2.91,2.91,0,0.0,0.0
2000-07-07,2.91,2.91,2.91,2.91,0,0.0,0.0
2000-07-10,2.97,2.97,2.97,2.97,400,0.0,0.0
2000-07-11,3.1,3.1,2.97,3.04,11200,0.0,0.0
2000-07-12,3.04,3.04,2.97,3.01,10300,0.0,0.0
2000-07-13,2.94,3.04,2.94,2.97,9800,0.0,0.0
2000-07-14,2.97,2.97,2.97,2.97,0,0.0,0.0
2000-07-17,2.97,2.97,2.97,2.97,200,0.0,0.0
2000-07-18,2.97,2.97,2.97,2.97,12200,0.0,0.0
2000-07-19,2.97,2.97,2.97,2.97,0,0.0,0.0
2000-07-20,2.97,2.97,2.97,2.97,0,0.0,0.0
2000-07-21,2.97,2.97,2.97,2.97,600,0.0,0.0
2000-07-24,3.05,3.05,3.05,3.05,1000,0.0,0.0
2000-07-25,3.05,3.05,3.05,3.05,2800,0.0,0.0
2000-07-26,3.1,3.1,3.1,3.1,1000,0.0,0.0
2000-07-27,2.94,2.94,2.94,2.94,1000,0.0,0.0
2000-07-28,2.94,2.94,2.94,2.94,0,0.0,0.0
2000-07-31,3.01,3.01,3.01,3.01,200,0.0,0.0
2000-08-01,3.01,3.01,3.01,3.01,0,0.0,0.0
2000-08-02,2.88,2.88,2.88,2.88,400,0.0,0.0
2000-08-03,2.85,2.91,2.85,2.91,800,0.0,0.0
2000-08-04,2.91,2.91,2.91,2.91,0,0.0,0.0
2000-08-07,2.91,2.91,2.91,2.91,0,0.0,0.0
2000-08-08,2.91,2.91,2.91,2.91,0,0.0,0.0
2000-08-09,2.91,2.91,2.91,2.91,0,0.0,0.0
2000-08-10,2.91,2.91,2.91,2.91,0,0.0,0.0
2000-08-11,2.91,2.91,2.91,2.91,0,0.0,0.0
2000-08-14,2.91,2.91,2.91,2.91,0,0.0,0.0
2000-08-15,2.79,2.91,2.79,2.91,42100,0.0,0.0
2000-08-16,2.91,2.91,2.91,2.91,400,0.0,0.0
2000-08-17,2.85,2.88,2.79,2.88,4200,0.0,0.0
2000-08-18,2.88,2.88,2.88,2.88,0,0.0,0.0
2000-08-21,2.88,2.88,2.88,2.88,0,0.0,0.0
2000-08-22,2.88,2.88,2.88,2.88,0,0.0,0.0
2000-08-23,2.76,2.76,2.76,2.76,600,0.0,0.0
2000-08-24,2.85,2.87,2.85,2.87,23300,0.0,0.0
2000-08-25,2.87,2.87,2.87,2.87,0,0.0,0.0
2000-08-28,2.87,2.87,2.87,2.87,0,0.0,0.0
2000-08-29,2.87,2.87,2.87,2.87,0,0.0,0.0
2000-08-30,2.87,2.87,2.87,2.87,0,0.0,0.0
2000-08-31,2.87,2.87,2.87,2.87,0,0.0,0.0
2000-09-01,2.76,2.76,2.76,2.76,800,0.0,0.0
2000-09-05,2.76,2.76,2.76,2.76,0,0.0,0.0
2000-09-06,2.76,2.76,2.73,2.73,2800,0.0,0.0
2000-09-07,2.7,2.7,2.48,2.6,36400,0.0,0.0
2000-09-08,2.54,2.6,2.54,2.6,3400,0.0,0.0
2000-09-11,2.66,2.66,2.66,2.66,200,0.0,0.0
2000-09-12,2.66,2.66,2.66,2.66,0,0.0,0.0
2000-09-13,2.6,2.66,2.6,2.66,8100,0.0,0.0
2000-09-14,2.66,2.66,2.66,2.66,0,0.0,0.0
2000-09-15,2.66,2.66,2.66,2.66,0,0.0,0.0
2000-09-18,2.63,2.66,2.63,2.66,800,0.0,0.0
2000-09-19,2.66,2.66,2.66,2.66,0,0.0,0.0
2000-09-20,2.66,2.66,2.66,2.66,0,0.0,0.0
2000-09-21,2.63,2.73,2.63,2.63,12200,0.0,0.0
2000-09-22,2.57,2.66,2.57,2.57,3400,0.0,0.0
2000-09-25,2.6,2.63,2.6,2.63,3000,0.0,0.0
2000-09-26,2.63,2.63,2.63,2.63,0,0.0,0.0
2000-09-27,2.57,2.57,2.57,2.57,1200,0.0,0.0
2000-09-28,2.73,2.73,2.73,2.73,400,0.0,0.0
2000-09-29,2.71,2.71,2.71,2.71,400,0.0,0.0
2000-10-02,2.71,2.71,2.71,2.71,0,0.0,0.0
2000-10-03,2.54,2.6,2.54,2.54,1600,0.0,0.0
2000-10-04,2.54,2.54,2.54,2.54,0,0.0,0.0
2000-10-05,2.7,2.7,2.7,2.7,200,0.0,0.0
2000-10-06,2.7,2.7,2.7,2.7,0,0.0,0.0
2000-10-09,2.7,2.7,2.7,2.7,0,0.0,0.0
2000-10-10,2.63,2.63,2.63,2.63,600,0.0,0.0
2000-10-11,2.63,2.63,2.63,2.63,0,0.0,0.0
2000-10-12,2.66,2.66,2.57,2.57,600,0.0,0.0
2000-10-13,2.63,2.63,2.63,2.63,600,0.0,0.0
