Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-09-21,5.9,6.35,4.91,5.75,430300,0,0
2017-09-22,5.85,6.0,5.51,5.54,112900,0,0
2017-09-25,5.65,5.65,4.45,4.85,100100,0,0
2017-09-26,5.14,5.14,4.45,4.45,87900,0,0
2017-09-27,4.56,4.84,3.6,4.79,160900,0,0
2017-09-28,4.95,5.0,4.5,4.8,78800,0,0
2017-09-29,4.9,5.101,4.24,4.96,44800,0,0
2017-10-02,5.23,5.5,4.675,5.25,63400,0,0
2017-10-03,5.5,5.562,5.011,5.19,50400,0,0
2017-10-04,5.46,5.47,5.01,5.25,15200,0,0
2017-10-05,5.46,5.46,5.05,5.15,33200,0,0
2017-10-06,5.0,5.4,4.75,4.76,50800,0,0
2017-10-09,4.97,5.26,4.73,5.24,28300,0,0
2017-10-10,5.05,5.1,4.9,4.909,11700,0,0
2017-10-11,5.5,5.5,4.67,4.74,30900,0,0
2017-10-12,4.716,4.8,4.51,4.64,16900,0,0
2017-10-13,4.62,4.8,4.56,4.59,39300,0,0
2017-10-16,4.78,4.86,4.38,4.38,27500,0,0
2017-10-17,4.5,4.5,4.0,4.24,46900,0,0
2017-10-18,4.1,4.4,3.85,3.97,42800,0,0
2017-10-19,3.93,4.97,3.85,3.86,28200,0,0
2017-10-20,4.16,4.167,3.85,4.15,54600,0,0
2017-10-23,4.3,4.61,4.006,4.41,50800,0,0
2017-10-24,4.46,4.573,4.152,4.42,57400,0,0
2017-10-25,4.51,4.6,4.3,4.6,38300,0,0
2017-10-26,4.75,4.79,4.51,4.79,20700,0,0
2017-10-27,4.76,4.82,4.224,4.6,27600,0,0
2017-10-30,4.77,4.77,4.3,4.31,20100,0,0
2017-10-31,4.32,4.489,4.2,4.22,41000,0,0
2017-11-01,4.25,4.44,4.24,4.44,53700,0,0
2017-11-02,4.49,4.49,4.1,4.27,24000,0,0
2017-11-03,4.225,4.38,4.02,4.18,14300,0,0
2017-11-06,4.3,4.3,3.95,4.17,19700,0,0
2017-11-07,4.02,4.25,3.9,4.05,61700,0,0
2017-11-08,4.03,4.089,3.65,3.8,40700,0,0
2017-11-09,3.99,3.99,3.75,3.756,28400,0,0
2017-11-10,3.9,3.98,3.827,3.98,28100,0,0
2017-11-13,4.15,4.15,3.71,3.73,27700,0,0
2017-11-14,3.99,3.99,3.811,3.868,22800,0,0
2017-11-15,3.99,3.99,3.76,3.87,15100,0,0
2017-11-16,3.95,3.95,3.76,3.77,40100,0,0
2017-11-17,3.93,3.93,3.73,3.73,25400,0,0
2017-11-20,3.77,3.893,3.73,3.73,41200,0,0
2017-11-21,3.98,3.98,3.62,3.75,19300,0,0
2017-11-22,3.76,3.85,3.71,3.71,19500,0,0
2017-11-24,3.85,3.85,3.73,3.766,2100,0,0
2017-11-27,3.85,3.85,3.73,3.83,52100,0,0
2017-11-28,3.85,3.9,3.745,3.75,60500,0,0
2017-11-29,3.78,3.85,3.62,3.62,61400,0,0
2017-11-30,3.6,3.6,3.01,3.2,126900,0,0
2017-12-01,3.19,3.26,2.81,3.059,69100,0,0
2017-12-04,3.1,3.31,3.046,3.15,37400,0,0
2017-12-05,3.31,3.31,3.1,3.1,28100,0,0
2017-12-06,3.1,3.4,3.01,3.04,13000,0,0
2017-12-07,3.05,3.1,2.85,2.95,24900,0,0
2017-12-08,3.14,3.14,2.57,2.69,47400,0,0
2017-12-11,2.55,3.71,2.54,3.71,146200,0,0
2017-12-12,3.51,4.04,3.358,4.04,109400,0,0
2017-12-13,4.1,5.48,3.81,4.65,237900,0,0
2017-12-14,4.96,5.24,4.637,4.99,219600,0,0
2017-12-15,5.25,5.35,4.46,4.46,288600,0,0
2017-12-18,4.89,4.89,3.77,3.78,74800,0,0
2017-12-19,3.87,4.27,3.85,4.0,56400,0,0
2017-12-20,3.93,4.349,3.85,3.87,24600,0,0
2017-12-21,3.9,3.9,3.56,3.64,28000,0,0
2017-12-22,3.81,4.15,3.25,3.45,151800,0,0
2017-12-26,3.42,3.98,3.42,3.63,34900,0,0
2017-12-27,3.752,3.91,3.55,3.63,40100,0,0
2017-12-28,3.81,3.812,3.568,3.65,10400,0,0
