Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-04-20,25.02,25.24,25.02,25.24,2200,0.0,0
2016-04-21,25.58,25.58,25.1,25.1,2000,0.0,0
2016-04-22,25.07,25.07,25.0,25.0,1100,0.0,0
2016-04-25,24.98,24.98,24.79,24.79,2500,0.0,0
2016-04-26,24.8,24.86,24.8,24.8,1800,0.0,0
2016-04-27,24.94,24.96,24.81,24.92,2300,0.0,0
2016-04-28,24.91,24.95,24.5,24.5,2000,0.0,0
2016-04-29,24.54,24.58,24.3,24.53,3200,0.0,0
2016-05-02,24.57,24.73,24.48,24.73,10100,0.0,0
2016-05-03,24.68,24.68,24.23,24.33,8000,0.0,0
2016-05-04,24.4,24.4,24.16,24.33,6100,0.0,0
2016-05-05,24.37,26.18,24.23,24.27,3400,0.0,0
2016-05-06,25.24,25.24,23.93,24.23,8200,0.0,0
2016-05-09,24.23,24.49,24.23,24.49,2100,0.0,0
2016-05-10,24.58,24.71,24.51,24.68,4900,0.0,0
2016-05-11,24.64,24.64,24.34,24.37,4000,0.0,0
2016-05-12,24.45,24.45,24.03,24.13,3200,0.0,0
2016-05-13,24.08,24.23,24.03,24.07,3900,0.0,0
2016-05-16,24.37,24.37,24.1,24.24,8600,0.0,0
2016-05-17,24.2,24.2,23.89,23.89,3800,0.0,0
2016-05-18,24.17,24.17,23.72,23.72,2800,0.0,0
2016-05-19,23.73,23.73,23.35,23.4,4300,0.0,0
2016-05-20,23.32,23.93,23.32,23.86,2700,0.0,0
2016-05-23,23.97,24.05,23.97,24.05,2800,0.0,0
2016-05-24,24.19,24.42,24.15,24.38,2000,0.0,0
2016-05-25,24.35,24.43,24.35,24.39,2700,0.0,0
2016-05-26,24.58,24.65,24.54,24.62,2300,0.0,0
2016-05-27,24.71,24.84,24.71,24.84,2300,0.0,0
2016-05-31,24.84,24.89,24.82,24.82,800,0.0,0
2016-06-01,24.69,24.85,24.68,24.81,2200,0.0,0
2016-06-02,24.68,24.95,24.67,24.95,2600,0.0,0
2016-06-03,25.16,25.16,24.83,24.86,1700,0.0,0
2016-06-06,24.98,25.08,24.93,25.08,3400,0.0,0
2016-06-07,25.09,25.15,25.07,25.1,700,0.0,0
2016-06-08,25.03,25.08,25.03,25.08,500,0.0,0
2016-06-09,25.18,25.18,24.87,24.87,1200,0.0,0
2016-06-10,24.68,24.68,24.37,24.37,1800,0.0,0
2016-06-13,24.18,24.45,24.1,24.11,2700,0.0,0
2016-06-14,24.18,24.18,23.92,23.99,2000,0.0,0
2016-06-15,24.29,24.29,24.29,24.29,500,0.0,0
2016-06-16,24.03,24.03,23.89,24.01,500,0.0,0
2016-06-17,24.06,24.19,24.05,24.18,1600,0.0,0
2016-06-20,24.78,24.78,24.59,24.59,1400,0.0,0
2016-06-21,24.54,24.54,24.4,24.46,1300,0.0,0
2016-06-22,24.49,24.49,24.45,24.45,600,0.0,0
2016-06-23,24.65,24.77,24.65,24.77,400,0.0,0
2016-06-24,23.85,23.99,23.67,23.82,5400,0.0,0
2016-06-27,24.67,24.67,22.87,22.87,9000,0.0,0
2016-06-28,23.29,23.47,23.16,23.43,5800,0.0,0
2016-06-29,24.03,24.03,24.02,24.02,300,0.0,0
2016-06-30,24.08,24.26,24.08,24.26,700,0.0,0
2016-07-01,24.48,24.61,24.48,24.56,4100,0.0,0
2016-07-05,24.39,24.39,24.3,24.3,1300,0.0,0
2016-07-06,24.25,24.41,24.25,24.39,1700,0.0,0
2016-07-07,24.56,24.56,24.41,24.41,600,0.0,0
2016-07-08,24.66,25.13,24.66,25.13,1300,0.0,0
2016-07-11,25.16,25.4,25.16,25.36,2800,0.0,0
2016-07-12,25.77,25.77,25.77,25.77,400,0.0,0
2016-07-13,25.84,25.84,25.53,25.53,2000,0.0,0
2016-07-14,25.49,25.72,25.49,25.68,1700,0.0,0
2016-07-15,25.68,25.68,25.68,25.68,0,0.0,0
2016-07-18,25.55,25.59,25.48,25.59,1300,0.0,0
2016-07-19,25.37,25.43,25.32,25.32,500,0.0,0
2016-07-20,25.53,25.64,25.53,25.64,200,0.0,0
2016-07-21,25.66,25.66,25.6,25.6,500,0.0,0
2016-07-22,25.65,25.67,25.49,25.67,2700,0.0,0
2016-07-25,25.42,25.64,25.42,25.5,400,0.0,0
2016-07-26,25.68,25.83,25.68,25.7,800,0.0,0
2016-07-27,25.7,25.7,25.7,25.7,0,0.0,0
2016-07-28,25.71,26.25,25.71,26.24,600,0.0,0
2016-07-29,26.24,26.24,26.16,26.2,1200,0.0,0
2016-08-01,26.52,26.6,26.5,26.57,3600,0.0,0
2016-08-02,26.65,26.65,26.65,26.65,1400,0.0,0
2016-08-03,26.57,26.57,26.57,26.57,300,0.0,0
2016-08-04,26.57,26.57,26.57,26.57,0,0.0,0
2016-08-05,26.93,26.94,26.73,26.88,1000,0.0,0
2016-08-08,26.76,26.87,26.73,26.87,2300,0.0,0
2016-08-09,26.77,26.77,26.77,26.77,1100,0.0,0
2016-08-10,26.65,26.65,26.65,26.65,500,0.0,0
2016-08-11,27.13,27.18,27.06,27.11,2600,0.0,0
2016-08-12,27.24,27.32,27.14,27.29,7900,0.0,0
2016-08-15,27.67,27.67,27.42,27.46,6300,0.0,0
2016-08-16,27.45,27.45,27.23,27.23,4300,0.0,0
2016-08-17,27.09,27.11,26.92,27.11,2400,0.0,0
2016-08-18,27.29,28.32,27.12,27.38,2200,0.0,0
2016-08-19,27.32,27.41,27.24,27.34,4100,0.0,0
2016-08-22,27.22,27.23,27.03,27.23,3100,0.0,0
2016-08-23,27.57,27.57,27.44,27.45,3300,0.0,0
2016-08-24,27.44,27.44,27.34,27.34,3600,0.0,0
2016-08-25,27.19,27.31,27.13,27.19,4200,0.0,0
2016-08-26,27.24,27.32,27.01,27.1,1100,0.0,0
2016-08-29,27.4,27.4,27.24,27.26,1100,0.0,0
2016-08-30,27.17,27.29,27.17,27.29,700,0.0,0
2016-08-31,27.05,27.08,27.05,27.08,1800,0.0,0
2016-09-01,27.36,27.44,27.36,27.44,500,0.0,0
2016-09-02,27.62,27.62,27.51,27.52,1100,0.0,0
2016-09-06,27.91,27.91,27.75,27.82,2100,0.0,0
2016-09-07,28.04,28.04,27.84,27.84,500,0.0,0
2016-09-08,27.92,27.92,27.77,27.82,3200,0.0,0
2016-09-09,27.42,27.42,27.12,27.12,2200,0.0,0
2016-09-12,26.92,27.39,26.92,27.34,2000,0.0,0
2016-09-13,27.34,27.34,27.34,27.34,0,0.0,0
2016-09-14,27.09,27.19,27.01,27.07,2300,0.0,0
2016-09-15,27.12,27.12,27.12,27.12,200,0.0,0
2016-09-16,27.22,27.22,27.22,27.22,700,0.0,0
2016-09-19,27.63,27.63,27.31,27.31,1500,0.0,0
2016-09-20,27.2,27.2,27.2,27.2,100,0.0,0
2016-09-21,27.44,27.61,27.44,27.48,2900,0.0,0
2016-09-22,27.81,27.94,27.81,27.94,1600,0.0,0
2016-09-23,28.0,28.07,27.85,27.85,8800,0.0,0
2016-09-26,27.92,27.93,27.92,27.92,1400,0.0,0
2016-09-27,27.61,27.64,27.42,27.51,7400,0.0,0
2016-09-28,27.53,27.55,27.32,27.55,7200,0.0,0
2016-09-29,27.62,27.62,27.34,27.36,2800,0.0,0
2016-09-30,27.68,27.68,27.42,27.55,1200,0.0,0
2016-10-03,27.7,27.73,27.55,27.73,1500,0.0,0
2016-10-04,27.92,27.92,27.8,27.87,2100,0.0,0
2016-10-05,27.99,28.08,27.88,27.93,4200,0.0,0
2016-10-06,28.11,28.11,27.5,27.62,2000,0.0,0
2016-10-07,27.58,27.71,27.58,27.6,2800,0.0,0
2016-10-10,28.09,28.09,27.55,27.67,1000,0.0,0
2016-10-11,27.72,27.72,27.17,27.21,6400,0.0,0
2016-10-12,27.48,27.48,27.25,27.31,5900,0.0,0
2016-10-13,27.23,27.23,26.65,27.09,6800,0.0,0
2016-10-14,27.28,27.28,27.12,27.2,1500,0.0,0
2016-10-17,27.27,27.27,27.0,27.07,6400,0.0,0
2016-10-18,27.61,27.74,27.46,27.71,6400,0.0,0
2016-10-19,27.81,27.89,27.55,27.89,3800,0.0,0
2016-10-20,27.87,27.87,27.59,27.59,2100,0.0,0
2016-10-21,27.52,27.83,27.52,27.8,6800,0.0,0
2016-10-24,28.33,28.33,27.84,27.84,1700,0.0,0
2016-10-25,28.12,28.12,27.67,27.71,5100,0.0,0
2016-10-26,27.65,27.65,27.29,27.34,13600,0.0,0
2016-10-27,27.61,27.61,26.97,26.97,7500,0.0,0
2016-10-28,27.22,27.22,26.92,27.1,1800,0.0,0
2016-10-31,27.39,27.39,27.1,27.19,2000,0.0,0
2016-11-01,27.07,27.07,26.77,26.86,3400,0.0,0
2016-11-02,26.68,26.68,26.33,26.39,6000,0.0,0
2016-11-03,26.32,26.41,25.31,26.41,1400,0.0,0
2016-11-04,26.52,26.61,26.52,26.61,800,0.0,0
2016-11-07,26.97,27.02,26.93,27.02,1700,0.0,0
2016-11-08,27.12,27.19,26.92,27.19,6100,0.0,0
2016-11-09,27.17,27.26,26.73,27.26,3100,0.0,0
2016-11-10,27.38,27.38,26.73,27.15,1700,0.0,0
2016-11-11,27.15,27.16,27.07,27.08,2000,0.0,0
2016-11-14,27.13,27.13,27.11,27.11,600,0.0,0
2016-11-15,27.42,27.53,27.34,27.5,5100,0.0,0
2016-11-16,27.42,27.57,27.42,27.52,2200,0.0,0
2016-11-17,27.65,27.81,27.64,27.64,2900,0.0,0
2016-11-18,27.67,27.69,27.67,27.69,400,0.0,0
2016-11-21,27.96,27.99,27.77,27.94,13100,0.0,0
2016-11-22,28.21,28.21,27.85,28.02,10200,0.0,0
2016-11-23,28.16,28.16,27.79,28.0,7600,0.0,0
2016-11-25,28.28,28.28,28.06,28.12,48900,0.0,0
2016-11-28,28.33,28.33,27.92,27.92,14800,0.0,0
2016-11-29,28.11,28.11,27.82,27.89,4700,0.0,0
2016-11-30,27.82,27.82,27.42,27.47,6500,0.0,0
2016-12-01,27.4,27.4,26.92,27.1,7200,0.0,0
2016-12-02,26.9,27.11,26.75,27.04,2900,0.0,0
2016-12-05,26.99,27.35,26.99,27.34,5800,0.0,0
2016-12-06,27.17,27.44,27.17,27.44,2600,0.0,0
2016-12-07,27.29,27.71,27.23,27.71,2700,0.0,0
2016-12-08,27.89,28.03,27.89,28.03,1200,0.0,0
2016-12-09,28.03,28.1,27.9,28.02,1600,0.0,0
2016-12-12,27.81,27.94,27.57,27.72,3200,0.0,0
2016-12-13,27.65,27.93,27.12,27.93,1400,0.0,0
2016-12-14,27.79,27.79,27.59,27.62,1900,0.0,0
2016-12-15,27.48,27.77,27.48,27.64,1700,0.0,0
2016-12-16,27.44,27.58,27.43,27.45,1900,0.0,0
2016-12-19,27.61,27.75,27.61,27.71,1600,0.0,0
2016-12-20,27.75,27.96,27.75,27.94,24700,0.0,0
2016-12-21,28.19,28.19,27.74,27.74,7700,0.0,0
2016-12-22,27.47,27.47,27.32,27.32,900,0.0,0
2016-12-23,27.38,27.38,27.32,27.32,700,0.0,0
2016-12-27,27.56,27.56,27.5,27.5,400,0.0,0
2016-12-28,27.44,27.48,27.17,27.26,1000,0.0,0
2016-12-29,27.36,27.36,27.17,27.22,1900,0.0,0
2016-12-30,27.38,27.38,27.13,27.13,3300,0.0,0
2017-01-03,27.43,27.43,27.26,27.34,1400,0.0,0
2017-01-04,27.74,28.17,27.63,27.99,1600,0.0,0
2017-01-05,27.94,27.99,27.82,27.99,7000,0.0,0
2017-01-06,27.91,28.02,27.87,28.0,5200,0.0,0
2017-01-09,27.76,27.83,27.76,27.83,2300,0.0,0
2017-01-10,28.06,28.15,28.05,28.08,4200,0.0,0
2017-01-11,28.08,28.08,27.8,27.93,2600,0.0,0
2017-01-12,27.9,27.9,27.67,27.82,4500,0.0,0
2017-01-13,27.99,28.15,27.99,28.15,3000,0.0,0
2017-01-17,28.13,28.24,28.0,28.06,4700,0.0,0
2017-01-18,28.06,28.06,27.9,27.95,2000,0.0,0
2017-01-19,27.96,28.06,27.85,27.88,3000,0.0,0
2017-01-20,27.79,27.9,27.79,27.84,1900,0.0,0
2017-01-23,27.85,27.87,27.82,27.87,900,0.0,0
2017-01-24,27.98,28.01,27.94,27.96,800,0.0,0
2017-01-25,28.32,28.35,28.27,28.34,2900,0.0,0
2017-01-26,28.41,28.41,28.21,28.25,3200,0.0,0
2017-01-27,28.18,28.31,28.18,28.3,3100,0.0,0
2017-01-30,28.05,28.1,27.87,28.1,700,0.0,0
2017-01-31,27.88,28.09,27.88,28.09,1000,0.0,0
2017-02-01,28.39,28.42,28.22,28.22,50800,0.0,0
2017-02-02,28.3,28.3,28.0,28.12,4300,0.0,0
2017-02-03,28.13,28.28,28.13,28.27,2400,0.0,0
2017-02-06,28.07,28.09,28.07,28.09,2100,0.0,0
2017-02-07,28.33,28.33,28.11,28.32,1700,0.0,0
2017-02-08,28.2,28.41,28.2,28.41,900,0.0,0
2017-02-09,28.53,28.63,28.53,28.63,1400,0.0,0
2017-02-10,28.64,28.79,28.64,28.76,2300,0.0,0
2017-02-13,29.06,29.06,28.79,28.81,2500,0.0,0
2017-02-14,28.77,29.0,28.77,29.0,3800,0.0,0
2017-02-15,28.92,29.18,28.92,29.18,1500,0.0,0
2017-02-16,29.17,29.17,28.94,28.94,2600,0.0,0
2017-02-17,28.86,28.88,28.7,28.84,2200,0.0,0
2017-02-21,29.0,29.26,29.0,29.26,4100,0.0,0
2017-02-22,29.22,29.46,29.22,29.46,1200,0.0,0
2017-02-23,29.63,29.63,28.98,28.99,2700,0.0,0
2017-02-24,28.93,28.93,28.58,28.83,2200,0.0,0
2017-02-27,28.9,29.02,28.9,28.92,400,0.0,0
2017-02-28,29.04,29.08,28.87,28.88,64500,0.0,0
2017-03-01,29.0,29.01,28.77,28.95,2900,0.0,0
2017-03-02,28.91,28.91,28.81,28.83,2100,0.0,0
2017-03-03,28.64,28.64,28.52,28.59,1600,0.0,0
2017-03-06,28.6,28.6,28.42,28.44,2300,0.0,0
2017-03-07,28.44,28.48,28.43,28.48,3100,0.0,0
2017-03-08,28.52,28.69,28.52,28.62,3900,0.0,0
2017-03-09,28.61,28.67,28.5,28.53,4300,0.0,0
2017-03-10,28.77,28.77,28.67,28.67,400,0.0,0
2017-03-13,28.9,28.9,28.78,28.9,2100,0.0,0
2017-03-14,28.9,28.9,28.61,28.62,800,0.0,0
2017-03-15,28.58,28.84,28.58,28.81,4100,0.0,0
2017-03-16,29.03,29.18,29.03,29.09,4900,0.0,0
2017-03-17,29.23,29.4,29.23,29.31,1600,0.0,0
2017-03-20,29.54,29.54,29.32,29.32,1100,0.0,0
2017-03-21,29.47,29.47,28.86,28.86,2200,0.0,0
2017-03-22,28.62,28.62,28.57,28.62,1300,0.0,0
2017-03-23,28.8,29.03,28.8,28.95,4100,0.0,0
2017-03-24,29.09,29.09,28.74,28.74,3000,0.0,0
2017-03-27,28.66,29.11,28.66,29.11,2100,0.0,0
2017-03-28,29.19,29.24,29.18,29.18,5300,0.0,0
2017-03-29,29.78,29.78,29.27,29.48,2600,0.0,0
2017-03-30,29.54,29.54,29.39,29.43,5200,0.0,0
2017-03-31,29.45,29.53,29.36,29.46,5300,0.0,0
2017-04-03,29.54,29.54,29.28,29.41,4300,0.0,0
2017-04-04,29.44,29.44,29.32,29.32,14800,0.0,0
2017-04-05,29.54,29.55,29.06,29.08,6700,0.0,0
2017-04-06,29.24,29.35,29.08,29.35,10900,0.0,0
2017-04-07,29.42,29.42,29.3,29.37,4200,0.0,0
2017-04-10,29.52,29.61,29.49,29.55,2500,0.0,0
2017-04-11,30.0,30.17,29.8,29.92,25100,0.0,0
2017-04-12,30.12,30.12,29.88,29.88,9400,0.0,0
2017-04-13,30.17,30.17,29.72,29.74,13200,0.0,0
2017-04-17,29.61,29.99,29.61,29.99,4300,0.0,0
2017-04-18,30.08,30.08,29.85,30.0,3600,0.0,0
2017-04-19,30.22,30.25,30.12,30.16,9100,0.0,0
2017-04-20,30.39,30.47,30.26,30.37,13600,0.0,0
2017-04-21,30.51,30.51,30.31,30.42,29600,0.0,0
2017-04-24,31.74,31.9,30.71,31.68,28200,0.0,0
2017-04-25,31.6,31.61,30.91,31.09,55300,0.0,0
2017-04-26,31.57,31.57,30.66,30.85,39200,0.0,0
2017-04-27,31.1,31.31,31.05,31.27,10200,0.0,0
2017-04-28,31.34,31.61,31.22,31.28,73600,0.0,0
2017-05-01,31.66,32.06,31.45,31.91,114500,0.0,0
2017-05-02,32.28,32.28,32.05,32.17,56000,0.0,0
2017-05-03,33.15,33.15,31.66,31.92,46200,0.0,0
2017-05-04,32.22,32.22,31.69,31.71,29500,0.0,0
2017-05-05,31.63,32.16,31.63,32.16,25100,0.0,0
2017-05-08,33.0,33.0,32.08,32.32,110000,0.0,0
2017-05-09,32.9,33.27,32.62,33.26,82600,0.0,0
2017-05-10,33.49,33.49,33.08,33.37,60700,0.0,0
2017-05-11,33.49,33.59,32.83,33.2,61500,0.0,0
2017-05-12,33.2,33.35,32.91,33.31,54500,0.0,0
2017-05-15,33.89,34.25,33.3,33.41,115600,0.0,0
2017-05-16,33.79,34.2,33.55,33.72,70200,0.0,0
2017-05-17,33.65,33.66,32.81,32.82,105000,0.0,0
2017-05-18,32.81,33.19,32.66,33.14,37000,0.0,0
2017-05-19,33.13,33.4,33.11,33.21,22400,0.0,0
2017-05-22,33.48,33.9,33.38,33.47,275400,0.0,0
2017-05-23,33.77,33.77,33.22,33.39,148500,0.0,0
2017-05-24,33.68,33.68,33.26,33.44,35800,0.0,0
2017-05-25,33.75,33.77,33.45,33.52,105300,0.0,0
2017-05-26,33.33,33.55,33.33,33.55,29900,0.0,0
2017-05-30,33.63,33.66,33.15,33.26,57600,0.0,0
2017-05-31,33.41,33.41,32.78,33.19,41300,0.0,0
2017-06-01,33.34,33.64,33.27,33.62,33000,0.0,0
2017-06-02,33.9,33.9,33.63,33.8,41000,0.0,0
2017-06-05,33.91,33.92,33.6,33.69,51200,0.0,0
2017-06-06,33.71,33.71,33.44,33.45,40600,0.0,0
2017-06-07,33.48,33.82,33.48,33.8,23000,0.0,0
2017-06-08,34.07,34.22,33.82,34.19,44800,0.0,0
2017-06-09,34.23,34.42,33.46,33.66,38100,0.0,0
2017-06-12,33.57,33.63,33.0,33.62,40000,0.0,0
2017-06-13,33.54,34.04,33.54,34.04,28400,0.0,0
2017-06-14,34.19,34.39,33.96,34.19,27700,0.0,0
2017-06-15,33.88,34.28,33.67,34.22,34900,0.0,0
