Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-16,15.54,16.25,14.45,16.16,648700,0.0,0
2015-01-20,16.34,16.49,16.02,16.16,23800,0.0,0
2015-01-21,15.93,16.41,15.93,16.18,18000,0.0,0
2015-01-22,15.98,16.66,15.98,16.3,4100,0.0,0
2015-01-23,16.26,17.75,16.26,17.06,24700,0.0,0
2015-01-26,17.16,18.16,17.11,18.06,25700,0.0,0
2015-01-27,18.24,19.39,18.06,18.16,22400,0.0,0
2015-01-28,18.21,18.43,18.06,18.09,4100,0.0,0
2015-01-29,18.23,18.23,18.19,18.22,4900,0.0,0
2015-01-30,18.23,18.23,17.97,18.16,6200,0.0,0
2015-02-02,18.16,18.16,17.98,18.0,2500,0.0,0
2015-02-03,18.05,18.16,18.05,18.16,6900,0.0,0
2015-02-04,18.16,18.22,17.99,18.08,12100,0.0,0
2015-02-05,18.06,18.21,18.06,18.18,9300,0.0,0
2015-02-06,18.06,18.21,17.98,18.06,13200,0.0,0
2015-02-09,18.21,18.21,18.11,18.19,1300,0.0,0
2015-02-10,18.21,18.21,18.06,18.2,5700,0.0,0
2015-02-11,18.2,19.83,18.2,19.54,11100,0.0,0
2015-02-12,19.68,19.68,19.16,19.46,6500,0.0,0
2015-02-13,19.54,19.87,19.54,19.87,700,0.0,0
2015-02-17,19.49,19.49,19.1,19.43,4900,0.0,0
2015-02-18,19.26,19.49,19.26,19.48,5300,0.0,0
2015-02-19,19.23,19.48,19.01,19.3,8600,0.0,0
2015-02-20,19.34,19.35,19.21,19.21,500,0.0,0
2015-02-23,19.29,19.29,19.02,19.11,2400,0.0,0
2015-02-24,19.13,19.25,19.05,19.23,7500,0.0,0
2015-02-25,19.38,19.38,19.1,19.25,6400,0.0,0
2015-02-26,19.22,19.29,19.19,19.19,1200,0.04,0
2015-02-27,19.21,19.29,19.21,19.28,3300,0.0,0
2015-03-02,19.38,19.38,18.26,19.14,4300,0.0,0
2015-03-03,19.29,19.29,18.66,19.19,3300,0.0,0
2015-03-04,19.24,19.24,18.35,19.23,5000,0.0,0
2015-03-05,19.24,19.24,18.67,18.78,5700,0.0,0
2015-03-06,19.24,20.67,18.67,18.68,39800,0.0,0
2015-03-09,19.53,19.87,18.68,19.04,3900,0.0,0
2015-03-10,19.0,19.03,18.72,18.85,4700,0.0,0
2015-03-11,19.03,19.9,18.72,19.43,15500,0.0,0
2015-03-12,19.52,19.52,18.72,18.99,5200,0.0,0
2015-03-13,18.71,19.04,18.71,18.77,9800,0.0,0
2015-03-16,20.36,20.36,18.68,18.77,20400,0.0,0
2015-03-17,18.84,19.05,18.77,18.77,24500,0.0,0
2015-03-18,18.81,19.05,18.77,18.91,32800,0.0,0
