Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-07-03,3.02,3.02,2.95,2.95,1300,0.0,0.0
2003-07-07,2.76,3.43,2.76,3.04,900,0.0,0.0
2003-07-08,3.06,3.06,3.06,3.06,0,0.0,0.0
2003-07-09,3.27,3.34,3.11,3.11,300,0.0,0.0
2003-07-10,3.57,4.6,3.22,3.59,7900,0.0,0.0
2003-07-11,4.23,4.83,4.23,4.51,8000,0.0,0.0
2003-07-14,4.79,4.93,4.6,4.81,3300,0.0,0.0
2003-07-15,4.83,4.83,4.35,4.35,1900,0.0,0.0
2003-07-16,4.35,4.83,4.35,4.37,100,0.0,0.0
2003-07-17,4.83,4.83,4.26,4.4,700,0.0,0.0
2003-07-18,4.6,4.6,4.6,4.6,0,0.0,0.0
2003-07-21,4.6,4.6,4.6,4.6,100,0.0,0.0
2003-07-22,4.37,4.37,4.35,4.37,400,0.0,0.0
2003-07-23,4.21,4.23,4.21,4.23,100,0.0,0.0
2003-07-24,4.21,4.21,3.45,3.57,1800,0.0,0.0
2003-07-25,3.57,3.68,3.54,3.54,200,0.0,0.0
2003-07-28,4.1,4.1,4.1,4.1,0,0.0,0.0
2003-07-29,4.1,4.1,4.1,4.1,0,0.0,0.0
2003-07-30,4.1,4.1,4.1,4.1,0,0.0,0.0
2003-07-31,4.1,4.1,4.1,4.1,0,0.0,0.0
2003-08-01,4.1,4.1,4.1,4.1,0,0.0,0.0
2003-08-04,3.54,4.05,3.54,3.91,800,0.0,0.0
2003-08-05,4.03,4.58,4.03,4.58,5500,0.0,0.0
2003-08-06,4.51,4.53,4.51,4.53,300,0.0,0.0
2003-08-07,4.53,4.83,4.51,4.83,2600,0.0,0.0
2003-08-08,4.53,4.6,4.53,4.6,500,0.0,0.0
2003-08-11,4.67,4.72,4.26,4.26,1900,0.0,0.0
2003-08-12,4.63,4.83,4.63,4.74,300,0.0,0.0
2003-08-13,4.53,4.53,4.37,4.37,3600,0.0,0.0
2003-08-14,4.37,4.37,4.37,4.37,0,0.0,0.0
2003-08-15,4.37,4.37,4.37,4.37,0,0.0,0.0
2003-08-18,4.17,4.17,4.17,4.17,0,0.0,0.0
2003-08-19,4.19,4.19,4.19,4.19,100,0.0,0.0
2003-08-20,4.81,4.81,4.63,4.63,300,0.0,0.0
2003-08-21,4.6,4.7,4.6,4.7,1100,0.0,0.0
2003-08-22,4.7,4.7,4.7,4.7,0,0.0,0.0
2003-08-25,4.7,4.7,4.7,4.7,0,0.0,0.0
2003-08-26,4.7,4.7,4.7,4.7,0,0.0,0.0
2003-08-27,4.7,4.72,4.7,4.72,600,0.0,0.0
2003-08-28,4.7,5.85,4.7,5.71,5700,0.0,0.0
2003-08-29,5.36,5.71,5.36,5.52,2600,0.0,0.0
2003-09-02,5.68,5.87,5.66,5.85,7800,0.0,0.0
2003-09-03,5.85,5.92,5.73,5.92,8100,0.0,0.0
2003-09-04,5.85,6.17,5.52,6.05,7000,0.0,0.0
2003-09-05,5.98,6.9,5.96,6.9,8000,0.0,0.0
2003-09-08,6.9,7.02,6.49,6.9,6400,0.0,0.0
2003-09-09,6.56,7.07,6.56,6.88,2400,0.0,0.0
2003-09-10,6.86,6.86,6.86,6.86,600,0.0,0.0
2003-09-11,6.58,6.58,5.96,6.05,3200,0.0,0.0
2003-09-12,6.31,6.31,5.18,5.29,12900,0.0,0.0
2003-09-15,5.64,5.64,5.45,5.5,3800,0.0,0.0
2003-09-16,5.75,6.47,5.75,6.47,5300,0.0,0.0
2003-09-17,6.47,6.47,6.12,6.4,1600,0.0,0.0
2003-09-18,6.44,6.47,6.44,6.47,1600,0.0,0.0
2003-09-19,6.28,6.44,6.12,6.44,1000,0.0,0.0
2003-09-22,6.12,6.21,5.98,6.01,1100,0.0,0.0
2003-09-23,5.98,5.98,5.96,5.96,1300,0.0,0.0
2003-09-24,5.96,6.1,5.92,5.98,1700,0.0,0.0
2003-09-25,6.21,6.21,5.98,5.98,1800,0.0,0.0
2003-09-26,5.98,5.98,5.29,5.62,4500,0.0,0.0
2003-09-29,5.41,5.52,5.22,5.29,1200,0.0,0.0
2003-09-30,5.2,5.2,4.63,4.83,2300,0.0,0.0
2003-10-01,5.27,5.55,4.72,4.72,2700,0.0,0.0
2003-10-02,4.9,4.95,4.9,4.95,100,0.0,0.0
2003-10-03,4.83,5.64,4.83,4.99,2000,0.0,0.0
2003-10-06,5.64,5.64,4.81,5.29,600,0.0,0.0
2003-10-07,5.29,5.41,4.83,5.04,2900,0.0,0.0
2003-10-08,4.93,6.77,4.93,6.19,23600,0.0,0.0
2003-10-09,6.42,10.84,6.1,10.24,127500,0.0,0.0
2003-10-10,10.1,10.13,9.21,9.57,61900,0.0,0.0
2003-10-13,9.21,9.55,8.79,9.21,43800,0.0,0.0
2003-10-14,8.98,9.16,8.17,8.91,19300,0.0,0.0
2003-10-15,8.52,8.65,8.19,8.47,26900,0.0,0.0
2003-10-16,8.12,8.42,8.06,8.42,8200,0.0,0.0
2003-10-17,8.49,8.88,8.29,8.45,6800,0.0,0.0
2003-10-20,8.52,8.52,7.89,8.19,4100,0.0,0.0
2003-10-21,8.49,8.52,8.17,8.26,10200,0.0,0.0
2003-10-22,8.47,8.47,7.96,8.19,5700,0.0,0.0
2003-10-23,7.92,8.26,7.89,7.94,2400,0.0,0.0
2003-10-24,7.83,7.83,7.34,7.83,7900,0.0,0.0
2003-10-27,8.01,8.06,7.57,7.83,5400,0.0,0.0
2003-10-28,8.03,9.67,7.83,9.57,45400,0.0,0.0
2003-10-29,9.21,9.39,8.93,9.37,19400,0.0,0.0
2003-10-30,9.14,9.16,8.84,8.84,8100,0.0,0.0
2003-10-31,8.86,8.86,8.52,8.86,4000,0.0,0.0
2003-11-03,9.16,9.21,8.29,8.52,17500,0.0,0.0
2003-11-04,8.72,10.22,8.45,10.06,127900,0.0,0.0
2003-11-05,9.9,10.7,9.69,10.63,175600,0.0,0.0
2003-11-06,10.29,12.73,10.08,12.66,701000,0.0,0.0
2003-11-07,12.43,15.03,12.41,14.91,603700,0.0,0.0
2003-11-10,15.1,18.11,14.73,17.42,713800,0.0,0.0
2003-11-11,16.78,17.24,15.42,16.02,278700,0.0,0.0
2003-11-12,15.21,16.39,13.95,14.91,252600,0.0,0.0
