Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-10-27,5.6,6.4,5.15,5.9,866700,0,0
2015-10-28,6.0,6.75,5.8,6.26,167600,0,0
2015-10-29,7.25,7.61,6.37,6.54,234600,0,0
2015-10-30,6.66,6.66,5.61,5.95,64600,0,0
2015-11-02,5.95,5.99,5.02,5.88,126900,0,0
2015-11-03,5.78,6.05,5.32,5.59,69000,0,0
2015-11-04,5.86,5.88,5.25,5.39,34000,0,0
2015-11-05,5.35,5.5,5.15,5.37,53000,0,0
2015-11-06,5.23,5.5,5.23,5.41,15400,0,0
2015-11-09,5.5,5.5,5.25,5.3,32500,0,0
2015-11-10,5.17,5.37,5.17,5.23,19600,0,0
2015-11-11,5.03,5.4,5.0,5.4,49900,0,0
2015-11-12,6.49,6.49,5.4,5.74,46900,0,0
2015-11-13,5.48,5.75,5.29,5.59,57000,0,0
2015-11-16,5.34,5.87,5.21,5.49,17400,0,0
2015-11-17,5.19,5.62,5.17,5.51,113700,0,0
2015-11-18,5.48,5.7,5.2,5.52,466200,0,0
2015-11-19,5.69,5.69,5.2,5.55,86200,0,0
2015-11-20,5.32,5.92,5.24,5.55,193600,0,0
2015-11-23,5.98,6.28,5.28,5.83,374700,0,0
2015-11-24,5.66,6.5,5.66,6.28,148400,0,0
2015-11-25,6.4,7.06,6.25,6.85,179900,0,0
2015-11-27,6.98,7.39,6.6,6.99,194300,0,0
2015-11-30,6.91,7.34,6.19,6.69,193200,0,0
2015-12-01,6.68,6.97,6.37,6.62,193900,0,0
2015-12-02,6.56,6.8,6.45,6.65,17600,0,0
2015-12-03,6.54,6.7,6.36,6.46,10500,0,0
2015-12-04,6.52,7.0,6.52,6.94,18900,0,0
2015-12-07,6.9,6.99,6.37,6.96,18700,0,0
2015-12-08,6.8,7.1,6.8,7.1,32700,0,0
2015-12-09,7.0,7.23,6.95,7.05,67700,0,0
2015-12-10,7.0,7.84,6.82,7.78,48800,0,0
2015-12-11,7.81,7.81,7.41,7.8,37000,0,0
2015-12-14,7.8,8.5,7.8,8.18,117500,0,0
2015-12-15,8.2,8.25,7.9,8.14,71300,0,0
2015-12-16,8.1,8.3,7.75,7.88,60400,0,0
2015-12-17,7.83,8.02,7.5,7.84,86000,0,0
2015-12-18,7.59,8.17,7.59,7.69,443100,0,0
2015-12-21,7.95,8.0,7.58,7.71,118200,0,0
2015-12-22,7.68,7.87,7.54,7.7,34500,0,0
2015-12-23,7.68,7.75,7.6,7.62,14800,0,0
2015-12-24,7.54,7.67,7.53,7.67,4400,0,0
2015-12-28,7.62,7.81,7.5,7.57,7300,0,0
2015-12-29,7.65,8.1,7.33,8.01,162300,0,0
2015-12-30,7.93,8.09,7.73,7.93,23500,0,0
2015-12-31,7.89,7.99,7.62,7.71,36200,0,0
2016-01-04,7.51,7.81,7.51,7.59,8700,0,0
2016-01-05,7.59,7.67,7.09,7.38,45200,0,0
2016-01-06,7.29,7.4,6.96,7.25,40100,0,0
2016-01-07,7.05,7.27,6.59,6.67,37800,0,0
2016-01-08,6.69,6.69,6.27,6.59,106600,0,0
2016-01-11,6.61,6.74,6.57,6.74,6900,0,0
2016-01-12,6.83,7.0,6.5,6.72,64600,0,0
2016-01-13,6.8,6.94,6.43,6.43,14000,0,0
2016-01-14,6.49,6.78,5.91,6.16,228200,0,0
2016-01-15,5.93,6.31,5.16,5.64,60300,0,0
2016-01-19,5.68,5.99,5.68,5.8,12800,0,0
2016-01-20,5.67,5.88,4.99,5.5,35400,0,0
2016-01-21,5.6,5.98,5.6,5.92,15500,0,0
2016-01-22,5.99,5.99,5.66,5.93,27200,0,0
2016-01-25,5.92,6.27,5.54,5.61,44600,0,0
2016-01-26,5.8,5.94,5.57,5.77,23800,0,0
