Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-03,24.81,25.11,24.8,25.0,5500,0.0,0
2015-11-04,25.1,25.26,25.08,25.13,18700,0.0,0
2015-11-05,25.18,25.18,24.8,24.88,9900,0.0,0
2015-11-06,24.82,24.96,24.72,24.94,9100,0.0,0
2015-11-09,24.98,24.98,24.57,24.74,7300,0.0,0
2015-11-10,24.58,24.61,24.44,24.57,4300,0.0,0
2015-11-11,24.63,24.63,24.25,24.25,5200,0.0,0
2015-11-12,24.19,24.39,24.13,24.13,5200,0.0,0
2015-11-13,24.03,24.07,23.84,23.84,6000,0.0,0
2015-11-16,23.83,23.9,23.7,23.87,5900,0.0,0
2015-11-17,23.94,24.3,23.94,24.13,3700,0.0,0
2015-11-18,24.28,24.48,24.12,24.47,5100,0.0,0
2015-11-19,24.48,24.61,24.48,24.61,2800,0.0,0
2015-11-20,24.67,24.74,24.64,24.64,3000,0.0,0
2015-11-23,24.7,24.7,24.62,24.62,7000,0.0,0
2015-11-24,24.55,24.69,24.49,24.68,3400,0.0,0
2015-11-25,24.8,24.92,24.8,24.92,3500,0.0,0
2015-11-27,24.93,24.93,24.78,24.84,3400,0.0,0
2015-11-30,24.95,24.95,24.8,24.86,4900,0.0,0
2015-12-01,24.8,24.92,24.8,24.9,2100,0.0,0
2015-12-02,24.94,25.04,24.9,24.93,3000,0.0,0
2015-12-03,24.75,24.75,24.32,24.45,4400,0.0,0
2015-12-04,24.57,24.8,24.57,24.75,7700,0.0,0
2015-12-07,24.58,24.58,24.31,24.36,8200,0.0,0
2015-12-08,24.04,24.35,24.0,24.33,8800,0.0,0
2015-12-09,24.23,24.31,23.98,24.04,3600,0.0,0
2015-12-10,24.01,24.11,23.99,23.99,5500,0.0,0
2015-12-11,23.83,23.83,23.54,23.56,8600,0.0,0
2015-12-14,23.47,23.48,23.3,23.47,3000,0.0,0
2015-12-15,23.67,23.88,23.65,23.78,11200,0.0,0
2015-12-16,23.88,24.02,23.72,23.96,7400,0.0,0
2015-12-17,23.98,24.18,23.88,23.88,3400,0.0,0
2015-12-18,23.74,23.78,23.69,23.69,1800,0.0,0
2015-12-21,26.99,26.99,23.7,23.76,3900,0.0,0
2015-12-22,23.87,23.87,23.68,23.74,4900,0.0,0
2015-12-23,23.91,23.99,23.73,23.99,3700,0.0,0
2015-12-24,24.02,24.17,24.02,24.12,2800,0.0,0
2015-12-28,24.19,24.19,23.97,24.08,5700,0.0,0
2015-12-29,24.18,24.22,24.11,24.19,2500,0.0,0
2015-12-30,24.1,24.11,23.93,23.93,2300,0.0,0
2015-12-31,23.9,23.98,23.8,23.8,3900,0.0,0
2016-01-04,23.55,23.55,23.34,23.48,4400,0.0,0
2016-01-05,23.6,23.6,23.27,23.32,5400,0.0,0
2016-01-06,22.96,23.25,22.96,23.08,6700,0.0,0
2016-01-07,22.74,22.89,22.61,22.64,3900,0.0,0
2016-01-08,22.83,22.85,22.47,22.47,8000,0.0,0
2016-01-11,22.65,22.65,22.27,22.47,3700,0.0,0
2016-01-12,22.61,22.75,22.34,22.5,3700,0.0,0
2016-01-13,22.64,22.7,21.93,21.95,2400,0.0,0
2016-01-14,21.88,21.88,21.24,21.68,4600,0.0,0
2016-01-15,21.29,21.34,21.02,21.27,3400,0.0,0
2016-01-19,21.44,21.5,20.84,21.02,5900,0.0,0
2016-01-20,20.7,20.75,20.13,20.75,7400,0.0,0
2016-01-21,20.77,21.18,20.75,20.81,3200,0.0,0
2016-01-22,21.13,21.28,21.1,21.25,6000,0.0,0
2016-01-25,21.26,21.27,20.99,20.99,1800,0.0,0
2016-01-26,20.98,21.12,20.98,21.12,2300,0.0,0
2016-01-27,21.01,21.03,20.85,20.85,1800,0.0,0
2016-01-28,21.17,21.2,20.89,20.89,2900,0.0,0
2016-01-29,21.06,21.35,21.06,21.34,3400,0.0,0
2016-02-01,21.4,21.58,21.4,21.58,1000,0.0,0
2016-02-02,21.34,21.4,21.22,21.22,1400,0.0,0
2016-02-03,21.35,21.35,20.98,21.22,4800,0.0,0
2016-02-04,21.12,21.37,21.08,21.21,1400,0.0,0
2016-02-05,20.91,20.91,20.67,20.73,800,0.0,0
2016-02-08,20.54,20.54,19.95,20.09,4400,0.0,0
2016-02-09,19.9,20.18,19.82,19.91,3600,0.0,0
2016-02-10,20.15,20.15,19.9,19.9,1800,0.0,0
2016-02-11,19.66,19.84,19.55,19.84,4100,0.0,0
2016-02-12,19.92,20.13,19.82,20.09,3000,0.0,0
2016-02-16,20.38,20.68,20.38,20.66,6100,0.0,0
