Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-11-18,0.0,0.66,0.65,0.65,191000,0.0,0.0
1981-11-19,0.0,0.65,0.62,0.62,239600,0.0,0.0
1981-11-20,0.0,0.69,0.66,0.66,125000,0.0,0.0
1981-11-23,0.0,0.65,0.64,0.64,32600,0.0,0.0
1981-11-24,0.0,0.64,0.62,0.62,52200,0.0,0.0
1981-11-25,0.0,0.62,0.61,0.61,19200,0.0,0.0
1981-11-27,0.0,0.62,0.61,0.61,23600,0.0,0.0
1981-11-30,0.0,0.62,0.6,0.6,26000,0.0,0.0
1981-12-01,0.0,0.62,0.6,0.6,62000,0.0,0.0
1981-12-02,0.0,0.61,0.6,0.6,34200,0.0,0.0
1981-12-03,0.0,0.6,0.58,0.58,31800,0.0,0.0
1981-12-04,0.0,0.6,0.58,0.58,65000,0.0,0.0
1981-12-07,0.0,0.6,0.57,0.57,6600,0.0,0.0
1981-12-08,0.0,0.58,0.56,0.56,17000,0.0,0.0
1981-12-09,0.0,0.58,0.56,0.56,7200,0.0,0.0
1981-12-10,0.0,0.58,0.56,0.56,15200,0.0,0.0
1981-12-11,0.0,0.58,0.56,0.56,14600,0.0,0.0
1981-12-14,0.0,0.57,0.54,0.54,22400,0.0,0.0
1981-12-15,0.0,0.57,0.53,0.53,10800,0.0,0.0
1981-12-16,0.0,0.56,0.54,0.54,40800,0.0,0.0
1981-12-17,0.0,0.56,0.54,0.54,20600,0.0,0.0
1981-12-18,0.0,0.57,0.56,0.56,22800,0.0,0.0
1981-12-21,0.0,0.57,0.56,0.56,4400,0.0,0.0
1981-12-22,0.0,0.58,0.56,0.56,48000,0.0,0.0
1981-12-23,0.0,0.58,0.56,0.56,21000,0.0,0.0
1981-12-24,0.0,0.58,0.57,0.57,200,0.0,0.0
1981-12-28,0.0,0.58,0.57,0.57,10200,0.0,0.0
1981-12-29,0.0,0.6,0.57,0.57,9000,0.0,0.0
1981-12-30,0.0,0.6,0.57,0.57,800,0.0,0.0
1981-12-31,0.0,0.6,0.57,0.57,22400,0.0,0.0
1982-01-04,0.0,0.6,0.57,0.57,2600,0.0,0.0
1982-01-05,0.0,0.58,0.57,0.57,17000,0.0,0.0
1982-01-06,0.0,0.58,0.56,0.56,29000,0.0,0.0
1982-01-07,0.0,0.58,0.56,0.56,800,0.0,0.0
1982-01-08,0.0,0.58,0.56,0.56,10200,0.0,0.0
1982-01-11,0.0,0.58,0.56,0.56,26400,0.0,0.0
1982-01-12,0.0,0.58,0.56,0.56,12000,0.0,0.0
1982-01-13,0.0,0.58,0.54,0.54,45800,0.0,0.0
1982-01-14,0.0,0.58,0.56,0.56,21600,0.0,0.0
1982-01-15,0.0,0.58,0.56,0.56,22400,0.0,0.0
1982-01-18,0.0,0.58,0.56,0.56,4400,0.0,0.0
1982-01-19,0.0,0.58,0.56,0.56,10200,0.0,0.0
1982-01-20,0.0,0.58,0.56,0.56,13800,0.0,0.0
1982-01-21,0.0,0.58,0.56,0.56,2000,0.0,0.0
1982-01-22,0.0,0.6,0.56,0.56,9800,0.0,0.0
1982-01-25,0.0,0.58,0.54,0.54,22800,0.0,0.0
1982-01-26,0.0,0.57,0.54,0.54,2600,0.0,0.0
1982-01-27,0.0,0.56,0.53,0.53,22400,0.0,0.0
1982-01-28,0.0,0.54,0.51,0.51,20600,0.0,0.0
1982-01-29,0.0,0.56,0.53,0.53,21600,0.0,0.0
1982-02-01,0.0,0.54,0.51,0.51,9200,0.0,0.0
1982-02-02,0.0,0.54,0.51,0.51,4800,0.0,0.0
1982-02-03,0.0,0.54,0.51,0.51,4800,0.0,0.0
1982-02-04,0.0,0.54,0.51,0.51,1800,0.0,0.0
1982-02-05,0.0,0.54,0.51,0.51,1200,0.0,0.0
1982-02-08,0.0,0.54,0.5,0.5,7200,0.0,0.0
1982-02-09,0.0,0.54,0.5,0.5,27000,0.0,0.0
1982-02-10,0.0,0.54,0.5,0.5,18800,0.0,0.0
1982-02-11,0.0,0.53,0.5,0.5,9200,0.0,0.0
1982-02-12,0.0,0.53,0.5,0.5,2000,0.0,0.0
1982-02-16,0.0,0.53,0.5,0.5,20600,0.0,0.0
1982-02-17,0.0,0.53,0.5,0.5,6600,0.0,0.0
1982-02-18,0.0,0.53,0.5,0.5,800,0.0,0.0
1982-02-19,0.0,0.53,0.5,0.5,4400,0.0,0.0
1982-02-22,0.0,0.53,0.5,0.5,1800,0.0,0.0
1982-02-23,0.0,0.53,0.5,0.5,800,0.0,0.0
1982-02-24,0.0,0.54,0.53,0.53,22400,0.0,0.0
1982-02-25,0.0,0.54,0.53,0.53,800,0.0,0.0
1982-02-26,0.0,0.54,0.53,0.53,5600,0.0,0.0
1982-03-01,0.0,0.54,0.53,0.53,9200,0.0,0.0
1982-03-02,0.0,0.56,0.53,0.53,3600,0.0,0.0
1982-03-03,0.0,0.56,0.53,0.53,9000,0.0,0.0
1982-03-04,0.0,0.51,0.47,0.47,16200,0.0,0.0
1982-03-05,0.0,0.51,0.47,0.47,1200,0.0,0.0
1982-03-08,0.0,0.51,0.47,0.47,1200,0.0,0.0
1982-03-09,0.47,0.47,0.47,0.47,0,0.0,0.0
1982-03-10,0.0,0.5,0.46,0.46,3800,0.0,0.0
1982-03-11,0.0,0.5,0.46,0.46,800,0.0,0.0
1982-03-12,0.0,0.5,0.46,0.46,9000,0.0,0.0
1982-03-15,0.46,0.46,0.46,0.46,0,0.0,0.0
1982-03-16,0.0,0.5,0.46,0.46,1200,0.0,0.0
1982-03-17,0.0,0.5,0.46,0.46,112800,0.0,0.0
1982-03-18,0.0,0.5,0.46,0.46,4400,0.0,0.0
1982-03-19,0.0,0.5,0.46,0.46,3600,0.0,0.0
1982-03-22,0.0,0.5,0.46,0.46,13400,0.0,0.0
1982-03-23,0.46,0.46,0.46,0.46,0,0.0,0.0
1982-03-24,0.0,0.49,0.46,0.46,200,0.0,0.0
1982-03-25,0.0,0.49,0.46,0.46,1800,0.0,0.0
1982-03-26,0.0,0.49,0.46,0.46,7200,0.0,0.0
1982-03-29,0.0,0.49,0.46,0.46,21000,0.0,0.0
1982-03-30,0.0,0.49,0.46,0.46,6600,0.0,0.0
1982-03-31,0.0,0.49,0.46,0.46,6600,0.0,0.0
1982-04-01,0.46,0.46,0.46,0.46,0,0.0,0.0
1982-04-02,0.0,0.49,0.46,0.46,200,0.0,0.0
1982-04-05,0.0,0.49,0.46,0.46,4800,0.0,0.0
1982-04-06,0.0,0.49,0.46,0.46,3000,0.0,0.0
1982-04-07,0.0,0.49,0.46,0.46,800,0.0,0.0
1982-04-08,0.0,0.51,0.47,0.47,21800,0.0,0.0
1982-04-12,0.0,0.51,0.47,0.47,3000,0.0,0.0
1982-04-13,0.0,0.54,0.5,0.5,26400,0.0,0.0
1982-04-14,0.5,0.5,0.5,0.5,0,0.0,0.0
