Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-16,9.83,9.9,9.83,9.89,685200,0,0
2019-05-17,9.89,9.89,9.89,9.89,0,0,0
2019-05-20,9.85,9.87,9.85,9.87,71300,0,0
2019-05-21,9.84,9.87,9.84,9.87,14500,0,0
2019-05-22,9.87,9.87,9.87,9.87,100,0,0
2019-05-23,9.86,9.9,9.8,9.86,68900,0,0
2019-05-24,9.86,9.86,9.86,9.86,0,0,0
2019-05-28,9.86,9.86,9.83,9.86,100300,0,0
2019-05-29,9.84,9.86,9.84,9.86,800,0,0
2019-05-30,9.84,11.5,9.84,9.89,104800,0,0
2019-05-31,9.87,9.87,9.86,9.86,394100,0,0
2019-06-03,9.86,10.0,9.86,9.87,34700,0,0
2019-06-04,9.88,10.1,9.88,9.92,42400,0,0
2019-06-05,9.9,10.7,9.89,9.9,95200,0,0
2019-06-06,9.9,9.9,9.9,9.9,2000,0,0
2019-06-07,9.94,9.95,9.92,9.93,108500,0,0
2019-06-10,9.96,9.96,9.88,9.92,4100,0,0
2019-06-11,9.92,9.92,9.92,9.92,0,0,0
2019-06-12,9.94,9.95,9.94,9.95,1700,0,0
2019-06-13,9.95,9.95,9.91,9.91,2700,0,0
2019-06-14,9.91,9.91,9.91,9.91,100,0,0
2019-06-17,9.91,9.91,9.91,9.91,0,0,0
2019-06-18,9.91,9.91,9.91,9.91,0,0,0
2019-06-19,9.91,9.91,9.91,9.91,100,0,0
2019-06-20,9.91,9.91,9.91,9.91,100,0,0
2019-06-21,9.91,9.91,9.91,9.91,0,0,0
2019-06-24,9.91,9.91,9.91,9.91,0,0,0
2019-06-25,9.91,9.91,9.91,9.91,0,0,0
2019-06-26,9.91,9.91,9.91,9.91,100,0,0
2019-06-27,10.0,10.01,9.88,9.9,43500,0,0
2019-06-28,9.9,9.9,9.9,9.9,1000,0,0
2019-07-01,10.5,10.5,9.19,10.1,6400,0,0
2019-07-02,9.96,9.96,9.96,9.96,1100,0,0
2019-07-03,10.16,10.16,10.0,10.0,1200,0,0
2019-07-05,10.0,10.0,9.87,9.88,23200,0,0
2019-07-08,9.8,10.0,9.8,9.88,47500,0,0
2019-07-09,9.86,9.86,9.83,9.84,22800,0,0
2019-07-10,10.05,10.05,9.91,9.92,370800,0,0
2019-07-11,9.99,9.99,9.91,9.93,72000,0,0
2019-07-12,9.9,9.95,9.9,9.92,52600,0,0
2019-07-15,9.9,9.92,9.9,9.92,2200,0,0
2019-07-16,9.92,9.96,9.92,9.94,50300,0,0
2019-07-17,10.01,10.01,9.94,9.94,12500,0,0
2019-07-18,9.94,9.94,9.94,9.94,100,0,0
