Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-02-09,2.7,2.7,2.7,2.7,0,0,0
2009-02-10,2.7,2.7,2.7,2.7,556,0,0
2009-02-11,3.42,3.42,3.42,3.42,556,0,0
2009-02-12,3.42,3.42,3.42,3.42,0,0,0
2009-02-13,3.6,3.96,3.6,3.96,1222,0,0
2009-02-17,4.32,5.4,4.32,4.5,5944,0,0
2009-02-18,4.14,4.14,4.14,4.14,150,0,0
2009-02-19,4.14,4.14,4.14,4.14,0,0,0
2009-02-20,4.5,4.5,4.5,4.5,556,0,0
2009-02-23,4.32,4.5,3.96,3.96,4623,0,0
2009-02-24,3.96,3.96,3.96,3.96,0,0,0
2009-02-25,3.96,3.96,3.96,3.96,0,0,0
2009-02-26,3.96,3.96,3.96,3.96,0,0,0
2009-02-27,3.96,3.96,3.96,3.96,0,0,0
2009-03-02,3.96,3.96,3.96,3.96,0,0,0
2009-03-03,3.96,3.96,3.96,3.96,0,0,0
2009-03-04,3.96,3.96,3.96,3.96,0,0,0
2009-03-05,3.96,3.96,3.96,3.96,0,0,0
2009-03-06,3.96,3.96,3.96,3.96,0,0,0
2009-03-09,4.14,4.14,4.14,4.14,202,0,0
2009-03-10,4.14,4.14,4.14,4.14,278,0,0
2009-03-11,4.14,4.14,4.14,4.14,0,0,0
2009-03-12,4.14,4.14,4.14,4.14,0,0,0
2009-03-13,4.14,4.14,4.14,4.14,0,0,0
2009-03-16,4.14,4.14,4.14,4.14,0,0,0
2009-03-17,4.14,4.14,4.14,4.14,0,0,0
2009-03-18,3.42,3.42,3.33,3.33,806,0,0
2009-03-19,3.33,3.33,3.33,3.33,0,0,0
2009-03-20,3.33,3.33,3.33,3.33,0,0,0
2009-03-23,3.33,3.33,3.33,3.33,0,0,0
2009-03-24,3.42,3.42,3.33,3.42,3889,0,0
2009-03-25,3.42,3.42,3.24,3.33,2294,0,0
2009-03-26,3.42,3.6,3.42,3.6,1222,0,0
2009-03-27,3.6,3.6,3.6,3.6,0,0,0
2009-03-30,3.6,3.6,3.6,3.6,306,0,0
2009-03-31,3.6,3.6,3.6,3.6,0,0,0
2009-04-01,3.24,3.24,3.06,3.24,944,0,0
2009-04-02,3.24,3.51,2.97,2.97,1778,0,0
2009-04-03,2.97,2.97,2.97,2.97,0,0,0
2009-04-06,2.97,2.97,2.97,2.97,0,0,0
2009-04-07,2.97,2.97,2.97,2.97,0,0,0
2009-04-08,2.97,2.97,2.97,2.97,0,0,0
2009-04-09,3.24,3.24,3.06,3.06,289,0,0
2009-04-13,3.06,3.06,3.06,3.06,0,0,0
2009-04-14,3.06,3.06,2.97,2.97,2222,0,0
2009-04-15,2.97,2.97,2.97,2.97,0,0,0
2009-04-16,2.97,2.97,2.97,2.97,0,0,0
2009-04-17,2.97,2.97,2.97,2.97,0,0,0
2009-04-20,2.97,2.97,2.97,2.97,0,0,0
2009-04-21,2.97,2.97,2.97,2.97,0,0,0
2009-04-22,2.97,2.97,2.97,2.97,0,0,0
2009-04-23,2.88,3.24,2.88,3.24,1083,0,0
2009-04-24,3.24,3.24,3.24,3.24,750,0,0
2009-04-27,3.24,3.24,3.24,3.24,0,0,0
2009-04-28,3.24,3.24,3.24,3.24,0,0,0
