Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-10-15,155.0,159.9,115.8,117.0,951700,0,0.0
2004-10-18,117.5,120.0,100.0,100.5,131200,0,0.0
2004-10-19,103.5,120.9,103.5,118.7,127300,0,0.0
2004-10-20,118.0,121.2,109.0,110.5,43800,0,0.0
2004-10-21,110.5,112.5,105.5,108.5,35600,0,0.0
2004-10-22,107.5,110.0,107.5,108.0,6000,0,0.0
2004-10-25,108.0,108.5,105.0,107.5,20800,0,0.0
2004-10-26,106.0,109.8,97.5,99.1,42000,0,0.0
2004-10-27,106.5,106.5,100.6,102.0,32600,0,0.0
2004-10-28,101.0,101.0,87.1,90.5,75800,0,0.0
2004-10-29,91.7,91.7,83.1,86.5,77600,0,0.0
2004-11-01,87.3,88.8,83.0,83.8,30600,0,0.0
2004-11-02,83.1,96.0,83.1,93.5,92300,0,0.0
2004-11-03,97.3,97.3,91.6,95.5,33800,0,0.0
2004-11-04,96.0,107.2,96.0,100.8,37400,0,0.0
2004-11-05,102.0,108.4,100.4,102.0,36900,0,0.0
2004-11-08,103.0,110.1,100.5,105.7,42900,0,0.0
2004-11-09,107.5,113.9,106.0,111.0,106200,0,0.0
2004-11-10,127.4,131.3,118.6,124.5,319200,0,0.0
2004-11-11,126.0,126.7,114.0,118.0,58600,0,0.0
2004-11-12,120.7,132.5,118.1,127.5,152900,0,0.0
2004-11-15,130.0,131.0,120.3,122.3,59100,0,0.0
2004-11-16,121.5,124.0,112.5,115.2,35900,0,0.0
2004-11-17,119.0,119.0,107.9,109.0,31900,0,0.0
2004-11-18,108.5,115.0,103.1,113.8,33400,0,0.0
2004-11-19,111.9,115.5,107.5,111.6,16300,0,0.0
2004-11-22,111.0,122.2,109.0,118.1,56600,0,0.0
2004-11-23,120.0,120.0,116.0,117.5,35000,0,0.0
2004-11-24,119.2,119.2,112.5,114.0,40300,0,0.0
2004-11-26,118.0,118.0,112.6,113.6,9600,0,0.0
2004-11-29,114.5,119.0,111.5,115.6,21000,0,0.0
2004-11-30,115.5,130.9,114.5,124.0,169400,0,0.0
2004-12-01,123.5,126.8,117.5,119.0,48500,0,0.0
2004-12-02,128.5,136.0,125.1,132.5,297700,0,0.0
2004-12-03,133.3,133.3,123.0,129.6,72200,0,0.0
2004-12-06,126.0,143.5,125.1,142.7,135900,0,0.0
2004-12-07,142.0,142.0,130.0,133.4,71800,0,0.0
2004-12-08,135.3,135.3,120.6,123.7,45800,0,0.0
2004-12-09,130.6,133.9,126.6,126.6,70500,0,0.0
2004-12-10,125.6,129.8,123.5,125.4,23000,0,0.0
2004-12-13,128.8,132.0,127.0,128.5,40400,0,0.0
2004-12-14,131.0,132.0,129.0,130.9,28900,0,0.0
2004-12-15,131.1,135.9,128.5,130.1,23200,0,0.0
2004-12-16,130.2,131.4,121.0,121.1,35000,0,0.0
2004-12-17,121.0,123.4,106.5,107.3,139000,0,0.0
2004-12-20,110.5,110.9,100.0,101.6,66100,0,0.0
2004-12-21,101.0,109.9,100.1,106.8,58600,0,0.0
