Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,0.88,0.88,0.88,5600,0.0,0.0
1973-02-22,0.0,0.88,0.88,0.88,8400,0.0,0.0
1973-02-23,0.0,0.88,0.88,0.88,73200,0.0,0.0
1973-02-26,0.0,0.87,0.87,0.87,16400,0.0,0.0
1973-02-27,0.0,0.86,0.86,0.86,26000,0.0,0.0
1973-02-28,0.0,0.87,0.87,0.87,26000,0.0,0.0
1973-03-01,0.0,0.87,0.87,0.87,36800,0.0,0.0
1973-03-02,0.0,0.87,0.87,0.87,10400,0.0,0.0
1973-03-05,0.0,0.87,0.87,0.87,26800,0.0,0.0
1973-03-06,0.0,0.87,0.87,0.87,9200,0.0,0.0
1973-03-07,0.0,0.87,0.87,0.87,23600,0.0,0.0
1973-03-08,0.0,0.87,0.87,0.87,8800,0.0,0.0
1973-03-09,0.0,0.87,0.87,0.87,23200,0.0,0.0
1973-03-12,0.0,0.87,0.87,0.87,26400,0.0,0.0
1973-03-13,0.0,0.87,0.87,0.87,41200,0.0,0.0
1973-03-14,0.0,0.87,0.87,0.87,14000,0.0,0.0
1973-03-15,0.0,0.86,0.86,0.86,20000,0.0,0.0
1973-03-16,0.0,0.86,0.86,0.86,9200,0.0,0.0
1973-03-19,0.0,0.86,0.86,0.86,7600,0.0,0.0
1973-03-20,0.0,0.85,0.85,0.85,23200,0.0,0.0
1973-03-21,0.0,0.85,0.85,0.85,21200,0.0,0.0
1973-03-22,0.0,0.85,0.85,0.85,7200,0.0,0.0
1973-03-23,0.0,0.85,0.85,0.85,20000,0.0,0.0
1973-03-26,0.0,0.85,0.85,0.85,4400,0.0,0.0
1973-03-27,0.0,0.85,0.85,0.85,17200,0.0,0.0
1973-03-28,0.0,0.86,0.86,0.86,10800,0.0,0.0
1973-03-29,0.0,0.86,0.86,0.86,5200,0.0,0.0
1973-03-30,0.0,0.86,0.86,0.86,5600,0.0,0.0
1973-04-02,0.0,0.86,0.86,0.86,35600,0.0,0.0
1973-04-03,0.0,0.86,0.86,0.86,51200,0.0,0.0
1973-04-04,0.0,0.86,0.86,0.86,29200,0.0,0.0
1973-04-05,0.0,0.86,0.86,0.86,3200,0.0,0.0
1973-04-06,0.0,0.86,0.86,0.86,27600,0.0,0.0
1973-04-09,0.0,0.87,0.87,0.87,17600,0.0,0.0
1973-04-10,0.0,0.87,0.87,0.87,6800,0.0,0.0
1973-04-11,0.0,0.87,0.87,0.87,32000,0.0,0.0
1973-04-12,0.0,0.87,0.87,0.87,2000,0.0,0.0
1973-04-13,0.0,0.87,0.87,0.87,4400,0.0,0.0
1973-04-16,0.0,0.87,0.87,0.87,8800,0.0,0.0
1973-04-17,0.0,0.86,0.86,0.86,52000,0.0,0.0
1973-04-18,0.0,0.86,0.86,0.86,8400,0.0,0.0
1973-04-19,0.0,0.86,0.86,0.86,7600,0.0,0.0
1973-04-23,0.0,0.86,0.86,0.86,10800,0.0,0.0
1973-04-24,0.0,0.86,0.86,0.86,2800,0.0,0.0
1973-04-25,0.0,0.86,0.86,0.86,6000,0.0,0.0
1973-04-26,0.0,0.86,0.86,0.86,7200,0.0,0.0
1973-04-27,0.0,0.86,0.86,0.86,49600,0.0,0.0
1973-04-30,0.0,0.86,0.86,0.86,5600,0.0,0.0
1973-05-01,0.0,0.85,0.85,0.85,13600,0.0,0.0
1973-05-02,0.0,0.85,0.85,0.85,16800,0.0,0.0
1973-05-03,0.0,0.87,0.85,0.85,6800,0.0,0.0
1973-05-04,0.0,0.87,0.85,0.85,16400,0.0,0.0
1973-05-07,0.0,0.87,0.85,0.85,7600,0.0,0.0
1973-05-08,0.0,0.87,0.85,0.85,3200,0.0,0.0
1973-05-09,0.0,0.87,0.85,0.85,69200,0.0,0.0
1973-05-10,0.0,0.87,0.85,0.85,8000,0.0,0.0
1973-05-11,0.0,0.87,0.86,0.86,3600,0.0,0.0
1973-05-14,0.0,0.87,0.86,0.86,6800,0.0,0.0
1973-05-15,0.0,0.87,0.86,0.86,29200,0.0,0.0
1973-05-16,0.0,0.87,0.86,0.86,7600,0.0,0.0
1973-05-17,0.0,0.87,0.86,0.86,7600,0.0,0.0
1973-05-18,0.0,0.87,0.86,0.86,14400,0.0,0.0
1973-05-21,0.0,0.87,0.86,0.86,6800,0.0,0.0
1973-05-22,0.0,0.87,0.86,0.86,7600,0.0,0.0
1973-05-23,0.0,0.87,0.86,0.86,12800,0.0,0.0
1973-05-24,0.0,0.87,0.86,0.86,17200,0.0,0.0
1973-05-25,0.0,0.87,0.86,0.86,8800,0.0,0.0
1973-05-29,0.0,0.87,0.86,0.86,2000,0.0,0.0
1973-05-30,0.0,0.87,0.86,0.86,6400,0.0,0.0
1973-05-31,0.0,0.87,0.86,0.86,7600,0.0,0.0
1973-06-01,0.0,0.87,0.86,0.86,9200,0.0,0.0
1973-06-04,0.0,0.87,0.86,0.86,21600,0.0,0.0
1973-06-05,0.0,0.87,0.85,0.85,32800,0.0,0.0
1973-06-06,0.0,0.87,0.85,0.85,20400,0.0,0.0
1973-06-07,0.0,0.87,0.85,0.85,5600,0.0,0.0
1973-06-08,0.0,0.87,0.85,0.85,6400,0.0,0.0
1973-06-11,0.0,0.87,0.85,0.85,6800,0.0,0.0
1973-06-12,0.0,0.86,0.85,0.85,14000,0.0,0.0
1973-06-13,0.0,0.86,0.85,0.85,24000,0.0,0.0
1973-06-14,0.0,0.86,0.85,0.85,5200,0.0,0.0
1973-06-15,0.0,0.86,0.85,0.85,6400,0.0,0.0
1973-06-18,0.0,0.86,0.85,0.85,12800,0.0,0.0
1973-06-19,0.0,0.86,0.85,0.85,4800,0.0,0.0
1973-06-20,0.0,0.86,0.85,0.85,20800,0.0,0.0
1973-06-21,0.0,0.86,0.85,0.85,2400,0.0,0.0
1973-06-22,0.0,0.86,0.85,0.85,12000,0.0,0.0
1973-06-25,0.0,0.86,0.84,0.84,20400,0.0,0.0
1973-06-26,0.0,0.84,0.82,0.82,23200,0.0,0.0
1973-06-27,0.0,0.85,0.83,0.83,48000,0.0,0.0
1973-06-28,0.0,0.85,0.83,0.83,18400,0.0,0.0
