Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-04-01,8.0,8.5,7.9,7.95,642900,0,0
2014-04-02,7.94,8.29,7.9,8.16,228400,0,0
2014-04-03,8.29,8.4,8.05,8.39,105000,0,0
2014-04-04,8.5,8.7,8.32,8.69,113600,0,0
2014-04-07,9.0,9.0,8.55,8.94,60500,0,0
2014-04-08,8.95,8.99,8.8,8.9,31800,0,0
2014-04-09,8.85,8.9,8.8,8.89,50900,0,0
2014-04-10,8.95,8.95,8.73,8.83,22400,0,0
2014-04-11,8.95,8.95,8.75,8.89,30100,0,0
2014-04-14,8.95,10.19,8.95,9.55,25700,0,0
2014-04-15,9.95,9.95,9.26,9.49,50400,0,0
2014-04-16,9.49,9.98,9.24,9.24,5100,0,0
2014-04-17,9.25,9.47,8.95,8.95,16700,0,0
2014-04-21,8.99,9.5,8.99,9.31,20100,0,0
2014-04-22,9.25,9.41,9.25,9.26,11200,0,0
2014-04-23,9.02,9.5,8.99,9.03,13500,0,0
2014-04-24,9.1,9.39,9.05,9.06,6000,0,0
2014-04-25,9.19,9.19,9.0,9.01,12700,0,0
2014-04-28,8.99,9.49,8.96,9.49,26500,0,0
2014-04-29,9.14,9.43,9.05,9.09,7200,0,0
2014-04-30,9.11,9.18,9.05,9.05,8000,0,0
2014-05-01,9.07,9.25,8.95,9.1,44300,0,0
2014-05-02,9.1,9.1,9.05,9.1,4800,0,0
2014-05-05,9.0,9.31,8.95,9.02,34400,0,0
2014-05-06,9.01,9.29,9.01,9.05,33100,0,0
2014-05-07,9.05,9.11,9.0,9.0,14600,0,0
2014-05-08,8.98,9.1,8.96,9.05,15600,0,0
2014-05-09,9.02,9.26,9.02,9.26,28900,0,0
2014-05-12,9.25,9.26,9.01,9.1,58100,0,0
2014-05-13,9.1,9.2,9.05,9.11,7700,0,0
2014-05-14,9.11,9.13,9.11,9.11,4600,0,0
2014-05-15,9.1,9.19,9.0,9.19,27600,0,0
2014-05-16,9.3,9.5,9.15,9.38,33600,0,0
2014-05-19,9.49,9.5,9.36,9.5,17200,0,0
2014-05-20,9.6,9.9,9.5,9.57,18500,0,0
2014-05-21,8.91,9.2,8.5,8.9,40700,0,0
2014-05-22,8.85,9.09,8.73,8.9,37300,0,0
2014-05-23,8.9,8.99,8.75,8.99,42800,0,0
2014-05-27,9.06,9.06,8.76,8.77,79300,0,0
2014-05-28,8.75,9.0,8.53,9.0,31300,0,0
