Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-13,24.93,25.02,24.86,25.0,270200,0,0
2020-02-14,25.05,25.17,25.01,25.17,196600,0,0
2020-02-18,25.2,25.24,25.1,25.2,216500,0,0
2020-02-19,25.25,25.25,25.2,25.21,94500,0,0
2020-02-20,25.23,25.28,25.18,25.24,109500,0,0
2020-02-21,25.26,25.26,25.17,25.21,114000,0,0
2020-02-24,24.89,25.1,24.89,24.98,174400,0,0
2020-02-25,25.0,25.0,24.75,24.84,133900,0,0
2020-02-26,24.84,24.98,24.8,24.85,48400,0,0
2020-02-27,24.8,24.8,24.55,24.6,90900,0,0
2020-02-28,24.79,24.79,24.1,24.34,475200,0,0
2020-03-02,24.3,24.44,23.5,24.33,81700,0,0
2020-03-03,24.33,24.55,24.21,24.35,63400,0,0
2020-03-04,24.42,24.98,24.3,24.89,64100,0,0
2020-03-05,24.5,25.13,24.5,24.87,95900,0,0
2020-03-06,24.75,24.8,24.37,24.55,21800,0,0
2020-03-09,24.4,24.4,22.75,23.08,23094,0,0
