Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-04,24.01,24.47,24.01,24.32,166800,0.0,0
2019-10-07,24.37,24.47,24.11,24.22,205100,0.0,0
2019-10-08,24.31,24.31,24.17,24.21,101800,0.0,0
2019-10-09,24.24,24.27,24.22,24.27,137400,0.0,0
2019-10-10,24.31,24.31,24.21,24.22,210900,0.0,0
2019-10-11,24.25,24.26,24.18,24.22,87200,0.0,0
2019-10-14,24.27,24.27,24.2,24.23,41200,0.0,0
2019-10-15,24.23,24.27,24.2,24.22,90200,0.0,0
2019-10-16,24.25,24.32,24.21,24.32,74600,0.0,0
2019-10-17,24.32,24.37,24.28,24.32,92300,0.0,0
2019-10-18,24.4,24.42,24.3,24.42,45300,0.114583,0
2019-10-21,24.4,24.4,24.33,24.38,36200,0.0,0
2019-10-22,24.38,24.39,24.36,24.38,16700,0.0,0
2019-10-23,24.4,24.41,24.37,24.39,24300,0.0,0
2019-10-24,24.38,24.47,24.37,24.43,61400,0.0,0
2019-10-25,24.46,24.52,24.43,24.47,41000,0.0,0
2019-10-28,24.53,24.53,24.46,24.52,36500,0.0,0
2019-10-29,24.48,24.52,24.48,24.52,19700,0.0,0
2019-10-30,24.48,24.52,24.43,24.5,28000,0.0,0
2019-10-31,24.54,24.59,24.5,24.56,46100,0.0,0
2019-11-01,24.59,24.67,24.58,24.58,31200,0.0,0
2019-11-04,24.58,24.64,24.58,24.61,23800,0.0,0
2019-11-05,24.58,24.63,24.53,24.62,30300,0.0,0
2019-11-06,24.61,24.68,24.61,24.68,19400,0.0,0
2019-11-07,24.73,24.73,24.4,24.53,41300,0.0,0
2019-11-08,24.57,24.7,24.55,24.64,22300,0.0,0
2019-11-11,24.73,24.82,24.7,24.81,28900,0.0,0
2019-11-12,24.87,25.01,24.79,24.88,28900,0.0,0
2019-11-13,24.98,24.98,24.73,24.88,22200,0.0,0
2019-11-14,24.98,25.0,24.93,24.93,13000,0.0,0
2019-11-15,25.0,25.02,24.96,25.02,13400,0.0,0
2019-11-18,24.97,25.29,24.97,25.22,10700,0.0,0
2019-11-19,25.17,25.22,25.17,25.22,12800,0.0,0
2019-11-20,24.94,25.37,24.94,25.37,22500,0.0,0
2019-11-21,25.29,25.44,24.88,25.21,21800,0.0,0
2019-11-22,25.18,25.32,25.17,25.32,15300,0.0,0
2019-11-25,25.19,25.37,25.12,25.27,11400,0.0,0
2019-11-26,25.35,25.35,25.09,25.32,8300,0.0,0
2019-11-27,25.34,25.37,25.32,25.37,5900,0.0,0
2019-11-29,25.37,25.37,25.27,25.27,3500,0.0,0
2019-12-02,25.31,25.33,25.18,25.32,12000,0.0,0
2019-12-03,25.26,25.32,25.23,25.3,12000,0.0,0
2019-12-04,25.18,25.18,25.18,25.18,1500,0.0,0
2019-12-05,25.32,25.32,25.08,25.09,9400,0.0,0
2019-12-06,25.17,25.24,25.08,25.1,7900,0.0,0
2019-12-09,25.05,25.17,25.05,25.09,6500,0.0,0
2019-12-10,25.04,25.21,25.04,25.05,9000,0.0,0
2019-12-11,25.12,25.21,25.1,25.12,14500,0.0,0
2019-12-12,25.12,25.18,25.0,25.0,7600,0.0,0
2019-12-13,25.01,25.15,25.01,25.13,4900,0.0,0
2019-12-16,25.12,25.17,25.01,25.16,14600,0.0,0
2019-12-17,25.11,25.15,25.01,25.02,6600,0.0,0
2019-12-18,25.09,25.09,25.06,25.09,5400,0.0,0
2019-12-19,25.11,25.12,25.02,25.07,8000,0.0,0
2019-12-20,25.07,25.16,25.0,25.08,24400,0.0,0
2019-12-23,25.11,25.11,25.06,25.07,2900,0.0,0
2019-12-24,25.17,25.17,25.07,25.14,4200,0.0,0
2019-12-26,25.07,25.12,24.93,25.03,11500,0.0,0
2019-12-27,25.03,25.07,25.03,25.05,9400,0.0,0
2019-12-30,25.05,25.07,25.05,25.07,3900,0.0,0
2019-12-31,25.06,25.07,25.05,25.07,3700,0.0,0
2020-01-02,25.07,25.17,25.06,25.07,29700,0.0,0
2020-01-03,25.07,25.21,25.07,25.15,12900,0.0,0
2020-01-06,25.15,25.27,25.15,25.17,24100,0.0,0
2020-01-07,25.17,25.21,25.11,25.11,8200,0.0,0
2020-01-08,25.13,25.21,25.1,25.1,27300,0.0,0
2020-01-09,25.07,25.15,25.02,25.08,40700,0.0,0
2020-01-10,25.07,25.17,25.05,25.11,20300,0.0,0
2020-01-13,25.09,25.17,25.08,25.1,29700,0.0,0
2020-01-14,25.12,25.27,25.12,25.27,17100,0.0,0
2020-01-15,25.3,25.44,25.26,25.27,46000,0.0,0
2020-01-16,25.27,25.34,25.2,25.27,27400,0.0,0
2020-01-17,25.28,25.35,25.25,25.28,57400,0.43,0
2020-01-21,25.28,25.34,25.25,25.27,10200,0.0,0
2020-01-22,25.26,25.32,25.25,25.27,24600,0.0,0
2020-01-23,25.28,25.31,25.22,25.22,11300,0.0,0
2020-01-24,25.29,25.29,25.21,25.26,18100,0.0,0
2020-01-27,25.23,25.29,25.21,25.21,9900,0.0,0
2020-01-28,25.25,25.29,25.18,25.21,8600,0.0,0
2020-01-29,25.27,25.3,25.22,25.27,5900,0.0,0
2020-01-30,25.29,25.3,25.22,25.27,11100,0.0,0
2020-01-31,25.27,25.31,25.26,25.3,11900,0.0,0
2020-02-03,25.33,25.33,25.26,25.29,12400,0.0,0
2020-02-04,25.27,25.33,25.19,25.24,13400,0.0,0
2020-02-05,25.29,25.42,25.19,25.2,62100,0.0,0
2020-02-06,25.3,25.3,25.19,25.25,65000,0.0,0
2020-02-07,25.27,25.37,25.25,25.35,10600,0.0,0
2020-02-10,25.29,25.34,25.05,25.3,80000,0.0,0
2020-02-11,25.12,25.35,25.12,25.35,3800,0.0,0
2020-02-12,25.3,25.35,25.25,25.3,3100,0.0,0
2020-02-13,25.33,25.34,25.3,25.34,5600,0.0,0
2020-02-14,25.35,25.44,25.34,25.44,13300,0.0,0
2020-02-18,25.43,25.59,25.41,25.55,22500,0.0,0
2020-02-19,25.55,25.6,25.53,25.59,7800,0.0,0
2020-02-20,25.55,25.56,25.39,25.5,7900,0.0,0
2020-02-21,25.51,25.63,25.47,25.47,32600,0.0,0
2020-02-24,25.59,25.59,25.18,25.18,15800,0.0,0
2020-02-25,25.25,25.43,25.18,25.19,14200,0.0,0
2020-02-26,25.31,25.31,25.16,25.16,5700,0.0,0
2020-02-27,25.15,25.26,25.1,25.18,9800,0.0,0
2020-02-28,25.0,25.17,24.75,24.75,21000,0.0,0
2020-03-02,24.75,25.21,24.57,25.05,7900,0.0,0
2020-03-03,24.86,25.05,24.6,24.65,19500,0.0,0
2020-03-04,24.9,25.35,24.81,25.2,2700,0.0,0
2020-03-05,25.15,25.17,25.0,25.0,21600,0.0,0
2020-03-06,25.14,25.14,24.11,24.96,15100,0.0,0
2020-03-09,24.26,24.85,24.0,24.05,17730,0.0,0
