Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-07-05,16.01,16.15,15.94,16.11,83700,0.0,0
2017-07-06,16.11,16.15,15.77,16.07,150300,0.0,0
2017-07-07,16.0,16.19,15.98,16.11,137700,0.0,0
2017-07-10,16.19,16.19,16.02,16.11,98900,0.0,0
2017-07-11,16.08,16.27,15.87,16.22,188800,0.0,0
2017-07-12,16.27,16.32,16.07,16.19,86500,0.0,0
2017-07-17,21.19,21.22,21.16,21.19,62700,0.0,0
2017-07-18,21.22,21.24,21.17,21.2,29200,0.0,0
2017-07-19,21.17,21.23,21.17,21.21,49900,0.0,0
2017-07-20,21.18,21.22,21.18,21.19,25800,0.0,0
2017-07-21,21.21,21.23,21.17,21.19,29200,0.0,0
2017-07-24,21.19,21.21,21.14,21.19,43100,0.0,0
2017-07-25,21.2,21.23,21.17,21.19,66300,0.0,0
2017-07-26,21.21,21.23,21.17,21.2,28000,0.0,0
2017-07-27,21.21,21.21,21.18,21.19,21300,0.0,0
2017-07-28,21.19,21.24,21.17,21.18,23400,0.0,0
2017-07-31,21.21,21.21,21.17,21.21,21300,0.0,0
2017-08-01,21.25,21.25,21.21,21.23,43300,0.0,0
2017-08-02,21.25,21.28,21.21,21.25,11100,0.0,0
2017-08-03,21.25,21.28,21.24,21.28,7300,0.0,0
2017-08-04,21.26,21.29,21.25,21.25,17100,0.0,0
2017-08-07,21.27,21.27,21.19,21.19,17400,0.0,0
2017-08-08,21.19,21.22,21.17,21.17,27900,0.0,0
2017-08-09,21.16,21.19,21.14,21.17,23000,0.0,0
2017-08-10,21.17,21.22,21.09,21.15,42400,0.0,0
2017-08-11,21.04,21.17,21.04,21.16,19300,0.0,0
2017-08-14,21.13,21.19,21.13,21.17,18300,0.0,0
2017-08-15,21.17,21.2,21.16,21.18,16800,0.0,0
2017-08-16,21.2,21.23,21.16,21.16,19000,0.0,0
2017-08-17,21.22,21.22,21.14,21.17,11300,0.0,0
2017-08-18,21.17,21.17,21.14,21.14,19700,0.0,0
2017-08-21,21.18,21.2,21.13,21.13,37800,0.0,0
2017-08-22,21.17,21.21,21.14,21.14,311300,0.0,0
2017-08-23,21.18,21.21,21.15,21.19,8800,0.0,0
2017-08-24,21.17,21.21,21.16,21.18,12300,0.0,0
2017-08-25,21.17,21.17,21.16,21.17,13200,0.0,0
2017-08-28,21.16,21.17,21.14,21.17,20900,0.0,0
2017-08-29,21.17,21.21,21.12,21.17,17100,0.0,0
2017-08-30,21.14,21.18,21.14,21.17,9200,0.0,0
2017-08-31,21.18,21.19,21.17,21.19,36400,0.0,0
2017-09-01,21.21,21.21,21.17,21.17,28700,0.0,0
2017-09-05,21.16,21.17,21.14,21.15,21200,0.0,0
2017-09-06,21.17,21.22,21.15,21.22,16700,0.0,0
2017-09-07,21.23,21.24,21.17,21.19,13100,0.0,0
