Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-07-27,0.98,0.98,0.98,0.98,1250,0,0
2001-08-03,0.98,0.98,0.96,0.96,26875,0,0
2001-08-23,0.96,0.96,0.92,0.92,125,0,0
2001-09-06,0.88,0.84,0.84,0.84,177000,0,0
2001-09-07,0.84,0.8,0.8,0.8,25625,0,0
2001-09-19,0.8,0.8,0.8,0.8,375,0,0
2001-09-21,0.83,0.79,0.79,0.79,25000,0,0
2001-11-09,0.86,0.86,0.86,0.86,1750,0,0
2001-11-14,0.86,0.86,0.86,0.86,750,0,0
2001-11-30,0.86,0.82,0.82,0.82,1,0,0
2001-12-03,0.86,0.82,0.82,0.82,1,0,0
2001-12-05,0.82,0.82,0.82,0.82,1262750,0,0
2001-12-13,0.82,0.82,0.82,0.82,6625,0,0
2002-01-11,0.82,0.82,0.82,0.82,125,0,0
2002-08-13,0.82,0.96,0.92,0.82,625,0,0
2002-09-27,0.82,0.96,0.92,0.82,125,0,0
2002-12-12,0.82,0.96,0.92,0.82,375,0,0
2003-01-23,0.82,0.96,0.92,0.82,125,0,0
2003-03-21,0.82,0.82,0.82,0.82,6250,0,0
2003-03-24,0.82,0.82,0.82,0.82,250,0,0
2003-03-25,0.82,0.96,0.92,0.86,6625,0,0
2003-04-01,0.86,0.96,0.92,0.9,6625,0,0
2003-04-03,0.9,0.96,0.92,0.9,125,0,0
2003-04-29,0.9,0.9,0.9,0.9,1750,0,0
2003-04-30,0.9,0.96,0.92,0.9,3375,0,0
2003-06-10,0.9,0.96,0.92,0.9,1750,0,0
2003-07-21,0.9,0.96,0.92,0.9,125,0,0
2003-07-29,0.9,0.96,0.92,0.9,625,0,0
2003-10-15,0.9,0.96,0.92,0.9,2500,0,0
2004-03-17,0.9,0.96,0.92,0.82,875,0,0
2004-05-20,0.82,0.96,0.92,0.82,3250,0,0
2004-11-05,0.82,0.96,0.92,0.82,1500,0,0
2006-04-13,0.82,0.96,0.92,0.82,2375,0,0
2006-04-20,0.82,0.96,0.92,0.82,2125,0,0
2006-05-22,0.82,0.96,0.92,0.82,420500,0,0
2006-06-23,0.82,0.96,0.92,0.82,125,0,0
2006-09-18,0.82,0.96,0.92,0.78,7500,0,0
2006-09-28,0.78,0.96,0.92,0.78,1875,0,0
2007-02-27,0.78,0.96,0.92,0.78,125,0,0
2007-04-04,0.78,0.96,0.92,0.78,875,0,0
2007-04-30,0.78,0.96,0.92,0.78,625,0,0
2007-06-15,0.78,0.96,0.92,0.78,125,0,0
2007-06-20,0.78,0.96,0.92,0.75,10125,0,0
2007-06-25,0.75,0.96,0.92,0.75,77750,0,0
2007-06-27,0.75,0.75,0.75,0.75,250,0,0
2007-06-28,0.75,0.96,0.92,0.75,250,0,0
2007-07-02,0.75,0.75,0.75,0.75,250,0,0
2007-07-03,0.75,0.96,0.92,0.78,50000,0,0
2007-07-05,0.78,0.96,0.92,0.78,5000,0,0
2007-07-10,0.78,0.78,0.78,0.78,250,0,0
2007-07-11,0.78,0.78,0.78,0.78,8,0,0
2007-07-12,0.78,0.96,0.92,0.82,125,0,0
2007-07-17,0.82,0.96,0.92,0.86,62500,0,0
2007-07-25,0.86,0.96,0.92,0.9,2500,0,0
2007-07-27,0.9,0.96,0.92,0.9,1625,0,0
2007-08-01,0.9,0.9,0.9,0.9,9250,0,0
2007-08-02,0.9,0.9,0.9,0.9,25000,0,0
2007-08-03,0.9,0.96,0.92,0.94,12500,0,0
2007-08-07,0.94,0.96,0.92,0.94,125,0,0
2007-08-21,0.94,0.96,0.92,0.94,12125,0,0
2007-08-23,0.94,0.96,0.92,0.94,1750,0,0
2007-09-05,0.94,0.96,0.92,0.94,2000,0,0
2007-09-13,0.94,0.96,0.92,0.94,25000,0,0
