Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-07-15,50.55,50.55,49.5,50.05,800,0,0
2014-07-16,50.05,50.05,50.05,50.05,0,0,0
2014-07-17,48.84,48.9,48.84,48.9,1100,0,0
2014-07-18,48.9,48.9,48.9,48.9,0,0,0
2014-07-21,48.9,48.9,48.9,48.9,0,0,0
2014-07-22,48.9,48.9,48.9,48.9,0,0,0
2014-07-23,48.85,48.85,47.17,47.31,900,0,0
2014-07-24,48.99,49.0,48.99,49.0,400,0,0
2014-07-25,47.84,47.84,47.5,47.5,2700,0,0
2014-07-28,47.5,47.5,47.5,47.5,0,0,0
2014-07-29,47.33,47.33,47.13,47.14,600,0,0
2014-07-30,48.47,49.449,48.47,49.434,12500,0,0
2014-07-31,50.41,50.41,49.35,49.35,3700,0,0
2014-08-01,49.36,49.46,48.124,48.124,600,0,0
2014-08-04,48.124,48.124,48.124,48.124,0,0,0
2014-08-05,48.124,48.124,48.124,48.124,0,0,0
2014-08-06,46.86,47.6,46.86,47.6,600,0,0
2014-08-07,47.55,47.75,46.56,46.56,500,0,0
2014-08-08,45.84,45.84,45.3,45.3,3700,0,0
2014-08-11,45.3,45.3,45.3,45.3,0,0,0
2014-08-12,45.3,45.3,45.3,45.3,0,0,0
2014-08-13,46.6,46.6,46.46,46.46,1300,0,0
2014-08-14,45.48,45.78,45.165,45.165,2400,0,0
2014-08-15,45.1,45.1,43.0,43.25,2800,0,0
2014-08-18,44.48,44.48,44.48,44.48,100,0,0
2014-08-19,44.44,44.46,44.44,44.46,600,0,0
2014-08-20,45.75,46.16,45.75,46.14,1000,0,0
2014-08-21,45.9,45.9,45.436,45.436,2700,0,0
2014-08-22,45.25,46.16,45.0,45.04,500,0,0
2014-08-25,44.89,44.9,44.7,44.7,8000,0,0
2014-08-26,44.43,44.708,44.35,44.708,2800,0,0
2014-08-27,44.4,44.4,43.711,43.711,11700,0,0
2014-08-28,43.29,43.29,42.75,42.75,2600,0,0
2014-08-29,43.04,43.09,42.89,43.09,5100,0,0
2014-09-02,44.67,44.88,44.67,44.88,2000,0,0
2014-09-03,45.75,45.75,44.95,44.95,300,0,0
2014-09-04,45.34,46.0,45.34,46.0,3100,0,0
2014-09-05,45.47,45.47,45.35,45.35,400,0,0
2014-09-08,46.38,46.4,46.38,46.4,1100,0,0
2014-09-09,47.5,47.5,46.69,46.82,1800,0,0
2014-09-10,47.4,47.58,47.4,47.58,600,0,0
2014-09-11,47.07,47.23,47.07,47.23,300,0,0
2014-09-12,48.83,49.3,48.83,49.25,1100,0,0
2014-09-15,48.82,48.82,48.65,48.74,2200,0,0
2014-09-16,48.45,48.45,48.45,48.45,200,0,0
2014-09-17,48.74,48.74,48.56,48.56,700,0,0
2014-09-18,49.72,49.73,49.47,49.72,6600,0,0
2014-09-19,49.12,49.12,48.43,48.43,1100,0,0
2014-09-22,48.08,48.13,47.74,47.86,2300,0,0
2014-09-23,47.52,47.52,47.52,47.52,200,0,0
2014-09-24,46.95,47.18,46.95,47.18,200,0,0
2014-09-25,47.18,47.18,47.18,47.18,0,0,0
2014-09-26,47.19,47.19,46.57,46.75,2300,0,0
2014-09-29,45.61,45.61,45.46,45.6,2000,0,0
2014-09-30,45.97,46.14,45.8,46.14,1900,0,0
