Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-12-15,3.629,4.0328,3.4337,4.0117,5691100,0.0,0
2006-12-18,3.9219,4.0117,3.7741,3.8744,1062600,0.0,0
2006-12-19,3.7873,3.8665,3.7609,3.8269,532000,0.0,0
2006-12-20,3.7504,3.8507,3.695,3.8243,205900,0.0,0
2006-12-21,3.7741,3.8454,3.7609,3.8401,71300,0.0,0
2006-12-22,3.7609,3.8929,3.753,3.8823,96700,0.0,0
2006-12-26,3.8929,3.8929,3.7609,3.8269,75600,0.0,0
2006-12-27,3.7794,3.8665,3.7609,3.8005,54200,0.0,0
2006-12-28,3.8243,3.8243,3.7345,3.7345,57500,0.0,0
2006-12-29,3.7002,3.7425,3.695,3.7425,79400,0.0,0
2007-01-03,3.7557,3.8005,3.6923,3.7477,163600,0.0,0
2007-01-04,3.7477,3.7477,3.2832,3.695,523600,0.0,0
2007-01-05,3.6765,3.7134,3.629,3.695,111000,0.0,0
2007-01-08,3.695,3.7979,3.695,3.7082,101100,0.0,0
2007-01-09,3.7477,3.7504,3.6765,3.7134,94300,0.0,0
2007-01-10,3.695,3.7214,3.2568,3.6554,187800,0.0,0
2007-01-11,3.687,3.695,3.6158,3.629,109700,0.0,0
2007-01-12,3.629,3.7451,3.6026,3.7451,94300,0.0,0
2007-01-16,3.695,3.7636,3.6158,3.7398,94300,0.0,0
2007-01-17,3.7029,3.7689,3.6818,3.7345,37700,0.0,0
2007-01-18,3.6976,3.7372,3.6554,3.7345,81700,0.0,0
2007-01-19,3.695,3.7609,3.6554,3.7345,39000,0.0,0
2007-01-22,3.7214,3.7741,3.7214,3.7636,81800,0.0,0
2007-01-23,3.7082,3.8216,3.7082,3.8216,61300,0.0,0
2007-01-24,3.9061,3.9589,3.8797,3.951,220700,0.0,0
2007-01-25,3.9589,3.9589,3.856,3.9325,76400,0.0,0
2007-01-26,3.9325,3.9325,3.8797,3.9167,44700,0.0,0
2007-01-29,3.9061,3.9299,3.8665,3.9035,28900,0.0,0
2007-01-30,3.8665,3.9219,3.8612,3.8876,40200,0.0,0
2007-01-31,3.8586,3.8955,3.7609,3.8058,46100,0.0,0
2007-02-01,3.7768,3.8269,3.7609,3.8058,66400,0.0,0
2007-02-02,3.7609,3.8058,3.7372,3.7741,108200,0.0,0
2007-02-05,3.7873,3.9008,3.7873,3.8401,64600,0.0,0
2007-02-06,3.8401,3.8771,3.8348,3.8586,24200,0.0,0
2007-02-07,3.8058,3.9457,3.8058,3.8876,44200,0.0,0
2007-02-08,3.8797,3.9589,3.8692,3.9219,124300,0.0,0
2007-02-09,3.9457,3.9562,3.9193,3.9246,35300,0.0,0
2007-02-12,3.9087,3.943,3.7741,3.7847,69700,0.0,0
2007-02-13,3.8243,3.8428,3.7477,3.7794,74200,0.0,0
2007-02-14,3.7477,3.8084,3.7425,3.7741,101900,0.0,0
2007-02-15,3.7477,3.7504,3.6791,3.7161,143100,0.0,0
2007-02-16,3.6818,3.724,3.6026,3.695,79500,0.0,0
2007-02-20,3.695,3.7319,3.6316,3.695,93900,0.0,0
2007-02-21,3.6897,3.6976,3.629,3.6686,80500,0.0,0
