Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1989-02-09,0.0,0.4,0.38,0.38,50000,0.0,0.0
1989-02-10,0.0,0.4,0.38,0.38,14800,0.0,0.0
1989-02-13,0.0,0.4,0.35,0.35,22000,0.0,0.0
1989-02-14,0.0,0.4,0.35,0.35,54800,0.0,0.0
1989-02-15,0.0,0.4,0.35,0.35,127600,0.0,0.0
1989-02-16,0.0,0.4,0.35,0.35,218800,0.0,0.0
1989-02-17,0.0,0.43,0.4,0.4,108000,0.0,0.0
1989-02-21,0.0,0.43,0.4,0.4,81200,0.0,0.0
1989-02-22,0.0,0.43,0.4,0.4,58000,0.0,0.0
1989-02-23,0.0,0.43,0.38,0.38,8000,0.0,0.0
1989-02-24,0.0,0.43,0.38,0.38,28000,0.0,0.0
1989-02-27,0.0,0.43,0.38,0.38,98000,0.0,0.0
1989-02-28,0.0,0.43,0.38,0.38,110000,0.0,0.0
1989-03-01,0.0,0.4,0.38,0.38,28000,0.0,0.0
1989-03-02,0.0,0.4,0.38,0.38,4000,0.0,0.0
1989-03-03,0.0,0.4,0.38,0.38,42400,0.0,0.0
1989-03-06,0.0,0.4,0.38,0.38,42000,0.0,0.0
1989-03-07,0.0,0.4,0.38,0.38,122000,0.0,0.0
1989-03-08,0.0,0.4,0.38,0.38,26000,0.0,0.0
1989-03-09,0.0,0.4,0.38,0.38,42000,0.0,0.0
1989-03-10,0.0,0.4,0.38,0.38,3600,0.0,0.0
1989-03-13,0.0,0.4,0.38,0.38,29600,0.0,0.0
1989-03-14,0.0,0.4,0.38,0.38,38000,0.0,0.0
1989-03-15,0.0,0.4,0.38,0.38,95200,0.0,0.0
1989-03-16,0.0,0.4,0.38,0.38,95600,0.0,0.0
1989-03-17,0.0,0.4,0.38,0.38,20400,0.0,0.0
1989-03-20,0.0,0.4,0.38,0.38,25200,0.0,0.0
1989-03-21,0.0,0.4,0.38,0.38,24400,0.0,0.0
1989-03-22,0.0,0.39,0.38,0.38,22000,0.0,0.0
1989-03-23,0.0,0.39,0.38,0.38,66400,0.0,0.0
1989-03-27,0.0,0.39,0.38,0.38,18000,0.0,0.0
1989-03-28,0.0,0.39,0.38,0.38,14000,0.0,0.0
1989-03-29,0.0,0.39,0.35,0.35,40400,0.0,0.0
1989-03-30,0.0,0.39,0.35,0.35,6000,0.0,0.0
1989-03-31,0.0,0.38,0.35,0.35,54400,0.0,0.0
1989-04-03,0.0,0.38,0.35,0.35,56400,0.0,0.0
1989-04-04,0.0,0.38,0.35,0.35,12000,0.0,0.0
1989-04-05,0.0,0.36,0.35,0.35,89600,0.0,0.0
1989-04-06,0.0,0.36,0.35,0.35,22400,0.0,0.0
1989-04-07,0.0,0.36,0.35,0.35,800,0.0,0.0
1989-04-10,0.0,0.36,0.35,0.35,38800,0.0,0.0
1989-04-11,0.0,0.36,0.35,0.35,57600,0.0,0.0
1989-04-12,0.0,0.36,0.35,0.35,22000,0.0,0.0
1989-04-13,0.0,0.36,0.35,0.35,14000,0.0,0.0
1989-04-14,0.0,0.36,0.35,0.35,34400,0.0,0.0
1989-04-17,0.0,0.36,0.32,0.32,21600,0.0,0.0
1989-04-18,0.0,0.36,0.32,0.32,15200,0.0,0.0
1989-04-19,0.0,0.36,0.32,0.32,11600,0.0,0.0
1989-04-20,0.0,0.36,0.32,0.32,40400,0.0,0.0
1989-04-21,0.32,0.32,0.32,0.32,0,0.0,0.0
1989-04-24,0.0,0.35,0.29,0.29,77200,0.0,0.0
1989-04-25,0.0,0.35,0.29,0.29,12000,0.0,0.0
1989-04-26,0.0,0.32,0.29,0.29,20800,0.0,0.0
1989-04-27,0.0,0.32,0.29,0.29,31200,0.0,0.0
1989-04-28,0.0,0.32,0.29,0.29,2800,0.0,0.0
1989-05-01,0.0,0.32,0.29,0.29,24400,0.0,0.0
1989-05-02,0.0,0.32,0.29,0.29,1200,0.0,0.0
1989-05-03,0.0,0.32,0.29,0.29,20000,0.0,0.0
1989-05-04,0.0,0.32,0.29,0.29,15200,0.0,0.0
1989-05-05,0.0,0.32,0.29,0.29,12000,0.0,0.0
1989-05-08,0.0,0.32,0.29,0.29,19600,0.0,0.0
1989-05-09,0.0,0.32,0.29,0.29,4000,0.0,0.0
1989-05-10,0.0,0.32,0.29,0.29,17600,0.0,0.0
1989-05-11,0.0,0.32,0.29,0.29,24800,0.0,0.0
1989-05-12,0.0,0.32,0.29,0.29,24000,0.0,0.0
1989-05-15,0.0,0.32,0.28,0.28,128400,0.0,0.0
1989-05-16,0.0,0.31,0.28,0.28,94400,0.0,0.0
1989-05-17,0.0,0.31,0.27,0.27,380000,0.0,0.0
1989-05-18,0.0,0.29,0.27,0.27,412000,0.0,0.0
1989-05-19,0.0,0.31,0.27,0.27,136000,0.0,0.0
1989-05-22,0.0,0.31,0.27,0.27,16000,0.0,0.0
1989-05-23,0.0,0.31,0.27,0.27,162800,0.0,0.0
1989-05-24,0.0,0.31,0.27,0.27,26800,0.0,0.0
1989-05-25,0.0,0.31,0.27,0.27,28800,0.0,0.0
1989-05-26,0.0,0.31,0.28,0.28,73600,0.0,0.0
1989-05-30,0.0,0.31,0.28,0.28,10000,0.0,0.0
1989-05-31,0.0,0.29,0.28,0.28,22000,0.0,0.0
1989-06-01,0.0,0.31,0.28,0.28,44000,0.0,0.0
1989-06-02,0.0,0.31,0.28,0.28,52000,0.0,0.0
1989-06-05,0.0,0.31,0.28,0.28,16400,0.0,0.0
1989-06-06,0.0,0.31,0.28,0.28,12400,0.0,0.0
1989-06-07,0.0,0.31,0.28,0.28,63200,0.0,0.0
1989-06-08,0.0,0.31,0.28,0.28,48000,0.0,0.0
1989-06-09,0.0,0.31,0.28,0.28,94800,0.0,0.0
1989-06-12,0.0,0.31,0.28,0.28,29200,0.0,0.0
1989-06-13,0.0,0.31,0.28,0.28,4400,0.0,0.0
1989-06-14,0.0,0.31,0.28,0.28,4000,0.0,0.0
1989-06-15,0.0,0.31,0.28,0.28,36000,0.0,0.0
1989-06-16,0.0,0.31,0.28,0.28,14000,0.0,0.0
1989-06-19,0.0,0.31,0.28,0.28,6000,0.0,0.0
1989-06-20,0.0,0.31,0.28,0.28,18800,0.0,0.0
1989-06-21,0.0,0.29,0.28,0.28,30000,0.0,0.0
1989-06-22,0.0,0.31,0.28,0.28,47600,0.0,0.0
1989-06-23,0.0,0.31,0.28,0.28,61200,0.0,0.0
1989-06-26,0.0,0.29,0.28,0.28,10400,0.0,0.0
1989-06-27,0.0,0.29,0.28,0.28,20000,0.0,0.0
1989-06-28,0.0,0.29,0.28,0.28,130400,0.0,0.0
1989-06-29,0.28,0.28,0.28,0.28,0,0.0,0.0
1989-06-30,0.0,0.29,0.28,0.28,16000,0.0,0.0
1989-07-03,0.28,0.28,0.28,0.28,0,0.0,0.0
1989-07-05,0.0,0.29,0.28,0.28,2800,0.0,0.0
1989-07-06,0.0,0.29,0.28,0.28,55200,0.0,0.0
1989-07-07,0.28,0.28,0.28,0.28,0,0.0,0.0
1989-07-10,0.0,0.29,0.28,0.28,48000,0.0,0.0
1989-07-11,0.0,0.29,0.28,0.28,57200,0.0,0.0
1989-07-12,0.0,0.31,0.28,0.28,63200,0.0,0.0
