Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-08-08,18.8,19.6,18.4,19.6,3300,0,0.0
1996-08-09,19.6,20.0,19.6,20.0,950,0,0.0
1996-08-12,18.0,18.0,18.0,18.0,30,0,0.0
1996-08-13,4.5,4.5,4.5,4.5,0,0,0.0
1996-08-14,18.0,18.0,18.0,18.0,550,0,0.0
1996-08-15,16.8,18.0,16.0,16.0,900,0,0.0
1996-08-16,18.0,18.4,18.0,18.4,250,0,0.0
1996-08-19,18.0,18.0,18.0,18.0,250,0,0.0
1996-08-20,16.0,16.0,16.0,16.0,500,0,0.0
1996-08-21,4.0,4.0,4.0,4.0,0,0,0.0
1996-08-22,14.8,14.8,14.0,14.8,1100,0,0.0
1996-08-23,3.7,3.7,3.7,3.7,0,0,0.0
1996-08-26,16.0,16.0,16.0,16.0,250,0,0.0
1996-08-27,15.2,15.2,13.6,13.6,1070,0,0.0
1996-08-28,14.0,14.0,14.0,14.0,100,0,0.0
1996-08-29,14.0,14.0,14.0,14.0,30,0,0.0
1996-08-30,3.5,3.5,3.5,3.5,0,0,0.0
1996-09-03,15.2,15.2,14.0,14.0,400,0,0.0
1996-09-04,14.0,15.6,14.0,15.6,580,0,0.0
1996-09-05,15.6,17.2,15.6,17.2,3280,0,0.0
1996-09-06,17.6,17.6,17.6,17.6,500,0,0.0
1996-09-09,16.0,16.0,16.0,16.0,50,0,0.0
1996-09-10,16.4,16.8,16.0,16.0,1050,0,0.0
1996-09-11,16.0,16.0,16.0,16.0,150,0,0.0
1996-09-12,15.2,17.6,15.2,17.6,800,0,0.0
1996-09-13,16.0,16.0,16.0,16.0,180,0,0.0
1996-09-16,16.0,16.0,16.0,16.0,230,0,0.0
1996-09-17,16.4,16.4,16.4,16.4,600,0,0.0
1996-09-18,17.6,18.4,15.6,16.4,6150,0,0.0
1996-09-19,16.4,17.2,16.4,17.2,1240,0,0.0
1996-09-20,17.2,17.2,16.4,16.4,1150,0,0.0
1996-09-23,17.2,17.2,16.0,16.0,2150,0,0.0
1996-09-24,15.2,16.8,14.4,16.8,4850,0,0.0
1996-09-25,17.2,18.8,17.2,18.8,5250,0,0.0
1996-09-26,18.8,19.2,18.0,18.8,5500,0,0.0
1996-09-27,19.6,20.0,18.0,20.0,1930,0,0.0
1996-09-30,19.2,19.2,16.4,16.4,4230,0,0.0
1996-10-01,16.4,17.6,16.4,16.4,2350,0,0.0
1996-10-02,16.4,17.6,16.4,16.4,3100,0,0.0
1996-10-03,17.2,18.0,17.2,17.6,1330,0,0.0
1996-10-04,18.0,18.0,18.0,18.0,500,0,0.0
1996-10-07,18.0,18.0,17.2,18.0,3500,0,0.0
1996-10-08,18.0,19.6,17.6,17.6,17800,0,0.0
1996-10-09,17.6,17.6,16.8,17.6,2000,0,0.0
1996-10-10,18.0,18.0,17.6,18.0,1000,0,0.0
1996-10-11,18.0,18.0,17.6,17.6,630,0,0.0
1996-10-15,18.0,18.0,17.2,17.2,1330,0,0.0
1996-10-16,17.6,18.0,16.8,17.2,5230,0,0.0
1996-10-17,18.0,18.4,17.6,18.0,2130,0,0.0
1996-10-18,17.2,17.2,16.4,16.4,2200,0,0.0
1996-10-21,4.1,4.1,4.1,4.1,0,0,0.0
1996-10-22,16.8,16.8,16.8,16.8,730,0,0.0
1996-10-23,17.2,17.2,17.2,17.2,300,0,0.0
1996-10-24,16.8,17.6,16.0,16.8,2280,0,0.0
1996-10-25,17.2,17.2,16.8,16.8,180,0,0.0
1996-10-28,16.0,16.8,16.0,16.8,2450,0,0.0
1996-10-29,17.2,17.2,15.2,15.2,1820,0,0.0
