Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-10-17,501.0,501.0,501.0,501.0,0,0,0.0
2011-10-18,457.4,486.2,457.4,486.2,0,0,0.0
2011-10-19,472.2,472.2,464.2,466.0,0,0,0.0
2011-10-20,437.1,446.9,434.9,446.9,200,0,0.0
2011-10-21,458.7,462.1,457.7,462.1,400,0,0.0
2011-10-24,473.1,475.8,469.2,472.5,600,0,0.0
2011-10-25,476.0,521.4,473.7,513.9,2000,0,0.0
2011-10-26,529.4,537.6,523.0,532.0,4600,0,0.0
2011-10-27,534.3,558.4,528.0,552.8,3400,0,0.0
2011-10-28,554.2,555.7,547.1,552.6,1600,0,0.0
2011-10-31,533.8,537.6,527.4,529.7,3300,0,0.0
2011-11-01,500.0,530.3,494.2,530.3,8300,0,0.0
2011-11-02,542.0,552.4,531.6,546.0,4100,0,0.0
2011-11-03,566.8,576.0,556.7,572.7,5800,0,0.0
2011-11-04,564.9,568.2,556.3,564.0,2000,0,0.0
2011-11-07,583.8,605.5,583.3,605.5,4400,0,0.0
2011-11-08,598.6,609.2,583.6,590.6,7200,0,0.0
2011-11-09,596.8,601.1,570.1,574.5,7100,0,0.0
2011-11-10,575.5,575.5,545.9,566.1,6300,0,0.0
2011-11-11,576.7,593.0,576.6,593.0,1300,0,0.0
2011-11-14,590.0,590.0,581.3,586.2,2000,0,0.0
2011-11-15,585.7,589.7,577.9,588.2,1300,0,0.0
2011-11-16,567.7,580.9,561.9,568.3,2500,0,0.0
2011-11-17,554.3,555.0,520.4,524.0,4800,0,0.0
2011-11-18,527.0,537.3,524.2,528.9,1700,0,0.0
2011-11-21,520.4,520.7,480.0,492.1,4900,0,0.0
2011-11-22,501.0,510.0,500.8,506.3,3600,0,0.0
2011-11-23,500.0,504.6,487.1,502.4,1700,0,0.0
2011-11-25,489.6,505.0,488.8,489.7,1700,0,0.0
2011-11-28,566.0,590.0,505.6,516.1,1000,0,0.0
2011-11-29,527.8,527.8,514.3,522.0,7400,0,0.0
2011-11-30,542.2,560.0,541.0,549.8,4100,0,0.0
2011-12-01,548.0,554.0,540.3,546.8,2200,0,0.0
2011-12-02,556.2,556.2,545.0,546.8,1900,0,0.0
2011-12-05,540.7,547.6,501.0,525.4,2700,0,0.0
2011-12-06,513.9,536.0,510.0,532.0,1500,0,0.0
2011-12-07,539.0,544.6,530.9,544.5,800,0,0.0
2011-12-08,520.6,523.8,510.0,511.2,1900,0,0.0
2011-12-09,512.6,523.6,512.6,514.8,900,0,0.0
2011-12-12,475.7,476.2,466.5,474.1,2000,0,0.0
2011-12-13,473.7,481.3,439.5,443.0,8500,0,0.0
2011-12-14,429.6,430.2,390.8,395.9,6800,0,0.0
2011-12-15,409.1,409.1,388.6,390.0,3900,0,0.0
2011-12-16,405.0,413.8,404.1,413.8,4500,0,0.0
2011-12-19,413.8,417.0,407.1,409.5,2300,0,0.0
2011-12-20,425.7,436.2,422.7,426.3,2100,0,0.0
2011-12-21,426.2,428.2,420.8,428.0,2000,0,0.0
2011-12-22,421.0,422.0,414.3,418.1,1000,0,0.0
2011-12-23,420.1,421.4,416.5,419.8,500,0,0.0
2011-12-27,410.0,411.9,401.5,409.5,600,0,0.0
2011-12-28,395.8,395.8,377.3,378.0,2500,0,0.0
2011-12-29,363.9,375.5,358.8,373.4,2600,0,0.0
2011-12-30,386.8,398.0,385.0,386.4,2600,0,0.0
2012-01-03,406.5,417.3,405.5,416.9,3800,0,0.0
2012-01-04,410.6,425.4,410.6,422.5,3700,0,0.0
2012-01-05,409.9,430.5,409.5,430.5,2200,0,0.0
2012-01-06,436.0,436.0,419.2,424.6,4100,0,0.0
2012-01-09,426.6,428.0,417.7,419.2,1400,0,0.0
2012-01-10,438.5,441.8,435.8,436.5,3000,0,0.0
2012-01-11,442.5,446.3,439.2,445.4,2300,0,0.0
2012-01-12,456.2,460.1,445.4,450.5,4800,0,0.0
2012-01-13,441.5,443.2,429.4,440.3,2600,0,0.0
2012-01-17,458.2,458.6,450.5,451.7,3600,0,0.0
2012-01-18,447.1,458.8,444.9,458.4,6200,0,0.0
2012-01-19,458.4,458.4,450.0,456.3,1600,0,0.0
2012-01-20,450.0,464.0,450.0,463.9,1900,0,0.0
2012-01-23,466.7,475.9,466.7,470.0,1600,0,0.0
2012-01-24,461.7,465.9,457.9,462.8,800,0,0.0
2012-01-25,454.6,501.9,449.6,500.9,7700,0,0.0
2012-01-26,516.4,517.8,507.4,509.1,4300,0,0.0
2012-01-27,510.7,524.3,510.4,523.1,3200,0,0.0
2012-01-30,517.3,519.9,513.9,515.6,2600,0,0.0
2012-01-31,532.0,532.1,514.4,524.3,3600,0,0.0
2012-02-01,530.0,534.5,525.5,530.0,3800,0,0.0
2012-02-02,533.5,544.5,531.4,543.9,3300,0,0.0
2012-02-03,532.6,534.1,511.6,512.1,5700,0,0.0
2012-02-06,505.7,511.0,504.2,508.1,4700,0,0.0
2012-02-07,509.1,533.3,507.1,529.8,4500,0,0.0
2012-02-08,526.7,532.3,511.4,519.5,3500,0,0.0
2012-02-09,532.9,535.4,511.4,515.0,4700,0,0.0
2012-02-10,499.8,510.0,498.8,506.0,3700,0,0.0
2012-02-13,507.3,511.8,502.6,509.5,5500,0,0.0
2012-02-14,510.4,512.5,500.1,505.6,2900,0,0.0
2012-02-15,519.0,519.7,507.0,513.8,2100,0,0.0
2012-02-16,497.9,513.5,496.3,513.3,1600,0,0.0
2012-02-17,515.4,515.4,505.3,506.8,3000,0,0.0
2012-02-21,528.6,541.2,528.1,540.2,8900,0,0.0
2012-02-22,535.2,574.2,534.0,557.2,12400,0,0.0
2012-02-23,556.2,565.5,553.1,560.0,6200,0,0.0
2012-02-24,556.3,559.5,550.3,552.3,4400,0,0.0
2012-02-27,551.5,557.9,546.1,547.5,3000,0,0.0
2012-02-28,558.4,568.6,556.6,564.3,4200,0,0.0
2012-02-29,561.4,564.7,474.3,475.6,35600,0,0.0
2012-03-01,492.1,505.8,489.3,496.8,12000,0,0.0
2012-03-02,493.2,496.2,487.7,493.2,7000,0,0.0
2012-03-05,489.3,489.3,480.0,487.4,9300,0,0.0
2012-03-06,456.5,461.3,448.0,461.2,8200,0,0.0
2012-03-07,461.8,470.7,460.0,469.2,8800,0,0.0
2012-03-08,479.2,485.0,473.1,482.5,3100,0,0.0
2012-03-09,469.0,493.6,466.0,492.6,6100,0,0.0
2012-03-12,483.8,484.6,478.4,480.7,1600,0,0.0
2012-03-13,471.2,483.6,449.1,457.0,13800,0,0.0
2012-03-14,433.8,440.8,427.2,433.4,10800,0,0.0
2012-03-15,434.0,451.5,431.8,444.8,4300,0,0.0
