Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-09-12,16.75,16.83,11.58,13.8,1302200,0,0
2018-09-13,13.9,14.22,13.0,14.0,685200,0,0
2018-09-14,14.6,14.73,13.05,13.99,773400,0,0
2018-09-17,13.61,13.92,13.25,13.72,198000,0,0
2018-09-18,13.85,13.85,12.7,13.06,259200,0,0
2018-09-19,13.26,13.82,12.71,13.82,96000,0,0
2018-09-20,13.82,13.82,13.12,13.51,56000,0,0
2018-09-21,13.5,15.5,13.5,15.44,297000,0,0
2018-09-24,15.12,15.12,14.31,14.81,76000,0,0
2018-09-25,14.8,14.8,13.66,14.07,91500,0,0
2018-09-26,14.07,14.3,13.57,14.3,15200,0,0
2018-09-27,14.06,14.26,13.8,13.8,15300,0,0
2018-09-28,13.48,14.29,13.4,13.52,20400,0,0
2018-10-01,13.75,13.99,13.26,13.38,37700,0,0
2018-10-02,13.4,13.56,11.73,11.75,45700,0,0
2018-10-03,11.71,11.96,10.21,11.37,62000,0,0
2018-10-04,11.0,11.3,10.25,10.8,153900,0,0
2018-10-05,10.69,12.12,10.5,12.12,119700,0,0
2018-10-08,11.72,12.0,10.76,11.64,78300,0,0
2018-10-09,11.86,11.86,10.26,11.15,77100,0,0
2018-10-10,10.98,11.05,10.31,10.51,20300,0,0
2018-10-11,10.4,10.44,9.73,9.85,31800,0,0
2018-10-12,10.01,10.24,9.2,9.35,23800,0,0
2018-10-15,9.31,10.0,8.29,9.99,48100,0,0
2018-10-16,9.96,11.44,9.84,10.64,41100,0,0
2018-10-17,10.52,10.79,10.52,10.75,8500,0,0
2018-10-18,10.61,10.61,10.06,10.2,8400,0,0
2018-10-19,10.8,10.8,8.66,8.89,38600,0,0
2018-10-22,9.02,9.27,8.02,8.02,46100,0,0
2018-10-23,8.0,8.69,7.58,8.05,16500,0,0
2018-10-24,8.09,8.52,7.96,8.1,13300,0,0
2018-10-25,8.05,8.1,7.85,8.01,15900,0,0
2018-10-26,7.99,8.43,7.52,8.15,13400,0,0
2018-10-29,8.21,8.89,8.18,8.21,16800,0,0
2018-10-30,8.26,9.3,8.26,8.71,33800,0,0
2018-10-31,8.71,9.49,8.71,8.88,9700,0,0
2018-11-01,9.0,10.4,8.97,10.0,24700,0,0
2018-11-02,10.24,12.34,9.5,11.28,34000,0,0
2018-11-05,11.2,11.95,11.2,11.2,23600,0,0
2018-11-06,11.1,11.65,10.12,11.5,12500,0,0
2018-11-07,11.84,11.86,10.26,11.77,19600,0,0
2018-11-08,11.5,11.84,10.99,11.0,22000,0,0
2018-11-09,10.51,10.51,9.74,9.75,32600,0,0
